,Name,Algorithm pscore,Algorithm year,Algorithm year combined
52,Virginia Polytechnic Institute and State University,5434.76666667,0.0,0.0
53,University of Chicago,148247.517379,2601.31342817,115720981.448
54,Washington University In St. Louis,9732.17424242,0.0,0.0
55,Georgia State University,29085.427381,261.276520167,4703238.63952
56,North Carolina State University,47867.9575758,185.05063522,1079824.0751
57,University of Tennessee,45431.5464286,257.4398087,4730456.48486
58,Johns Hopkins University,127103.576923,4399.86162888,215424785.483
59,Vanderbilt University,42493.2108059,1589.6836039,60530978.0349
60,Florida Institute of Technology,9370.9,0.0,0.0
61,University of Colorado at Boulder,119497.533333,3238.99825007,226117706.836
62,Lehigh University,8861.5,0.0,0.0
63,University of Central Florida,34181.6416667,0.0,0.0
64,University of Kentucky,44985.8666667,255.643655123,2355132.61588
65,Florida State University,28066.8416667,520.543280846,3444434.88936
66,Oklahoma State University Main Campus,4977.28571429,0.0,0.0
67,Washington State University,22533.058547,13.7325983602,14034.7155241
68,Iowa State University,99082.297619,802.567444461,15222844.0822
69,Northwestern University,163263.327778,7398.99752899,289052015.902
70,Dartmouth College,125122.033333,6490.81201541,155777191.789
71,Boston University,101520.623413,3266.35428115,37333261.1782
72,University of Georgia,24521.275,33.8059045075,247188.773759
73,Rutgers The State University of New Jersey New Brunswick Campus,14060.1833333,375.723547044,6220479.04487
74,University of Maryland Baltimore County,8472.99358974,50.0801990624,156605.398946
75,California Institute of Technology,107432.258584,2342.11818284,101120367.679
76,University of Delaware,25184.6777778,72.8578408129,877354.119069
77,University of Texas at Dallas,218147.222039,5316.70455274,120613980.668
78,University of Cincinnati Main Campus,17666.6666667,96.4775677134,557590.660705
79,Kent State University Main Campus,39750.8194444,1667.49987794,47623796.5139
80,Oregon State University,40492.3274476,2279.24330725,32139033.0464
81,University of Iowa,89004.9527778,7481.98861148,367913382.511
82,Rensselaer Polytechnic Institute,73235.7612637,1121.48962858,15517941.4833
83,University of Florida,68576.7,227.007969105,1755616.35713
84,Northeastern University,132898.601945,3590.06452675,84692601.055
85,Illinois Institute of Technology,61513.975,1403.12776732,28014871.0228
86,Auburn University,5065.66666667,0.0,0.0
87,Wayne State University,20199.9027778,0.0,0.0
88,University of Oregon,49496.5595238,466.902716769,8767845.19867
89,Wright State University Main Campus,20040.0583333,0.0,0.0
90,University of Illinois at Chicago,78563.6337662,739.251193901,18028410.6368
91,Brandeis University,21835.1047619,4.98225574122,9550.98425592
92,North Dakota State University Main Campus,5325.0,0.0,0.0
93,City University of New York Grad. Center,2624.16666667,0.0,0.0
94,State University of New York at Binghamton,3058.41666667,0.0,0.0
95,University of North Carolina at Charlotte,21566.8697802,113.502737046,308914.358376
96,Case Western Reserve University,40667.525,394.809004583,4934519.9467
97,University of New Mexico Main Campus,27782.9833333,1589.43320244,54319553.4376
98,Syracuse University Main Campus,32942.4666667,6.86156400966,13743.7127114
99,New Mexico State University Main Campus,95.8333333333,0.0,0.0
100,New Jersey Institute of Technology,254.5,0.0,0.0
101,University of South Carolina Columbia,18218.6055556,40.2665039569,175056.112184
102,College of William and Mary,16547.9,113.238995079,505725.352025
103,Florida International University,28731.1583333,832.837003015,17157148.198
104,George Washington University,21274.2166667,27.9491345486,154926.660021
