,Name,Computer graphics (images) pscore 5 years,Computer graphics (images) year 5 years,Computer graphics (images) year combined 5 years
45,University of Pittsburgh Pittsburgh Campus,300.833333333,0.0,0.0
46,University of Utah,88812.1,9978.09559172,331089308.749
47,University of California-Santa Cruz,21476.4166667,615.906367269,10143448.4756
48,Indiana University at Bloomington,13964.5603175,430.133494824,7704382.93602
49,University of Virginia,9420.66190476,1418.40938247,27167728.828
50,University of South Florida,10981.7166667,323.375653029,3477867.18679
51,University of Arizona,14328.8666667,1221.37706972,19870072.4558
52,Virginia Polytechnic Institute and State University,6747.2,6.56842581084,28040.6097865
53,University of Chicago,10396.9107143,438.199829776,8145908.74009
54,Washington University In St. Louis,8937.5,884.063974847,15282424.2693
55,Georgia State University,5611.46388889,43.5056674318,334689.099553
56,North Carolina State University,19616.6722222,709.755206692,11352232.8301
57,University of Tennessee,21539.3916667,383.336937466,5638829.22098
58,Johns Hopkins University,15378.9833333,433.66173027,7082529.24812
59,Vanderbilt University,6913.86904762,53.6769440154,368921.636218
60,Florida Institute of Technology,1825.5,0.0,0.0
61,University of Colorado at Boulder,7029.08333333,10.6836999773,33065.4116952
62,Lehigh University,3585.41666667,16.3919864368,114743.905058
63,University of Central Florida,35769.1952381,1328.0683049,37047371.7465
