,Name,Algorithm pscore norm,Algorithm year norm,Algorithm year combined norm
52,Virginia Polytechnic Institute and State University,3.34859314028,0.0,0.0
53,University of Chicago,91.3416619711,1.60278091692,71300.6663267
54,Washington University In St. Louis,5.99641050057,0.0,0.0
55,Georgia State University,17.9207808878,0.160983684637,2897.86730716
56,North Carolina State University,29.4935043597,0.114017643389,665.325985888
57,University of Tennessee,27.9923268198,0.158619721935,2914.63739055
58,Johns Hopkins University,78.3139722262,2.71094370233,132732.461789
59,Vanderbilt University,26.1818920554,0.979472337587,37295.73508
60,Florida Institute of Technology,5.77381392483,0.0,0.0
61,University of Colorado at Boulder,73.6275621277,1.99568592118,139320.829843
62,Lehigh University,5.45995070856,0.0,0.0
63,University of Central Florida,21.060777367,0.0,0.0
64,University of Kentucky,27.7177243787,0.15751303458,1451.0983462
65,Florida State University,17.2931864859,0.320729070145,2122.26425715
66,Oklahoma State University Main Campus,3.06671947892,0.0,0.0
67,Washington State University,13.8835850567,0.00846124359837,8.64739095754
68,Iowa State University,61.0488586685,0.494496268922,9379.44798658
69,Northwestern University,100.593547614,4.55884012877,178097.360383
70,Dartmouth College,77.0930581228,3.99926803167,95981.0177381
71,Boston University,62.5512159043,2.01254114674,23002.6254949
72,University of Georgia,15.1086105977,0.0208292695672,152.303619075
73,Rutgers The State University of New Jersey New Brunswick Campus,8.66308276854,0.231499412843,3832.70427903
74,University of Maryland Baltimore County,5.22057522473,0.0308565613447,96.491311735
75,California Institute of Technology,66.1936282095,1.4430795951,62304.6011578
76,University of Delaware,15.517361539,0.0448908446167,540.575550874
77,University of Texas at Dallas,134.409871866,3.27585000169,74315.4532769
78,University of Cincinnati Main Campus,10.8851920312,0.0594439727131,343.555551883
79,Kent State University Main Campus,24.4921869652,1.02741828585,29343.066244
80,Oregon State University,24.9490618901,1.40433968407,19802.2384759
81,University of Iowa,54.8397737386,4.60997449876,226687.235065
82,Rensselaer Polytechnic Institute,45.1236976363,0.690997922725,9561.27016838
83,University of Florida,42.2530499076,0.13986935866,1081.71063286
84,Northeastern University,81.8845360106,2.21199293084,52182.7486476
85,Illinois Institute of Technology,37.9014017252,0.864527274995,17261.1651404
86,Auburn University,3.12117477922,0.0,0.0
87,Wayne State University,12.4460275895,0.0,0.0
88,University of Oregon,30.4969559604,0.287678815015,5402.24596344
89,Wright State University Main Campus,12.3475405627,0.0,0.0
90,University of Illinois at Chicago,48.4064286915,0.455484407825,11108.0780264
91,Brandeis University,13.4535457559,0.00306978172595,5.88477156865
92,North Dakota State University Main Campus,3.28096118299,0.0,0.0
93,City University of New York Grad. Center,1.6168617786,0.0,0.0
94,State University of New York at Binghamton,1.88442185254,0.0,0.0
95,University of North Carolina at Charlotte,13.2882746643,0.0699339106877,190.335402573
96,Case Western Reserve University,25.057008626,0.243258782861,3040.36965292
97,University of New Mexico Main Campus,17.1182891764,0.979318054494,33468.609635
98,Syracuse University Main Campus,20.2972684329,0.00422770425734,8.46809162745
99,New Mexico State University Main Campus,0.0590470322448,0.0,0.0
100,New Jersey Institute of Technology,0.156808379544,0.0,0.0
