,Name,Computer network pscore norm,Computer network year norm,Computer network year combined norm
47,University of California-Santa Cruz,12.5603552827,0.037547325572,224.853733883
48,Indiana University at Bloomington,4.43450868056,0.0014567634195,6.07761698614
49,University of Virginia,44.6477994792,2.41940688192,165192.97838
50,University of South Florida,25.0955967262,0.426678692753,10939.8185194
51,University of Arizona,21.9727879073,1.13895880681,32776.6119229
52,Virginia Polytechnic Institute and State University,4.07627083333,0.033945426398,261.210056133
53,University of Chicago,12.2799502264,0.0197587263111,137.339020607
54,Washington University In St. Louis,30.6257575758,2.29541644915,197830.181971
55,Georgia State University,38.5526305804,1.14809276442,44167.0103143
56,North Carolina State University,90.9401933396,6.27261388061,469464.852862
57,University of Tennessee,61.4956127232,1.84357998788,65706.2243625
58,Johns Hopkins University,23.0822011218,0.35909260905,7743.96237783
59,Vanderbilt University,22.6727906364,0.37067203022,9297.09630005
60,Florida Institute of Technology,22.361140625,1.06500103134,71266.6740141
61,University of Colorado at Boulder,4.47484375,0.00239456581858,9.62136545907
62,Lehigh University,13.8612760417,0.224656427494,4829.68837468
63,University of Central Florida,45.2131354167,0.587374511704,25540.315829
64,University of Kentucky,44.0689505208,1.45381376756,44216.0145642
65,Florida State University,48.3770989583,3.70433076939,149241.30549
66,Oklahoma State University Main Campus,12.3871019345,0.333582133066,5439.78026504
67,Washington State University,21.4837871261,0.240060485782,4004.0203361
68,Iowa State University,32.1708333333,1.96935380694,96073.2637826
69,Northwestern University,112.153701389,4.0956787141,191237.716146
70,Dartmouth College,35.935875,1.37722072471,53321.4861971
71,Boston University,69.5026071429,7.49585359133,453928.839948
72,University of Georgia,7.3302265625,0.0228204369722,242.433237786
73,Rutgers The State University of New Jersey New Brunswick Campus,1.47981770833,0.0156335534105,97.4439384077
74,University of Maryland Baltimore County,10.4151903045,0.11817435337,1156.52671153
75,California Institute of Technology,71.4201070841,7.12077546249,858031.617455
76,University of Delaware,19.4916371528,0.435372807628,10387.5278849
77,University of Texas at Dallas,153.879816697,3.60635954104,182213.176767
78,University of Cincinnati Main Campus,33.4873958333,0.242251160663,25041.2602266
79,Kent State University Main Campus,7.43187065972,0.014869099953,64.9071985783
80,Oregon State University,49.3072253424,0.667979508194,24397.8037919
81,University of Iowa,8.49406423611,0.106604887573,600.916448298
82,Rensselaer Polytechnic Institute,29.5652046226,0.869642998054,39325.5095718
83,University of Florida,100.384958333,8.39421960218,793177.464488
84,Northeastern University,29.161959269,1.18256117921,19929.1911908
85,Illinois Institute of Technology,100.179278646,10.1663621386,1880764.86648
86,Auburn University,8.941953125,0.0530201249493,300.50423605
87,Wayne State University,23.7054253472,0.393158121822,8327.83409102
88,University of Oregon,34.5781800595,2.14897925283,86746.2875815
89,Wright State University Main Campus,8.29659114583,0.278605496188,3249.94020651
90,University of Illinois at Chicago,27.8991697781,0.128065168107,2659.25258102
91,Brandeis University,1.81093154762,0.00146799081359,2.55283602484
92,North Dakota State University Main Campus,13.2922552083,0.690569880408,43893.5348256
93,City University of New York Grad. Center,0.66671875,0.0,0.0
94,State University of New York at Binghamton,11.7640885417,0.496052355821,12359.3824895
95,University of North Carolina at Charlotte,21.2695895147,0.932592918704,57670.9913965
96,Case Western Reserve University,30.3032693452,0.408330803341,10330.9970074
97,University of New Mexico Main Campus,1.88119791667,0.0119748298569,43.2530854432
