index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
77,conf/aistats,566.0,,,11966.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133.0,,
78,conf/ntms,510.0,,13.0,781.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,conf/icpads,2250.0,,17.0,9489.0,B1,,,,,,83.0,,,,,,,,,,,,,,134.0,56.0,,,56.0,21.0,,,,,,,,,,,,
80,conf/cifer,446.0,,5.0,7305.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,journals/mor,763.0,,,18460.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,conf/iswcs,990.0,,15.0,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43.0,,,,,,,,,188.0
83,conf/gamenets,157.0,,,593.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,journals/sigpro,4742.0,,84.0,50775.0,A1,,,,,,,,,39.0,39.0,,,39.0,,,,,,417.0,,,,29.0,,,51.0,,54.0,,,,,,,50.0,,70.0
85,conf/ieeesam,268.0,,,49.0,,,,,,,,,,,,,,,,,,,,69.0,,,,,,,,,,,,,,,,,,
86,journals/ton,2265.0,,,135914.0,A1,,,314.0,,,947.0,,,,,,,,,,,,,,117.0,1127.0,,,1127.0,,,,51.0,,,,368.0,,,30.0,,
87,journals/tie,5486.0,,,106691.0,,,,,,,,,,,,,12.0,,12.0,53.0,,55.0,,,,,,,,,,,,,,,,,,58.0,,
88,journals/isci,7032.0,52.0,70.0,124049.0,A1,,60.0,,,125.0,,61.0,,47.0,47.0,,,47.0,,23.0,,49.0,,,70.0,,,37.0,,,84.0,142.0,25.0,,,100.0,36.0,,,64.0,,
89,conf/ipsn,841.0,,36.0,28102.0,A1,,,47.0,,,74.0,,,,,,,,,,,,,,,80.0,38.0,,80.0,,,,34.0,,,,,,,,,
90,homepages/p,675.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,journals/tcas,5440.0,,,54120.0,,,,,,,,,,,,,705.0,,705.0,,,,,84.0,,,,,,,,,20.0,,,,,4.0,,121.0,,
92,conf/netcod,79.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,
93,journals/scn,888.0,,19.0,1647.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.0,,,,,
94,conf/icb,706.0,,27.0,5469.0,,,129.0,,,,,,,165.0,165.0,,,165.0,,,,67.0,,79.0,,,,,,,,,,,,,,,,,,
95,conf/bic-ta,716.0,,9.0,385.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,journals/tpds,3298.0,,,84900.0,A1,,,154.0,,109.0,524.0,44.0,51.0,,,,,,,,41.0,,,,711.0,489.0,224.0,,489.0,43.0,53.0,95.0,28.0,,,,69.0,,,,,
97,conf/IEEEias,657.0,,14.0,1422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,journals/tcsv,3015.0,,,109012.0,A1,,103.0,,,,,,,177.0,177.0,,57.0,177.0,57.0,,,45.0,,248.0,,,,,,,,,39.0,,,,,,,,,
99,conf/smc,9388.0,32.0,58.0,28167.0,B2,,54.0,,,,,,,69.0,69.0,28.0,,69.0,,158.0,,159.0,,,,,,33.0,,,,,,19.0,,51.0,,,,,,
100,journals/jdim,572.0,,5.0,737.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,conf/dbta,358.0,,8.0,166.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,conf/wcsp,1000.0,,16.0,202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.0
103,conf/ntcir,993.0,176.0,,1994.0,,,,,,,,,,,,138.0,,,,,,,,,,,,,,,,139.0,,,,,,,,,,
104,journals/gis,1658.0,,,60942.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,journals/cacie,482.0,,,3627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,journals/pvldb,1481.0,82.0,,18238.0,A1,84.0,,,,844.0,,108.0,,,,,,,,,,,,,,,,,,,123.0,283.0,,,,,,,,,,
107,journals/ci,758.0,,27.0,44731.0,B1,,,,,,,,,,,30.0,,,,,,,,,,,,,,,,,,,13.0,,,,,,,
108,conf/wsc,8329.0,,,100577.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.0,,138.0,,,,,,
109,conf/mvhi,208.0,,7.0,102.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,conf/webi,1781.0,85.0,22.0,10504.0,,69.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,45.0,88.0,,,,,,,,,,
111,conf/icdma,590.0,,,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,conf/pacis,2616.0,,15.0,5926.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,176.0,,18.0,,,,,,
113,journals/jcisd,6138.0,,51.0,73816.0,B1,79.0,,,,,,85.0,,,,,,,,,,,,,,,,69.0,,,63.0,,,,,,,68.0,,30.0,,
114,conf/ics,1404.0,,30.0,42901.0,A2,,,51.0,,,,,,,,,,,,,,,,,231.0,,225.0,,,94.0,,,,,,,,,,,,
115,conf/nems,938.0,,9.0,434.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,conf/ipps,7378.0,,,78830.0,A1,,,136.0,,,137.0,41.0,44.0,,,,8.0,,8.0,,,,,,676.0,132.0,364.0,,132.0,315.0,63.0,,23.0,,10.0,35.0,43.0,,,,,
117,conf/nsdi,481.0,,54.0,17531.0,A1,,,241.0,,,55.0,,,,,,,,,,,,,,,78.0,,,78.0,,,,,,,,245.0,,,,,
118,journals/amc,13172.0,,,93243.0,A2,,,,,,,46.0,,,,,,,,,,,,,,,,,,,43.0,,,,,83.0,,,,30.0,,27.0
119,conf/emnlp,1380.0,73.0,53.0,19971.0,A1,,,,,,,38.0,,,,765.0,,,,,,,,,,,,,,,63.0,52.0,,,22.0,,,,,39.0,,
120,conf/iscas,16967.0,,27.0,68042.0,A1,,,,27.0,,,,,73.0,73.0,,1039.0,73.0,1039.0,,,,,460.0,133.0,,,,,,,,50.0,,,,,,,98.0,,116.0
121,conf/visapp,1697.0,,14.0,2328.0,B3,,,,,,,,,39.0,39.0,,,39.0,,,,,,,,,,,,,,,,,,,,,,,,
122,conf/bife,482.0,,9.0,188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,,,,,,
123,journals/jam,2932.0,,,2838.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,journals/jdi,1143.0,,23.0,10788.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,conf/cata,1153.0,,6.0,1402.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,conf/robio,3978.0,56.0,19.0,7907.0,B1,,,,,,,,,,,,,,,538.0,,547.0,,,,,,,,,,,,,,,,,,,,44.0
127,journals/ijon,7349.0,54.0,45.0,79598.0,A1,35.0,,,,,,58.0,,84.0,84.0,,,84.0,,26.0,,31.0,,67.0,,,,49.0,,,78.0,85.0,,,56.0,20.0,,4.0,,145.0,,43.0
128,journals/cmmm,892.0,,,1461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,conf/sigmod,3706.0,129.0,61.0,337960.0,A1,197.0,,58.0,,1889.0,,243.0,,,,,,,,,85.0,,,,,,,,,,273.0,460.0,,,,,46.0,4.0,,,,
130,journals/tal,181.0,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
