index,Vkey,VPsize,Information Retrieval,H-Index,Citations,Qualis,World Wide Web,Computer graphics (images),Operating system,Algorithm,Database,Computer network,Data mining,Programming language,Machine learning,Computer vision,Natural language processing,Computer hardware,Pattern recognition,Embedded system,Simulation,Internet privacy,Artificial intelligence,Human-computer interaction,Speech recognition,Parallel computing,Distributed computing,Computer architecture,Computational biology,Real-time computing,Computational science,Data science,Information retrieval,Theoretical computer science,Management science,Cognitive science,Operations research,Computer security,Bioinformatics,Multimedia,Mathematical optimization,Knowledge management,Telecommunications
2922,homepages/37,11064.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2923,conf/sui,69.0,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2924,conf/mobiarch,32.0,,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2925,conf/cosade,54.0,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2926,conf/fc,621.0,,28.0,14257.0,B1,,,,136.0,,,,,,,,,,,,160.0,,,,,,,,,,,,,,,,,,,,,
2927,conf/refsq,293.0,,16.0,1118.0,,,,,,,,,44.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2928,journals/jce,92.0,,,362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2929,series/sbece,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2930,conf/ewcbr,432.0,,,8000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2931,conf/mpc,253.0,,,7317.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2932,journals/ijebm,343.0,,,197.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2933,conf/upinlbs,122.0,,,101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2934,journals/games,118.0,,43.0,422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2935,journals/ijwa,114.0,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2936,journals/scjapan,2726.0,,,9410.0,,,,,,,,,,,,,,,,27.0,,34.0,,,,,,,,,,,,,,,,,,,,
2937,conf/socinfo,258.0,,,301.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2938,conf/fase,512.0,,20.0,8438.0,A2,,,,,,,,91.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2939,books/sp/yawl2010,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2940,journals/wi,2109.0,,,37453.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163.0,,,,,,,,
2941,conf/epk,43.0,,,499.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2942,series/ihis,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2943,conf/fedcsis,867.0,,,505.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2944,conf/hcse,75.0,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2945,conf/wirtschaftsinformatik,952.0,,22.0,13291.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,126.0,,,,,,,,
2946,conf/sigsand,41.0,,,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2947,series/sbbpm,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2948,conf/zeus,107.0,,,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949,conf/ecows,224.0,,,2183.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2950,reference/mosi,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2951,books/wi/Dumas05,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2952,books/mit,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2953,journals/bise,313.0,,70.0,1427.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87.0,,,,,,,,
2954,books/sp/awareness,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2955,conf/epew,212.0,,,805.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2956,conf/ifip8-1,317.0,,13.0,2368.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2957,conf/emisa,254.0,,,917.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2958,conf/ista,261.0,,,599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2959,journals/ijkbo,82.0,,,27.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2960,conf/mobis,95.0,,,241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2961,conf/edm,391.0,,20.0,1119.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0,,,,,,,
2962,conf/tapp,87.0,,,164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2963,conf/ebiss,24.0,,11.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2964,conf/ershov,480.0,,,6286.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2965,conf/ki,1382.0,,,10952.0,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,,,,,,,
2966,conf/riao,642.0,119.0,,8533.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,107.0,,,,,,,,,,
2967,conf/fintal,76.0,,,293.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2968,conf/clin,110.0,,,1605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2969,journals/pbml,260.0,,,283.0,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2970,conf/amta,144.0,,,1935.0,B4,,,,,,,,,,,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2971,journals/coling,804.0,,,109623.0,A1,,,,,,,,,,,341.0,,,,,,,,,,,,,,,,,,,17.0,,,,,,,
2972,conf/mlcw,26.0,,,1276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2973,conf/wi,197.0,,,702.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2974,journals/pdln,855.0,,12.0,726.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2975,conf/icgi,286.0,,,4149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2976,journals/ki,1682.0,,13.0,128380.0,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,
2977,homepages/n,315.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2978,journals/bsl,261.0,,,5955.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2979,conf/fossacs,529.0,,19.0,12046.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2980,conf/fates,67.0,,,1923.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2981,conf/procomet,59.0,,,2872.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2982,conf/istcs,134.0,,,11324.0,,,,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2983,homepages/v,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2984,conf/sat,533.0,,22.0,9578.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2985,journals/lmcs,128.0,,27.0,1232.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2986,journals/cjtcs,113.0,,,1007.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2987,conf/xp,84.0,,10.0,6738.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2988,conf/qest,421.0,,19.0,3744.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2989,conf/compos,26.0,,,2743.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2990,conf/arts,50.0,,22.0,2361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2991,conf/tls,19.0,,,1863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2992,journals/mima,826.0,,14.0,8942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.0,,,,,,,
2993,journals/jar,907.0,,25.0,28771.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,
2994,conf/cade,1495.0,,,41836.0,A2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,
2995,conf/lop,121.0,,,10767.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2996,journals/dagstuhl-manifestos,9.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2997,conf/dbpl,268.0,,,12071.0,B2,,,,,63.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2998,conf/dimacs,38.0,,,1528.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2999,conf/banff,6.0,,,1752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3000,conf/adbt,45.0,,,11522.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3001,conf/cia,288.0,,,4278.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3002,conf/rp,108.0,,,262.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3003,conf/eumas,186.0,,,718.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3004,conf/krdb,148.0,,,1905.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3005,journals/ijgt,740.0,,,17648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.0,,,,,,
3006,conf/vstte,157.0,,,1515.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3007,conf/icla,78.0,,,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3008,journals/jancl,392.0,,,6341.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3009,journals/acr,14.0,,,1445.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3010,conf/tacs,139.0,,,12156.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3011,conf/aplas,412.0,,,2981.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3012,conf/ccc,41.0,,,331.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3013,conf/scopes,151.0,,,569.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3014,conf/hips,59.0,,,681.0,B4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3015,conf/ipas,296.0,,,725.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3016,homepages/61,11008.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3017,homepages/12,11040.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3018,journals/ijuc,257.0,,,626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3019,conf/psl,29.0,,11.0,87.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3020,journals/nms,1120.0,,,14648.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3021,journals/fm,234.0,,,217.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3022,conf/chinz,141.0,,,407.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3023,conf/ic3d,94.0,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3024,conf/eps,220.0,,95.0,8887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3025,journals/saem,242.0,,,353.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3026,journals/nhm,369.0,,16.0,2091.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3027,conf/cosn,50.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3028,conf/eatis,265.0,,7.0,183.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3029,conf/eh,260.0,,,3544.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3030,conf/isic,21.0,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3031,conf/gd,1021.0,,17.0,40829.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3032,conf/sigplan,149.0,,46.0,12038.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3033,journals/jocg,58.0,,,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3034,conf/isvd,206.0,,9.0,525.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3035,reference/cg,66.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3036,books/el/leeuwen90,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3037,conf/ewcg,86.0,,,2105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3038,conf/dtis,78.0,,70.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3039,reference/vlsi,82.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3040,conf/rc,70.0,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3041,books/cu/moigne2011,23.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3042,reference/vision,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3043,journals/ftsig,21.0,,,381.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3044,journals/stp,178.0,,,3095.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3045,conf/pdpcs,118.0,,,218.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3046,conf/aimsa,533.0,,,2347.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3047,series/rnti,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3048,journals/jolli,523.0,,,13193.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
3049,conf/wcii,13.0,,,128.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3050,conf/iccs,681.0,,15.0,7119.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3051,conf/ilp,523.0,,10.0,14495.0,B1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3052,conf/drums,22.0,,,276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3053,conf/cla,211.0,,8.0,535.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3054,conf/at,75.0,,21.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3055,books/kl/motroS96,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3056,conf/nmr,148.0,,18.0,6272.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3057,conf/icfca,285.0,,11.0,2498.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3058,conf/amr,136.0,,,1012.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3059,conf/epia,580.0,,9.0,3448.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3060,conf/smps,162.0,,,610.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3061,conf/argmas,132.0,,,1818.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3062,conf/icsnw,26.0,,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3063,conf/isipta,192.0,,,3791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3064,journals/tsi,684.0,,7.0,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3065,journals/lu,149.0,,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3066,conf/afss,74.0,,,595.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3067,journals/ins,9.0,,,692.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3068,journals/ria,432.0,,6.0,324.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3069,conf/amec,112.0,,,2133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3070,conf/jit,178.0,,,4276.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3071,conf/promas,156.0,,,3107.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3072,conf/btlab,18.0,,,1121.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3073,conf/iata,32.0,,,832.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3074,conf/aois,94.0,,,1563.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3075,conf/lege,68.0,,,221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3076,conf/sagt,195.0,,13.0,1520.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3077,conf/ukmas,16.0,,,139.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3078,journals/sigecom,263.0,,,3426.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3079,conf/setn,388.0,,8.0,1246.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3080,conf/aamas,367.0,,,1372.0,A1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3081,conf/agentlink,26.0,,,2346.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3082,conf/aose,205.0,,,13517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3083,conf/selmas,80.0,,,1950.0,B3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3084,conf/maamaw,111.0,,,7476.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3085,conf/comma,233.0,,13.0,1241.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3086,conf/ecaiw,64.0,,,6130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3087,conf/itrust,130.0,,,3088.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3088,conf/autonomics,84.0,,1.0,364.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3089,books/sp/omicini01,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3090,conf/idc,307.0,,9.0,554.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3091,journals/mss,922.0,,16.0,10819.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,
3092,conf/collaboration,18.0,,,907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3093,homepages/z,311.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3094,conf/iceb2,21.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3095,conf/iasse,165.0,,,204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3096,conf/mips,61.0,,,181.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3097,conf/kivs,870.0,,,1749.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3098,conf/mc,1386.0,,7.0,960.0,,,,,,,,,,,,,,,,,,,56.0,,,,,,,,,,,,,,,,65.0,,65.0,
3099,journals/jeric,257.0,,,3534.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3100,journals/eait,611.0,,,6086.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3101,conf/iwsos,134.0,,,394.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3102,conf/delfi,637.0,,7.0,270.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3103,journals/icom,472.0,,4.0,189.0,,,,,,,,,,,,,,,,,,,29.0,,,,,,,,,,,,,,,,35.0,,35.0,
3104,conf/csedu,886.0,,9.0,245.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3105,conf/financecom,21.0,,,47.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3106,conf/esocc,90.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3107,conf/acse,159.0,,,946.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3108,conf/itee,245.0,,8.0,318.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3109,journals/ijcssport,289.0,,,168.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3110,conf/gecon,138.0,,,667.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3111,conf/sgda,108.0,,,65.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3112,series/xmp,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3113,journals/ijitbag,50.0,,,51.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3114,conf/gait,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3115,conf/dcscw,118.0,,37.0,163.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3116,journals/ijgbl,90.0,,,98.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3117,conf/cost,504.0,,16.0,3145.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3118,conf/dfn,260.0,,,1182.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3119,conf/mkwi,474.0,,22.0,517.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,,,,,,,,
3120,conf/aims,217.0,,9.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3121,conf/ekaw,549.0,,,9473.0,B1,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,
3122,journals/ibis,60.0,,,123.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3123,conf/mmb,544.0,,,1762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3124,conf/gamedays,22.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3125,conf/ah,365.0,,11.0,4347.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3126,conf/icqt,29.0,,,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3127,conf/gldv,211.0,,,152.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3128,journals/tplop,16.0,,,7.0,B5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3129,journals/emisaij,77.0,,,260.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3130,journals/ei,798.0,,9.0,578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3131,reference/sc,247.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3132,conf/asmta,194.0,,9.0,303.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.0,,,,,,
3133,journals/igtr,540.0,,,4474.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.0,,,,,,
3134,conf/ngi,103.0,,11.0,248.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3135,conf/dcsp,51.0,,,467.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3136,conf/digibiz,21.0,,,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3137,journals/advor,89.0,,,161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3138,conf/comsnets,471.0,,,2097.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3139,conf/etm,12.0,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3140,conf/fasec,19.0,,,572.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3141,conf/tapsoft,387.0,,,17682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3142,journals/jcd,75.0,,,289.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3143,journals/synthese,1706.0,,32.0,18327.0,B2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3144,conf/scai,379.0,,,2617.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3145,conf/rur,23.0,,,1321.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3146,conf/kgc,64.0,,,887.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3147,journals/jmma,341.0,,,2251.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.0,,,,,,
3148,homepages/80,10985.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3149,journals/jossr,51.0,,,95.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3150,journals/ijlt,190.0,,,1341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
