,Akey,APsize,Score
4018,Tie-Yan Liu,121,12.0
3502,Paul D. Clough,148,11.0
12759,Evgeniy Gabrilovich,72,11.0
13988,Berkant Barla Cambazoglu,74,11.0
11589,Xiangji Huang,83,11.0
14611,John Tait,72,11.0
29058,Jan O. Pedersen,46,11.0
3826,Benno Stein,142,11.0
9897,Edleno Silva de Moura,90,11.0
99145,Peter Bollmann,17,11.0
8861,Wessel Kraaij,94,11.0
11075,Andrew Turpin,84,11.0
10899,Berthier A. Ribeiro-Neto,82,11.0
6118,Ralf Schenkel,113,11.0
311,Wolfgang Nejdl,348,11.0
1241,Jaime G. Carbonell,210,11.0
8453,S. K. Michael Wong,94,11.0
7054,Nivio Ziviani,103,11.0
8843,Jianfeng Gao,88,11.0
52779,Virgiliu Pavlu,29,11.0
13828,Ben He,74,10.0
21221,Edgar Meij,57,10.0
9361,Pablo Castells,93,10.0
13633,Lidan Shou,75,10.0
1464,Chris H. Q. Ding,207,10.0
5832,Gang Chen 0001,114,10.0
8118,Xiaojun Wan,99,10.0
23001,Peter Schäuble,53,10.0
687,Xian-Sheng Hua,273,10.0
22674,Martin Franz,55,10.0
36063,Eric C. Jensen,39,10.0
24682,Jun Wang 0012,46,10.0
56724,Jun Xu 0001,27,10.0
228,Gonzalo Navarro,356,10.0
27093,Kevyn Collins-Thompson,48,10.0
27150,Jimmy Xiangji Huang,48,10.0
29195,Rosie Jones,45,10.0
35657,Steven M. Beitzel,39,10.0
31541,Victor Lavrenko,42,10.0
11637,David Hawking,82,10.0
5646,Ray R. Larson,119,10.0
2822,Wenjie Li,159,9.0
1057,Jun Yan,231,9.0
34122,Ke Chen 0005,41,9.0
17861,Hugh E. Williams,64,9.0
37813,Efthimis N. Efthimiadis,38,9.0
35168,David J. Harper,40,9.0
7723,Markus Schedl,102,9.0
16286,James Mayfield,67,9.0
100460,Dmitry Lagun,17,9.0
1245,Hsin-Hsi Chen,219,9.0
29434,Zhaohui Zheng,44,9.0
39296,Miles Efron,37,9.0
29144,David Vallet,45,9.0
17906,Claudia Hauff,62,9.0
19585,Hugo Zaragoza,60,9.0
23698,Dou Shen,53,9.0
26,Ying Zhang,641,9.0
306,C. Lee Giles,345,9.0
4887,Stavros Christodoulakis,125,9.0
67514,Peter G. Anick,24,9.0
22254,Paul Thomas,55,9.0
49730,Jinxi Xu,30,9.0
11253,Daqing He,81,9.0
19814,R. Manmatha,60,9.0
34,Bin Wang,615,9.0
3966,Xiaofei He,138,9.0
5609,Yihong Gong,117,9.0
5795,Hae-Chang Rim,117,9.0
9673,Johannes Leveling,91,9.0
153,Hector Garcia-Molina,432,9.0
18911,Ross Wilkinson,62,9.0
22983,Ismail Sengör Altingövde,54,9.0
12447,Gui-Rong Xue,78,9.0
28357,Yi Zhang 0001,47,9.0
76621,J. Scott McCarley,21,8.0
1684,William W. Cohen,186,8.0
35157,Hua-Jun Zeng,40,8.0
6506,Gao Cong,108,8.0
15863,Massih-Reza Amini,67,8.0
5187,Özgür Ulusoy,124,8.0
261,Meng Wang,357,8.0
6507,Deng Cai,109,8.0
17860,Paul McNamee,64,8.0
68522,Howard R. Turtle,23,8.0
6318,Bin Cui,111,8.0
103084,Fiana Raiber,16,8.0
33869,Dingding Wang,41,8.0
9874,Andrew Trotman,88,8.0
25732,Amit Singhal,50,8.0
6514,Fabrizio Silvestri,109,8.0
24915,David E. Losada,50,8.0
5752,Shenghuo Zhu,103,8.0
5033,Thorsten Joachims,109,8.0
15006,Jimmy Lin,60,8.0
52120,J. Shane Culpepper,28,8.0
31931,Vanessa Murdock,43,8.0
12695,Lillian Lee,41,8.0
18949,Guido Zuccon,61,8.0
