,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/bonnco,Bonn Workshop of Combinatorial Optimization,,,
conf/bpm,Business Process Management,,BPM,29.0
conf/bpmn,Business Process Modeling Notation,,BPMN,
conf/bpsc,Business Process and Services Computing,,BPSC,
conf/bracis,Brazilian Conference on Intelligent Systems,,BRACIS,
conf/brain,Brain Informatics,,,7.0
conf/braincomp,BrainCompBrain-Inspired Computing,,BrainComp,
conf/broadband,Broadband Communications,,BC,
conf/broadcom,"BroadComInternational Conference on Broadband Communications, Information Technology & Biomedical Applications",,BroadCom,
conf/broadnets,"Broadband Communications, Networks and Systems",,BROADNETS,
conf/bsdcon,BSDConUSENIX Conference on the BSD operating system,,BSDCon,
conf/bsdia,Brazilian Symposium on Document Image Analysis,,BSDIA,
conf/bsn,Wearable and Implantable Body Sensor Networks,,BSN,21.0
conf/btas,International Joint Conference on Biometrics,,IJCB,
conf/btlab,Software Agents and Soft Computing,,,
conf/btw,"Datenbanksysteme in Büro, Technik und Wissenschaft",,BTW,11.0
conf/bueroautomation,Büroautomation,,,
conf/buis,BUIS-Tage : Betriebliche Umweltinformationssysteme,,BUIS-Tage,
conf/bvai,"Brain, Vision, and Artificial Intelligence",,BVAI,
conf/bwcca,"Broadband and Wireless Computing, Communication and Applications",,BWCCA,
conf/bxml,XML Tage (Berliner),,XML,13.0
conf/c++,C++ Conference,,C++,115.0
conf/c3s2e,Canadian Conference on Computer Science & Software Engineering,,C3S2E,9.0
conf/c5,"Conference on Creating, Connecting and Collaborating through Computing",,C5,
conf/ca,Computer Animation and Social Agents,,CASA,3.0
conf/caan,Combinatorial and Algorithmic Aspects of Networking,,CAAN,
conf/caap,Colleque de Lille sur les Arbres en Algebre et en Programmation,,CLAAP,
conf/cac,Cloud and Autonomic Computing Conference,,CAC,1.0
conf/cacsd,Computer-Aided Control System Design,,CACSD,10.0
conf/cad,Rechnerunterstütztes Entwerfen und Konstruieren (Corporate Engineering Research),,CAD,5.0
conf/cade,International Joint Conference on Automated Reasoning,,IJCAR,
conf/cadgraphics,CAD/GraphicsComputer-Aided Design and Computer Graphics,,CAD/Graphics,
conf/cadui,Computer-Aided Design of User Interfaces,,CADUI,
conf/cae,Computational Aesthetics,,,
