,NameAZList,NameH1,ShortNameAZList,GSHindex
conf/metacognition,Metacognition in Computation,,,
conf/metainformatics,Metainformatics,,,
conf/metmbs,Mathematics and Engineering Techniques in Medicine and Biological Scienes,,METMBS,
conf/metrics,International Software Metrics Symposium,,METRICS,23.0
conf/mfcs,Mathematical Foundations of Computer Science,,MFCS,19.0
conf/mfdbs,Symposium on Mathematical Fundamentals of Database Systems,,MFDBS,
conf/mfps,Mathematical Foundations of Programming Semantics,,MFPS,
conf/mg,Mardi Gras Conference,,,
conf/mhci,MobileHuman-Computer Interaction with Mobile Devices and Services,,MobileHCI,
conf/mhvr,"Multimedia, Hypermedia, and Virtual Reality",,MHVR,
conf/mi,Machine Intelligence,,,104.0
conf/miar,Medical Imaging and Augmented Reality,,MIAR,
conf/mic,"Modelling, Identification and Control",,MIC,12.0
conf/micai,Mexican International Conference on Artificial Intelligence,,MICAI,11.0
conf/miccai,Medical Image Computing and Computer-Assisted Intervention,,MICCAI,32.0
conf/micro,International Symposium on Microarchitecture,,MICRO,40.0
conf/microcomputing,Microcomputing,,,
conf/middleware,Open Distributed Processing,,ODP,
conf/midi,"Multimedia, Interaction, Design and Innovation",,MIDI,2.0
conf/mie,Medical Informatics Europe,,MIE,
conf/mig,Motion in Games,,MIG,9.0
conf/mike,Mining Intelligence and Knowledge Exploration,,MIKE,
conf/mikro,Rechnergestützter Entwurf und Architektur mikroelektronischer Systeme,,,
conf/mim,"Manufacturing Modelling, Management, and Control",,MIM,
conf/mimi,Medical Imaging and Informatics,,MIMI,
conf/minar,Multimedia Information Analysis and Retrieval,,MINAR,
conf/mindtrek,Mindtrekinternational Conference on Entertainment and Media in the Ubiquitous Era,,Mindtrek,14.0
conf/minenet,MineNetMining Network Data,,MineNet,
conf/mipro,"International Convention on Information and Communication Technology, Electronics and Microelectronics",,MIPRO,11.0
conf/miproBIS,miproBusiness Intelligence Systems,,miproBIS,
conf/mips,Multimedia Interactive Protocols and Systems,,MIPS,
conf/mir,International Conference on Multimedia Retrieval,,ICMR,
conf/mira,Multimedia Information Retrieval Applications,,MIRA,
conf/mirage,Computer Vision/Computer Graphics Collaboration Techniques,,MIRAGE,
conf/mirrorbot,MirrorBot Project,,MirrorBot,
conf/mis,Multimedia Information Systems,,MIS,
conf/mitjsme,MIT-JSME Workshops,,MIT-JSME,
conf/miua,Medical Image Understanding and Analysis,,MIUA,
conf/miwai,Multi-disciplinary Trends in Artificial Intelligence,,MIWAI,
conf/mixer,Workshop on Exploring the Design and Engineering of Mixed Reality Systems,,MIXER,
conf/mkern,MicrokernelsUSENIX Microkernels and Other Kernel Architectures Symposium,,Microkernels,
conf/mkm,Mathematical Knowledge Management,,MKM,14.0
conf/mkwi,Wirtschaftsinformatik (Multikonferenz),,Wirtschaftsinformatik,22.0
conf/ml,ML Workshop,,ML,40.0
conf/mlcw,Machine Learning Challenges Workshop,,MLCW,
conf/mldm,Machine Learning and Data Mining in Pattern Recognition,,MLDM,10.0
conf/mlearn,mLearnMobile and Contextual Learning,,mLearn,
conf/mlg,Mining and Learning with Graphs,,MLG,
conf/mlics,USENIX Symposium on Mobile and Location-Independent Computing,,MLICS,
conf/mlmi,Machine Learning for Multimodal Interaction,,MLMI,
conf/mlmta,"Machine Learning; Models, Technologies and Applications",,MLMTA,
conf/mlsb,Machine Learning in Systems Biology,,MLSB,
conf/mlslp,Machine Learning in Speech and Language Processing,,MLSLP,
conf/mlsp,Machine Learning for Signal Processing,,MLSP,12.0
conf/mlss,Machine Learning Summer School,,,
conf/mm,Vision Networks for Behavior Analysis,,VNBA,
conf/mm4ch,Multimedia for Cultural Heritage,,MM4CH,
conf/mmar,Methods & Models in Automation & Robotics,,MMAR,113.0
conf/mmas,Massively Multi-Agent Systems,,MMAS,
conf/mmb,"Messung, Modellierung und Bewertung von Rechen- und Kommunikationssystemen",,MMB,
conf/mmbia,Mathematical Methods in Biomedical Image Analysis,,MMBIA,
conf/mmcp,Mathematical Modeling and Computational Science,,MMCP,
conf/mmcs,Mathematical Methods for Curves and Surfaces,,MMCS,
conf/mmdb,Multimedia Databases,,MMDB,
conf/mmedia,Advances in Multimedia,,MMEDIA,
conf/mmgps,Metadata Management in Grid and P2P Systems,,MMGPS,
conf/mmics,Mathematical Methods in Computer Science,,MMICS,
conf/mmm,Conference on Multimedia Modeling,,MMM,14.0
conf/mmmacns,"Mathematical Methods, Models, and Architectures for Network Security Systems",,MMM-ACNS,
conf/mmnet,Multimedia and Networking,,MMNET,
conf/mmns,Management of Multimedia Networks and Services,,MMNS,
conf/mms,Mobile und Ubiquitäre Informationssysteme,,MMS,6.0
conf/mmsec,MM&SecMultimedia & Security,,MM&Sec,14.0
conf/mmsp,Multimedia Signal Processing,,MMSP,16.0
conf/mmsys,MMSysACM SIGMM Conference on Multimedia Systems,,MMSys,22.0
conf/mmvr,Medicine Meets Virtual Reality,,MMVR,
conf/mobiarch,MobiArchMobility in the Evolving Internet Architecture,,MobiArch,
conf/mobicase,"MobiMobile Computing, Applications, and Services",,MobiCASE,
conf/mobicom,ACM/IEEE International Conference on Mobile Computing and Networking,,MOBICOM,
conf/mobide,MobiData Engineering for Wireless and Mobile Access,,MobiDE,
conf/mobihealth,MobiHealthWireless Mobile Communication and Healthcare,,MobiHealth,6.0
conf/mobihoc,MobiHocMobile Ad Hoc Networking and Computing,,MobiHoc,
conf/mobileresponse,MobileResponseMobile Information Technology for Emergency Response,,MobileResponse,
conf/mobilight,Mobile Lightweight Wireless Systems,,MOBILIGHT,10.0
conf/mobility,"MobilityInternational Conference on Mobile Technology, Applications, and Systems",,Mobility,16.0
conf/mobilware,"Mobile Wireless Middleware, Operating Systems, and Applications",,MOBILWARE,
conf/mobimedia,MobiMediaInternational Conference on Mobile Multimedia Communications,,MobiMedia,
conf/mobiquitous,MobiQuitousInternational Conference on Mobile and Ubiquitous Systems: Networking and Services,,MobiQuitous,9.0
conf/mobis,MobModellierung betrieblicher Informationssyteme,,MobIS,
conf/mobisec,MobiSecSecurity and Privacy in Mobile Information and Communication Systems,,MobiSec,
conf/mobisys,"MobiSysInternational Conference on Mobile Systems, Applications, and Services",,MobiSys,
conf/mobiwac,Mobility Management and Wireless Access,,MOBIWAC,9.0
conf/mobiwis,MobiMobile Web Information Systems,,MobiWIS,
conf/mobserv,IEEE International Conference on Mobile Services,,MS,12.0
conf/mochart,MoChArtModel Checking and Artificial Intelligence,,MoChArt,
conf/moco,Movement and Computing,,MOCO,
conf/mocomed,MoCoMedMobiles Computing in der Medizin,,MoCoMed,
conf/model,Easter Conference on Model Theory,,,
conf/modelage,ModelAge Workshop,,ModelAge,
conf/modellierung,Modellierung,,,
conf/models,MoModel Driven Engineering Languages and Systems,,MoDELS,39.0
conf/modelsward,Model-Driven Engineering and Software Development,,MODELSWARD,
conf/mol,Mathematics of Language,,MOL,
conf/momm,MoAdvances in Mobile Multimedia,,MoMM,9.0
conf/mompes,Model-based Methodologies for Pervasive and Embedded Software,,MOMPES,
conf/monami,Mobile Networks and Management,,MONAMI,8.0
conf/monterey,Monterey Workshop,,Monterey,
conf/moreal,Model Realism,,,
conf/mos,Mobile Object Systems,,MOS,
conf/movep,Modeling and Verification of Parallel Processes,,MOVEP,
conf/moz,Multiparadigm Programming in Mozart/Oz,,MOZ,
conf/mpc,Mathematics of Program Construction,,MPC,
conf/mprss,Multimodal Pattern Recognition of Social Signals,,MPRSS,
conf/mr,Mobile Robots,,,13.0
conf/mrc,Mobile Robot Competition,,,
conf/mrco,Modeling and Retrieval of Context,,MRC,
conf/mrcs,"Multimedia Content Representation, Classification and Security",,MRCS,
conf/ms,Modelling and Simulation,,MS,28.0
conf/msa,Multimedia Systems and Applications,,MSA,
conf/mse,Microelectronics Systems Education,,MSE,
conf/mseem,"Modeling and Simulation in Engineering, Economics, and Management",,MS,12.0
conf/msept,"Multicore Software Engineering, Performance, and Tools",,MSEPT,
conf/mservices,M-Services,,,
conf/msi,Mathematical Studies of Information Processing,,,
conf/msiw,Mathematical Science Institute Workshops,,MSIW,
conf/msm,Making Sense of Microposts,,MSM,
conf/msn,Mobile Ad-hoc and Sensor Networks,,MSN,12.0
conf/mso,"Modelling, Simulation, and Optimization",,MSO,
conf/msp,Problems and Methodologies in Mathematical Software Production,,,
conf/mspe,Mobile Services and Personalized Environments,,MSPE,
conf/msps,Mathematical Methods for Protein Structure Analysis and Design,,,
conf/msr,Mining Software Repositories,,MSR,25.0
conf/mss,IEEE Conference on Mass Storage Systems and Technologies,,MSST,
conf/mssp,Mobile Social Signal Processing,,MSSP,
conf/msv,"Modeling, Simulation & Visualization Methods",,MSV,28.0
conf/mswim,WMuNeWireless Multimedia Networking and Performance Modeling,,WMuNeP,
conf/mta,Multimedia Technology and Management,,,
conf/mtdt,"Memory Technology, Design and Testing",,MTDT,
conf/mtpp,Methods and Tools of Parallel Programming Multicomputers,,MTPP,
conf/mtsr,Metadata and Semantics Research,,MTSR,9.0
conf/mtv,Microprocessor Test and Verification,,MTV,
conf/muc,Message Understanding Conference,,MUC,
conf/mud,Management of Uncertain Data,,MUD,
conf/mue,Multimedia and Ubiquitous Engineering,,MUE,10.0
conf/muenchenwiler,Muenchenwiler Seminars,,,
conf/multiclust,MultiClust Workshop,,MultiClust,
conf/mum,Mobile and Ubiquitous Multimedia,,MUM,14.0
conf/muscle,Computational Intelligence for Multimedia Understanding,,MUSCLE,41.0
conf/musepat,"Multicore Software Engineering, Performance, and Tools",,MUSEPAT,
conf/music,"Mobile, Ubiquitous, and Intelligent Computing",,MUSIC,31.0
conf/mva,Machine Vision Applications,,MVA,9.0
conf/mvhi,Machine Vision and Human-machine Interface,,MVHI,7.0
conf/mwcn,Wireless and Mobile Networking Conference,,WMNC,11.0
conf/mww,Modelling with Words,,,
conf/mycrypt,MycryptInternational Conference on Cryptology in Malaysia,,Mycrypt,
conf/naa,Numerical Analysis and Its Applications,,NAA,
conf/naacl,North American Chapter of the Association for Computational Linguistics,,NAACL,48.0
conf/nabic,NaNature and Biologically Inspired Computing,,NaBIC,17.0
conf/nada,New Hardware Design Methods,,NADA,
conf/nagoya,Nagoya University World Wisepersons Workshops,,Nagoya,13.0
conf/nanoarch,IEEE/ACM International Symposium on Nanoscale Architectures,,NANOARCH,13.0
conf/nanonet,Nano-Net,,,
conf/napaw,North American Process Algebra Workshop,,NAPAW,
conf/nas,"Networking, Architecture and Storages",,NAS,
conf/nato,NATO NATO Advanced Study Institute,,NATO ASI,
conf/natw,North Atlantic Test Workshop,,NATW,
conf/nbis,NBiNetwork-Based Information Systems,,NBiS,
conf/nc,ICSC Symposium on Neural Computation,,NC,33.0
conf/nca,Network Computing and Applications,,NCA,15.0
conf/ncca,Network/Cloud Computing and Applications,,NCCA,
conf/nci,IASTED International Conference on Neural Networks and Computational Intelligence,,NCI,
conf/ncm,Networked Computing and Advanced Information Management,,NCM,
conf/ncma,Non-Classical Models for Automata and Applications,,NCMA,
conf/nddl,New Developments in Digital Libraries,,NDDL,
conf/ndqa,New Directions in Question Answering,,,
conf/ndss,Network and Distributed System Security Symposium,,NDSS,39.0
conf/ndt,Networked Digital Technologies,,NDT,9.0
conf/nems,Nano/Micro Engineered and Molecular Systems,,NEMS,9.0
conf/nesea,Networked Embedded Systems for Enterprise Applications,,NESEA,
conf/neta,Conference on Network Administration,,NETA,
conf/netcom,NetCoInternational Conference on Networks and Communications,,NetCoM,
conf/netcoop,Network Control and Optimization,,NET-COOP,
conf/netgames,Network and System Support for Games,,NETGAMES,
conf/nets4cars,Nets4Cars/Nets4TrainsCommunication Technologies for Vehicles,,Nets4Cars/Nets4Trains,
conf/netsec,Network Security,,,25.0
conf/networking,Networking,,,56.0
conf/networks,"Computer Networks, Architecture and Applications",,NETWORKS,52.0
conf/netys,Networked Systems,,NETYS,54.0
conf/neuroscience,Emergent Neural Computational Architectures Based on Neuroscience,,,
conf/new2an,ru(Russian) Conference on Smart Spaces,,ruSMART,
conf/nf2,Nested Relations and Complex Objects,,NF2,
conf/nfm,NASA Formal Methods,,NFM,15.0
conf/ngc,Networked Group Communication,,NGC,
conf/ngca,Novel Gaze-Controlled Applications,,NGCA,
conf/ngi,Next Generation Internet,,NGI,11.0
conf/ngits,Next Generation Information Technologies and Systems,,NGITS,
conf/ngmast,"Next Generation Mobile Applications, Services and Technologies",,NGMAST,11.0
conf/ni,Nursing Informatics,,NI,2.0
conf/nicso,Nature Inspired Cooperative Strategies for Optimization,,NICSO,
conf/nil,Nonmonotonic and Inductive Logic,,NIL,
conf/nime,New Interfaces for Musical Expression,,NIME,
conf/nips,Neural Information Processing Systems,,NIPS,66.0
conf/nir,Networked Information Retrieval,,,
conf/nixdorf,International Heinz Nixdorf Symposium,,IHNS,
conf/nldb,Applications of Natural Language to Data Bases,,NLDB,11.0
conf/nlg,Natural Language Generation,,NLG,
conf/nlmua,Nonlinear Mathematics for Uncertainty and its Applications,,NL-MUA,
conf/nlp,Natural Language Processing,,NLP,53.0
conf/nlpke,Natural Language Processing and Knowledge Engineering,,NLPKE,9.0
conf/nlprs,Natural Language Processing Pacific Rim Symposium,,NLPRS,
conf/nlucs,Natural Language Understanding and Cognitive Science,,NLUCS,
conf/nlulp,Natural Language Understanding and Logic Programming Workshop,,NLULP,
conf/nma,Numerical Methods and Applications,,NMA,
conf/nmelp,Workshop on Non-Monotonic Extensions of Logic Programming,,NMELP,
conf/nmr,Non-Monotonic Reasoning,,NMR,18.0
conf/nn,Summer School on Neural Networks,,,
conf/nocs,Networks-on-Chips,,NOCS,
conf/nodalida,Nordic Conference of Computational Linguistics,,NODALIDA,
conf/nolcos,Nonlinear Control Systems,,NOLCOS,
conf/nolisp,Non-Linear Speech Processing,,NOLISP,
conf/noms,Network Operations and Management Symposium,,NOMS,16.0
conf/norchip,The Nordic Microelectronics Event,,NORCHIP,9.0
conf/nordichi,NordiNordic Conference on Human-Computer Interaction,,NordiCHI,
conf/nordicloud,NordiCloudNordic Symposium on Cloud Computing & Internet Technologies,,NordiCloud,
conf/nordsec,NordSecNordic Conference on Secure IT Systems,,NordSec,
conf/normas,Normative Multiagent Systems,,NORMAS,
conf/nossdav,Network and Operating System Support for Digital Audio and Video,,NOSSDAV,
conf/nostradamus,Nostradamus Conference,,Nostradamus,
conf/notere,NOuvelles TEchnologies de la REpartition,,NOTERE,
conf/npar,Non-Photorealistic Animation and Rendering,,NPAR,
conf/npc,Network and Parallel Computing,,NPC,11.0
conf/nph,Natural Phenomena,,NPH,15.0
conf/npiv,New Paradigms in Information Visualization and Manipulation,,NPIVM,
conf/nsdi,Networked Systems Design and Implementation,,NSDI,54.0
conf/nsdr,Networked Systems for Developing Regions,,NSDR,
conf/nsf,NSF Workshops,,NSF,
conf/nsip,Nonlinear Signal and Image Processing,,NSIP,
conf/nspw,New Security Paradigms Workshop,,NSPW,
conf/nss,Network and System Security,,NSS,16.0
conf/nsw,Network Science Workshop,,NSW,
conf/ntii,New Trends in Information Integration,,NTII,
conf/ntms,"New Technologies, Mobility and Security",,NTMS,13.0
conf/nzgrad,New Zealand Computer Science Research Students' Conference,,,
conf/oa,Optimal Algorithms,,,
conf/oas,Ontologies in Agent Systems,,OAS,
conf/objekt,Objektbanken für Experten,,,
conf/obpdc,Object-Based Parallel and Distributed Computation,,OBPDC,
conf/ocl,Object Constraint Language,,OCL,
conf/odbis,Ontologies-Based Databases and Information Systems,,ODBIS,
conf/ode,Codes for Boundary-Value Problems in Ordinary Differential Equations,,,
conf/odp,Open Distributed Processing,,,
conf/odr,Online Dispute Resolution,,ODR,
conf/odrl,Open Digital Rights Language,,ODRL,
conf/odyssey,OdysseyThe Speaker and Language Recognition Workshop,,Odyssey,
conf/ofai,ÖAustrian Research Institute for Artificial Intelligence,,ÖFAI,
conf/ogai,ÖAustrian Conference on Artificial Intelligence,,ÖGAI,
conf/ogrs,Open Source Geospatial Research & Education Symposium,,OGRS,
conf/ohs,Structural Computing,,SC,46.0
conf/okcon,OKConOpen Knowledge Conference,,OKCon,
conf/om,Organizational Memories,,OM,
conf/omer,Object-Oriented Modeling of Embedded Real-Time Systems,,OMER,
conf/ondm,Optical Network Design and Modelling,,ONDM,
conf/ons,Open Networking Summit,,ONS,5.0
conf/ontobras,"Ontology Research in Brazil / Metamodels, Ontologies and Semantic Technologies",,ONTOBRAS-MOST,
conf/oodbs,Workshop on Object-Oriented Database Systems,,OODBS,
conf/oographics,OO-GraphicsObject-Oriented Graphics,,OO-Graphics,
conf/oois,International Conference on Object Oriented Information Systems,,OOIS,
conf/oopsla,"Conference on Object-Oriented Programming Systems, Languages, and Applications",,OOPSLA,34.0
conf/oorase,OORaOOPSLA Workshop on Reflection and Software Engineering,,OORaSE,
conf/opaals,Open Philosophies for Associative Autopoietic Digital Ecosystems,,OPAALS,
conf/openshmem,OpenWorkshop on OpenSHMEM and Related Technologies,,OpenSHMEM,
conf/opnetec,OpNeTecOptical Networks & Technologies Conference,,OpNeTec,
conf/opodis,International Conference on Principles of Distributed Systems,,OPODIS,14.0
conf/or,Operations Research,,,61.0
conf/ordal,"Orders, Algorithms, and Applications",,ORDAL,
conf/ore,OWL Reasoner Evaluation,,ORE,29.0
conf/orm,Object-Role Modelling,,ORM,
conf/os,Operating Systems,,,51.0
conf/osc,Optical Super Computing,,OSC,
conf/osdi,"Workshop on Real, Large Distributed Systems",,WORLDS,16.0
conf/oss,Open Source Systems,,OSS,
conf/otm,OTM Conferences / Workshops,,OTM,20.0
conf/owled,W3C Web Ontology Language (OWL) Experiences and Directions Workshop,,OWLED,
conf/ozchi,Australasian Computer-Human Interaction Conference,,OZCHI,
conf/p2p,International Conference on Peer-to-Peer Computing,,P2P,21.0
conf/p2pkm,Peer-to-Peer Knowledge Management,,P2PKM,
conf/paa,Parallel Algorithms and Architectures,,,
conf/paams,Practical Applications of Agents and Multi-Agent Systems,,PAAMS,12.0
conf/paap,"Parallel Architectures, Algorithms and Programming",,PAAP,6.0
conf/pacbb,Practical Applications of Computational Biology & Bioinformatics,,PACBB,4.0
conf/paccs,"Pacific-Asia Conference on Circuits, Communications and Systems",,PACCS,8.0
conf/pacific,ACM Pacific,,,
conf/paciia,Pacific-Asia Workshop on Computational Intelligence and Industrial Application,,PACIIA,7.0
conf/pacis,Pacific Asia Conference on Information Systems,,PACIS,15.0
conf/paclic,"Pacific Asia Conference on Language, Information and Computation",,PACLIC,10.0
conf/pacs,Power-Aware Computer Systems,,PACS,
conf/pact,PaParallel Computing Technologies,,PaCT,32.0
conf/padl,Practical Aspects of Declarative Languages,,PADL,14.0
conf/pado,Programs as Data Objects,,PADO,
conf/pads,SIGSIM Principles of Advanced Discrete Simulation,,SIGSIM-PADS,
conf/pahi,Practical Aspects of Health Informatics,,PAHI,
conf/pairing,Pairing Based Cryptography,,Pairing,
conf/paisi,Pacific Asia Workshop on Intelligence and Security Informatics,,PAISI,
conf/pakdd,Pacific-Asia Conference on Knowledge Discovery and Data Mining,,PAKDD,
conf/pakm,Practical Aspects of Knowledge Management,,PAKM,
conf/pam,Passive and Active Network Measurement,,PAM,23.0
conf/pap,International Conference and Exhibition on Practical Applications of Prolog,,PAP,
conf/papm,"Process Algebra and Probabilistic Methods, Performance Modeling and Verification",,PAPM-PROBMIV,
conf/par,Pattern Recognition,,,118.0
conf/para,Workshop on Applied Parallel Computin,,PARA,12.0
conf/parbase,PARBASE,,,
conf/parcella,ParcellaParallel Processing by Cellular Automata and Arrays,,Parcella,
conf/parco,Parallel Computing,,PARCO,25.0
conf/parelec,Parallel Computing in Electrical Engineering,,PARELEC,
conf/parle,Parallel Architectures and Languages Europe,,PARLE,6.0
conf/parma,PaRMaPattern Representation and Management,,PaRMa,
conf/pascal,PASCAL,,,
conf/paste,Workshop on Program Analysis For Software Tools and Engineering,,PASTE,
conf/patat,Practice and Theory of Automated Timetabling,,PATAT,
conf/patmos,"Power and Timing Modeling, Optimization and Simulation",,PATMOS,7.0
conf/pc,Program Construction,,,
conf/pci,Panhellenic Conference on Informatics,,PCI,8.0
conf/pcl,Paraconsistent Computational Logic,,PCL,
conf/pcm,Pacific Rim Conference on Multimedia,,PCM,10.0
conf/pcomp,Personal Computing,,,
conf/pcrcw,Parallel Computer Routing and Communication,,PCRCW,
conf/pcs,Picture Coding Symposium,,PCS,20.0
conf/pdc,Participatory Design Conference,,PDC,10.0
conf/pdcat,Parallel and Distributed Computing: Applications and Technologies,,PDCAT,11.0
conf/pdcn,Parallel and Distributed Computing and Networks,,PDCN,
conf/pdcs,Parallel and Distributed Computing Systems (IASTED),,PDCS,
conf/pdd,Workshop on Parallel and Distributed Debugging,,,
conf/pdes,PDeProgrammable Devices and Embedded Systems,,PDeS,45.0
conf/pdis,Parallel and Distributed Information Systems,,PDIS,
conf/pdk,Processing Declarative Knowledge,,PDK,
conf/pdo,Programs as Data Objects,,,
conf/pdos,Process in Distributed Operating Systems and Distributed Systems Management,,,
conf/pdp,"Parallel, Distributed and Network-Based Processing",,PDP,19.0
conf/pdpcs,Parallel and Distributed Computing and Systems,,PDPCS,
conf/pdpta,Parallel and Distributed Processing Techniques and Applications,,PDPTA,9.0
conf/pds,Software Engineering for Parallel and Distributed Systems,,,
conf/pdse,Software Engineering for Parallel and Distributed Systems,,PDSE,
conf/pdsicn,Performance of Distributed Systems and Integrated Communication Networks,,,
conf/pe,Performance Engineering,,,9.0
conf/pe-wasun,"Performance Evaluation of Wireless Ad Hoc, Sensor, and Ubiquitous Networks",,PE-WASUN,8.0
conf/pearl,"Workshop über Realzeitsysteme, Fachtagung des PEARL-Vereins e.V.",,PEARL,
conf/peccs,Pervasive and Embedded Computing and Communication Systems,,PECCS,6.0
conf/pepc,Programming Environments for Parallel Computing,,PEPC,
conf/pepm,Partial Evaluation and Semantic-Based Program Manipulation,,PEPM,
conf/percom,PerComPervasive Computing and Communications,,PerCom,32.0
conf/perdis,PerDisPervasive Displays,,PerDis,
conf/performance,"PerformanceInternational Symposium on Computer Modeling, Measurement and Evaluation",,Performance,42.0
conf/permin,PerMInPerception and Machine Intelligence,,PerMIn,
conf/persdb,PersDB / PersDL,,PersDB,
conf/perspeGKtive,"perspeGKtiveWorkshop ""Innovative und sichere Informationstechnologie für das Gesundheitswesen von morgen""",,perspeGKtive,
conf/persuasive,International Conference on Persuasive Technology,,PERSUASIVE,20.0
conf/pervasive,PervasiveInternational Conference on Pervasive Computing,,Pervasive,32.0
conf/pet,Privacy Enhancing Technologies,,PETS,
conf/petra,Pervasive Technologies Related to Assistive Environments,,PETRA,15.0
conf/pfe,Software Product Family Engineering,,PFE,
conf/pg,Pacific Conference on Computer Graphics and Applications,,PG,
conf/pgas,Partitioned Global Address Space Programming Models,,PGAS,
conf/pgldb,PGL DataBase Research Conference,,PGLDB,
conf/pgm,Probabilistic Graphical Models,,PGM,
conf/ph,PervasiveHealthPervasive Computing Technologies for Healthcare,,PervasiveHealth,21.0
conf/phoenix,PHOENIX Workshops,,PHOENIX,6.0
conf/phsn,PfProtocols for High-Speed Networks,,PfHSN,
conf/phycs,PhyPhysiological Computing Systems,,PhyCS,
conf/physik,Physik und Informatik - Informatik und Physik,,,
conf/pia,Photogrammetric Image Analysis,,PIA,5.0
conf/pics,"Image Processing, Image Quality, Image Capture Systems Conference",,PICS,
conf/pimrc,"Personal, Indoor and Mobile Radio Communications",,PIMRC,27.0
conf/pit,Perception and Interactive Technologies,,PIT,
conf/pjw,Workshop on Persistence and Java,,PJW,
conf/pkaw,Pacific Rim Knowledge Acquisition Workshop,,PKAW,
conf/pkc,Public Key Cryptography,,PKC,30.0
conf/pkdd,Privacy and Security Issues in Data Mining and Machine Learning,,PSDML,
conf/places,Programming Language Approaches to Concurrency and Communication-cEntric Software,,PLACES,10.0
conf/plc,Programming Languages and Compilers,,PLC,5.0
conf/pldi,Programming Language Design and Implementation,,PLDI,46.0
conf/plilp,Programming Language Implementation and Logic Programming,,PLILP,
conf/plisp,Workshop on Parallel Lisp,,,
conf/plop,PLoPattern Languages of Programs,,PLoP,
conf/plpv,Programming Languages meets Program Verification,,PLPV,
conf/plsa,Programming Languages and System Architectures,,,
conf/pnpm,Petri Nets and Performance Models,,PNPM,
conf/podc,Principles of Distributed Computing,,PODC,27.0
conf/podp,Principles of Document Processing,,PODP,
conf/pods,Symposium on Principles of Database Systems,,PODS,28.0
conf/policy,Policies for Distributed Systems and Networks,,POLICY,14.0
conf/pomc,Principles of Mobile Computing,,POMC,
conf/popl,Symposium on Principles of Programming Languages,,POPL,45.0
conf/portability,Portability of Numerical Software,,,
conf/portable,Portable Software,,,
conf/pos,Workshop on Persistent Objects,,POS,8.0
conf/post,Principles of Security and Trust,,POST,29.0
conf/posta,Positive Systems: Theory and Applications,,POSTA,
conf/ppam,Parallel Processing and Applied Mathematics,,PPAM,11.0
conf/ppcp,Principles and Practice of Constraint Programming,,PPCP,
conf/ppdp,Principles and Practice of Declarative Programming,,PPDP,15.0
conf/ppopp,PPoPrinciples & Practice of Parallel Programming,,PPoPP,35.0
conf/pppj,Principles and Practice of Programming in Java,,PPPJ,
conf/ppsc,Parallel Processing for Scientific Computing,,PPSC,
conf/ppsn,Parallel Problem Solving from Nature,,PPSN,16.0
conf/ppswr,Principles and Practice of Semantic Web Reasoning,,PPSWR,
conf/pqcrypto,PQCryptoPost-Quantum Cryptography,,PQCrypto,
conf/prdc,Pacific Rim International Symposium on Dependable Computing,,PRDC,11.0
conf/premi,PRePattern Recognition and Machine Intelligence,,PReMI,
conf/pret,Practice-Driven Research on Enterprise Transformation,,PRET,
conf/prib,Pattern Recognition in Bioinformatics,,PRIB,6.0
conf/pricai,Pacific Rim International Conference on Artificial Intelligence,,PRICAI,8.0
conf/prima,Pacific Rim International Conference on Multi-Agents,,PRIMA,11.0
conf/primelife,PrimeLife International Summer SchoolPrivacy and Identity Management for Life,,PrimeLife,
conf/primium,Process Innovation for Enterprise Software,,PRIMIUM,
conf/pris,Pattern Recognition in Information Systems,,PRIS,
conf/prisms,Privacy and Security in Mobile Systems,,PRISMS,
conf/prni,Pattern Recognition in Neuroimaging,,PRNI,4.0
conf/procomet,Programming Concepts and Methods,,PROCOMET,
conf/profes,Product Focused Software Process Improvement,,PROFES,10.0
conf/programm,Symposium on Programming,,,25.0
conf/programmier,Programmiersprachen,,,
conf/prolamat,PROgraming LAnguages for MAnufacTuring,,PROLAMAT,
conf/promas,Programming Multi-Agent Systems,,PROMAS,
conf/promise,Predictive Models in Software Engineering,,PROMISE,
conf/promisews,PROMISE Winter School,,PROMISE,
conf/proms,Protocols for Multimedia Systems,,PROMS,
conf/propertytesting,Property Testing,,,
conf/propor,Processing of the Portuguese Language,,PROPOR,
conf/prospectra,"PROSPECTRA Methodology, Language Family, and System",,PROSPECTRA,
conf/provsec,ProvSecProvable Security,,ProvSec,
conf/prozess,Prozeßrechnersysteme,,,
conf/psats,Personal Satellite Services,,PSATS,6.0
conf/psb,Pacific Symposium on Biocomputing,,PSB,23.0
conf/psc,Parallel Symbolic Computing,,PSC,
conf/psd,Privacy in Statistical Databases,,PSD,
conf/psec,Formal to Practical Security,,,
conf/psivt,Pacific-Rim Symposium on Image and Video Technology,,PSIVT,13.0
conf/psl,Partially Supervised Learning,,PSL,11.0
conf/psls,Parallel Symbolic Languages and Systems,,PSLS,
conf/psse,Pernambuco Summer School on Software Engineering,,PSSE,
conf/psss,Practical and Scalable Semantic Systems,,PSSS,
conf/pst,"Conference on Privacy, Security and Trust",,PST,10.0
conf/pstv,"Protocol Specification, Testing and Verification",,PSTV,
conf/psyco,Periodic Control Systems,,PSYCO,
conf/pts,TestComInternational Conference on Testing (of Software and) Communication Systems,,TestCom,
conf/ptw,Workshop on Parallel Tools for High Performance Computing,,PTW,
conf/puk,PuPlanen und Konfigurieren,,PuK,
