	Name	Link	NPubs_list	NCits_list	ShortName
3020	IEEE Symposium on Volume Visualization	/Conference/3020/vv-ieee-symposium-on-volume-visualization	15	37	VV
4163	International Conference on Intelligent Agent & Multi-Agent Systems	/Conference/4163/iama-international-conference-on-intelligent-agent-&-multi-agent-systems	94	36	IAMA
2719	Logic Applied to Technology	/Conference/2719/laptec-logic-applied-to-technology	46	36	LAPTEC
2603	Conference on Data Management in Cloud, Grid and P2P Systems	/Conference/2603/globe-conference-on-data-management-in-cloud-grid-and-p2p-systems	39	36	Globe
3376	European Conference on Computer Network Defense	/Conference/3376/ec2nd-european-conference-on-computer-network-defense	22	36	EC2ND
1172	IFIP TC5/WG9.3 Publications	/Conference/1172/ifip-tc5-wg9-3-publications	16	36	
1724	Australasian conference on User interface	/Conference/1724/auic-australasian-conference-on-user-interface	6	36	auic
3381	International Conference on Computer Research and Development	/Conference/3381/iccrd-international-conference-on-computer-research-and-development	620	35	ICCRD
3148	International Conference on Broadband, Wireless Computing, Communication and Applications	/Conference/3148/bwcca-international-conference-on-broadband-wireless-computing-communication-and-applications	228	35	BWCCA
3271	International Symposium on Computational Intelligence and Informatics	/Conference/3271/cinti-international-symposium-on-computational-intelligence-and-informatics	165	35	CINTI
3388	International Association of Computer Science and Information Technology - Spring Conference	/Conference/3388/iacsitsc-international-association-of-computer-science-and-information-technology-spring	129	35	IACSITSC
1479	Informatik und Physik	/Conference/1479/physik-und-informatik-informatik-und-physik	45	35	Physik und Informatik
2639	Mass Data Analysis of Signals and Images in Medicine, Biotechnology and Chemistry	/Conference/2639/mda-mass-data-analysis-of-signals-and-images-in-medicine-biotechnology-and-chemistry	34	35	MDA
2385	Intelligence and Security Informatics	/Conference/2385/wisi-intelligence-and-security-informatics	33	35	WISI
4913	IEEE International Workshop on Semantic Computing and Systems	/Conference/4913/wscs-ieee-international-workshop-on-semantic-computing-and-systems	30	35	WSCS
848	Datenbanktechnologie	/Conference/848/datenbanktechnologie	21	35	
5052	International Workshop on Software Specification and Design	/Conference/5052/iwssd-international-workshop-on-software-specification-and-design	11	35	IWSSD
1380	International Workshop on M-Services	/Conference/1380/m-services-international-workshop-on-m-services	9	35	M-Services
3398	IEEE Annual Computer Software and Applications Conference Workshops	/Conference/3398/compsacw-ieee-annual-computer-software-and-applications-conference-workshops	157	34	COMPSACW
4532	International Conference on Networks and Communications	/Conference/4532/netcom-international-conference-on-networks-and-communications	76	34	NETCOM
3289	IEEE Symposium on Computational Intelligence in Cyber Security	/Conference/3289/cics-ieee-symposium-on-computational-intelligence-in-cyber-security	54	34	CICS
2417	Ubiquitous Convergence Technology	/Conference/2417/icuct-ubiquitous-convergence-technology	31	34	ICUCT
4323	Proceedings of the IEEE International Workshop on Measurement Systems for Homeland Security, Contraband Detection and Personal Safety	/Conference/4323/ims-proceedings-of-the-ieee-international-workshop-on-measurement-systems-for-homeland-security	30	34	IMS
756	ICEIS Doctoral Consortium	/Conference/756/dceis-iceis-doctoral-consortium	28	34	DCEIS
502	Workshop on Internet Technologies, Applications, and Social Impact	/Conference/502/witasi-workshop-on-internet-technologies-applications-and-social-impact	24	34	WITASI
3954	International Workshop on High-Performance Reconfigurable Computing Technology and Applications	/Conference/3954/hprcta-international-workshop-on-high-performance-reconfigurable-computing-technology-and	16	34	HPRCTA
2225	Intl. Workshop on Pattern Representation and Management	/Conference/2225/parma-intl-workshop-on-pattern-representation-and-management	11	34	PARMA
2537	Memory Performance: Dealing With Applications, Systems And Architecture	/Conference/2537/medea-memory-performance-dealing-with-applications-systems-and-architecture	7	34	MEDEA
4460	International Workshop on Multi-Media Database Management Systems	/Conference/4460/mmdbms-international-workshop-on-multi-media-database-management-systems	2	34	MMDBMS
4076	International Conference on Information Science and Applications	/Conference/4076/icisa-international-conference-on-information-science-and-applications	286	33	ICISA
2682	Euro American Conference on Telematics and Information Systems	/Conference/2682/eatis-euro-american-conference-on-telematics-and-information-systems	132	33	EATIS
4160	International Conference on Intelligence in Next Generation Networks	/Conference/4160/icin-international-conference-on-intelligence-in-next-generation-networks	131	33	ICIN
946	European University Information Systems	/Conference/946/eunis-european-university-information-systems	82	33	EUNIS
2745	Information Security and Assurance	/Conference/2745/isa-information-security-and-assurance	79	33	ISA
1352	Microcomputing	/Conference/1352/microcomputing	45	33	
4507	Annual Workshop on Network and Systems Support for Games	/Conference/4507/netgames-annual-workshop-on-network-and-systems-support-for-games	38	33	NetGames
3368	International Conference on Advanced Geographic Information Systems & Web Services	/Conference/3368/geows-international-conference-on-advanced-geographic-information-systems-&-web-services	31	33	GEOWS
2635	All About Maude	/Conference/2635/all-about-maude	24	33	
1986	Workshop on Techniques, Methodologies and Tools for Performance Evaluation of Complex Systems	/Conference/1986/firb-perf-workshop-on-techniques-methodologies-and-tools-for-performance-evaluation-of-complex	15	33	FIRB-PERF
685	European joint conference on Theory And Practice of Software	/Conference/685/etaps-european-joint-conference-on-theory-and-practice-of-software	7	33	ETAPS
2063	International Conference in IT & Application	/Conference/2063/icita-international-conference-in-it-&-application	7	33	ICITA
