Name	Link	NPubs_list	NCits_list	ShortName
British Journal of Industrial Relations	/Journal/4651/brit-j-ind-relat-british-journal-of-industrial-relations	1880	12394	BRIT J IND RELAT
Journal of Services Marketing	/Journal/4932/j-serv-mark-journal-of-services-marketing	831	12350	J SERV MARK
European Journal of Political Economy	/Journal/4735/eur-j-polit-econ-european-journal-of-political-economy	1624	12127	EUR J POLIT ECON
International Economic Review	/Journal/4780/int-econ-rev-international-economic-review	744	12094	INT ECON REV
Futures	/Journal/4753/futures	3965	12028	
Finance and Stochastics	/Journal/830/finance-and-stochastics	488	11989	
World Bank Economic Review	/Journal/5068/world-bank-econ-rev-world-bank-economic-review	388	11894	WORLD BANK ECON REV
Real Estate Economics	/Journal/5005/real-estate-econ-real-estate-economics	1003	11867	REAL ESTATE ECON
Journal of Portfolio Management	/Journal/4917/j-portfolio-manage-journal-of-portfolio-management	1877	11736	J PORTFOLIO MANAGE
Journal of Futures Markets	/Journal/4876/j-futures-markets-journal-of-futures-markets	1588	11692	J FUTURES MARKETS
British Journal of Management	/Journal/4652/brit-j-manage-british-journal-of-management	795	11668	BRIT J MANAGE
Journal of Consumer Marketing	/Journal/16934/journal-of-consumer-marketing	1012	11600	
Agricultural Economics	/Journal/4613/agr-econ-agricultural-economics	1592	11561	AGR ECON
Industrial Relations	/Journal/4774/ind-relat-industrial-relations	1601	11523	IND RELAT
Review of Income and Wealth	/Journal/5026/rev-income-wealth-review-of-income-and-wealth	1467	11385	REV INCOME WEALTH
Journal of Forecasting	/Journal/4875/j-forecasting-journal-of-forecasting	1153	11377	J FORECASTING
Journal of Economic Surveys	/Journal/4860/j-econ-surv-journal-of-economic-surveys	615	11228	J ECON SURV
Social Choice and Welfare	/Journal/5048/soc-choice-welfare-social-choice-and-welfare	1331	11125	SOC CHOICE WELFARE
European Management Journal	/Journal/4736/eur-manag-j-european-management-journal	1800	11040	EUR MANAG J
R & D Management	/Journal/5001/r-d-manage-r-&-d-management	1408	10826	R D MANAGE
Journal of Economic Growth	/Journal/4853/j-econ-growth-journal-of-economic-growth	219	10790	J ECON GROWTH
Journal of The European Economic Association	/Journal/4865/j-eur-econ-assoc-journal-of-the-european-economic-association	712	10734	J EUR ECON ASSOC
Oxford Bulletin of Economics and Statistics	/Journal/4981/oxford-bull-econ-stat-oxford-bulletin-of-economics-and-statistics	1145	10716	OXFORD BULL ECON STAT
Journal of Money Credit and Banking	/Journal/4908/j-money-credit-banking-journal-of-money-credit-and-banking	662	10515	J MONEY CREDIT BANKING
Journal of Population Economics	/Journal/4916/j-popul-econ-journal-of-population-economics	864	10513	J POPUL ECON
Journal of Marketing Management	/Journal/15760/journal-of-marketing-management	1228	10447	
Labour Economics	/Journal/4946/labour-econ-labour-economics	926	10443	LABOUR ECON
Mathematical Social Sciences	/Journal/988/mathematical-social-sciences	1973	10361	
Journal of Economics & Management Strategy	/Journal/4858/j-econ-manage-strategy-journal-of-economics-&-management-strategy	728	10218	J ECON MANAGE STRATEGY
Cornell Hotel and Restaurant Administration Quarterly	/Journal/4676/cornell-hotel-restaur-admin-q-cornell-hotel-and-restaurant-administration-quarterly	4135	10171	CORNELL HOTEL RESTAUR ADMIN Q
Family Business Review	/Journal/4741/fam-bus-rev-family-business-review	754	10161	FAM BUS REV
Group & Organization Management	/Journal/4760/group-organ-manage-group-&-organization-management	1159	10069	GROUP ORGAN MANAGE
Total Quality Management & Business Excellence	/Journal/5060/total-qual-manag-bus-excell-total-quality-management-&-business-excellence	1639	9989	TOTAL QUAL MANAG BUS EXCELL
Food Policy	/Journal/4750/food-policy	2091	9983	
Journal of Accounting Research	/Journal/4818/j-account-res-journal-of-accounting-research	612	9843	J ACCOUNT RES
Journal of Empirical Finance	/Journal/4863/j-empir-financ-journal-of-empirical-finance	605	9705	J EMPIR FINANC
Empirical Economics	/Journal/4716/empir-econ-empirical-economics	1568	9671	EMPIR ECON
International Business Review	/Journal/4779/int-bus-rev-international-business-review	850	9441	INT BUS REV
Construction Management and Economics	/Journal/15753/construction-management-and-economics	1823	9415	
Journal of Service Research	/Journal/4933/j-serv-res-journal-of-service-research	342	9402	J SERV RES
Journal of Real Estate Finance and Economics	/Journal/4924/j-real-estate-financ-econ-journal-of-real-estate-finance-and-economics	979	9295	J REAL ESTATE FINANC ECON
Review of Economic Dynamics	/Journal/5015/rev-econ-dyn-review-of-economic-dynamics	544	9212	REV ECON DYN
Service Industries Journal	/Journal/5044/serv-ind-j-service-industries-journal	1778	9203	SERV IND J
Econometric Reviews	/Journal/4706/econom-rev-econometric-reviews	680	9143	ECONOM REV
Applied Economics Letters	/Journal/4624/appl-econ-letters-applied-economics-letters	4193	9122	APPL ECON LETTERS
International Journal of Retail & Distribution Management	/Journal/16922/international-journal-of-retail-&-distribution-management	1627	8908	
Journal of Productivity Analysis	/Journal/4919/j-prod-anal-journal-of-productivity-analysis	643	8900	J PROD ANAL
Management Accounting Research	/Journal/14683/management-accounting-research	477	8833	
Oxford Economic Papers-new Series	/Journal/4982/oxford-econ-pap-new-ser-oxford-economic-papers-new-series	430	8764	OXFORD ECON PAP-NEW SER
International Journal of Bank Marketing	/Journal/16931/international-journal-of-bank-marketing	762	8663	
Production and Operations Management	/Journal/4994/prod-oper-manag-production-and-operations-management	683	8611	PROD OPER MANAG
Color Research and Application	/Journal/1994/color-res-appl-color-research-and-application	2226	8584	COLOR RES APPL
Contemporary Accounting Research	/Journal/4673/contemp-account-res-contemporary-accounting-research	779	8524	CONTEMP ACCOUNT RES
Supply Chain Management-an International Journal	/Journal/5053/supply-chain-manag-supply-chain-management-an-international-journal	764	8481	SUPPLY CHAIN MANAG
Journal of Financial Intermediation	/Journal/4872/j-financ-intermed-journal-of-financial-intermediation	515	8390	J FINANC INTERMED
Manchester School	/Journal/4957/manch-sch-manchester-school	1595	8353	MANCH SCH
Scottish Journal of Political Economy	/Journal/5043/scot-j-polit-econ-scottish-journal-of-political-economy	1552	8238	SCOT J POLIT ECON
Administrative Science Quarterly	/Journal/4607/admin-sci-quart-administrative-science-quarterly	462	8197	ADMIN SCI QUART
Applied Financial Economics	/Journal/16208/applied-financial-economics	2035	8182	
Journal of Corporate Finance	/Journal/4843/j-corp-financ-journal-of-corporate-finance	613	8172	J CORP FINANC
International Journal of Hospitality Management	/Journal/4792/int-j-hosp-manag-international-journal-of-hospitality-management	1497	8137	INT J HOSP MANAG
International Small Business Journal	/Journal/4811/int-small-bus-j-international-small-business-journal	1850	8080	INT SMALL BUS J
Journal of Agricultural Economics	/Journal/4820/j-agr-econ-journal-of-agricultural-economics	1523	7981	J AGR ECON
Organization	/Journal/4980/organization	792	7910	
Journal of Business & Industrial Marketing	/Journal/4834/j-bus-ind-mark-journal-of-business-&-industrial-marketing	830	7784	J BUS IND MARK
Scandinavian Journal of Economics	/Journal/5040/scand-j-econ-scandinavian-journal-of-economics	1036	7767	SCAND J ECON
Journal of Socio-economics	/Journal/14249/journal-of-socio-economics	1546	7755	
Journal of Policy Modeling	/Journal/4914/j-policy-modeling-journal-of-policy-modeling	1491	7700	J POLICY MODELING
Theory and Decision	/Journal/5059/theor-decis-theory-and-decision	1376	7644	THEOR DECIS
Journal of World Business	/Journal/4939/j-world-bus-journal-of-world-business	626	7644	J WORLD BUS
The Journal of Supply Chain Management	/Journal/17431/the-journal-of-supply-chain-management	414	7610	
Critical Perspectives on Accounting	/Journal/14554/critical-perspectives-on-accounting	1320	7584	
International Journal of Contemporary Hospitality Management	/Journal/4785/int-j-contemp-hosp-manag-international-journal-of-contemporary-hospitality-management	1038	7577	INT J CONTEMP HOSP MANAG
