Name	Link	NPubs_list	NCits_list	ShortName
Aquaculture Economics & Management	/Journal/16094/aquaculture-economics-&-management	322	1042	
Work Study	/Journal/16958/work-study	436	1032	
Technological and Economic Development of Economy	/Journal/5058/technol-econ-dev-econ-technological-and-economic-development-of-economy	300	1030	TECHNOL ECON DEV ECON
Transfer: European Review of Labour and Research	/Journal/18246/transfer-european-review-of-labour-and-research	1188	1026	
Property Management	/Journal/16924/property-management	694	1023	
Small Enterprise Development	/Journal/20738/small-enterprise-development	580	1023	
Review of Economics of The Household	/Journal/15140/review-of-economics-of-the-household	214	1021	
Consumption Markets & Culture	/Journal/16391/consumption-markets-&-culture	317	1016	
Asia Pacific Business Review	/Journal/16038/asia-pacific-business-review	658	1014	
The Quarterly Journal of Austrian Economics	/Journal/13685/the-quarterly-journal-of-austrian-economics	270	1012	
Australasian Marketing Journal (amj)	/Journal/14925/australasian-marketing-journal-amj	338	1011	
International Journal of Wine Marketing	/Journal/16996/international-journal-of-wine-marketing	254	1008	
Finanzarchiv	/Journal/4748/finanzarchiv	241	1001	
Emergence	/Journal/15971/emergence	161	997	
Economic Affairs	/Journal/17451/econ-aff-economic-affairs	2980	989	Econ Aff
Intereconomics	/Journal/13530/intereconomics	2678	979	
Economic Notes	/Journal/17352/econ-notes-economic-notes	220	960	Econ Notes
Brookings Trade Forum	/Journal/18712/brookings-trade-forum	101	940	
International Public Management Journal	/Journal/4808/int-public-manag-j-international-public-management-journal	411	939	INT PUBLIC MANAG J
Journal of Hospitality & Leisure Marketing	/Journal/18559/journal-of-hospitality-&-leisure-marketing	325	933	
Management International Review	/Journal/4954/manage-int-rev-wiesbaden-management-international-review	218	918	MANAGE INT REV-WIESBADEN
Annual Review of Energy	/Journal/17719/annu-rev-energ-annual-review-of-energy	268	917	Annu Rev Energ
Financial Services Review	/Journal/14221/financial-services-review	173	914	
B E Journal of Economic Analysis & Policy	/Journal/4645/b-e-j-econ-anal-policy-b-e-journal-of-economic-analysis-&-policy	303	911	B E J ECON ANAL POLICY
The Journal of Alternative Investments	/Journal/21143/the-journal-of-alternative-investments	417	903	
International Negotiation	/Journal/17995/int-negot-international-negotiation	359	901	Int Negot
New Zealand Economic Papers	/Journal/16592/new-zealand-economic-papers	583	898	
Asia Pacific Journal of Marketing and Logistics	/Journal/16978/asia-pacific-journal-of-marketing-and-logistics	360	893	
Imf Staff Papers	/Journal/4770/imf-staff-pap-imf-staff-papers	193	891	IMF STAFF PAP
Journal of Marketing Practice: Applied Marketing Science	/Journal/16898/journal-of-marketing-practice-applied-marketing-science	84	882	
Social Marketing Quarterly	/Journal/15931/social-marketing-quarterly	449	880	
American Economic Journal: Macroeconomics	/Journal/18491/american-economic-journal-macroeconomics	46	877	
International Journal of Electronic Commerce	/Journal/4787/int-j-electron-commer-international-journal-of-electronic-commerce	154	873	INT J ELECTRON COMMER
Contributions in Economic Analysis & Policy	/Journal/20042/contributions-in-economic-analysis-&-policy	109	870	
Journal of Quality Management	/Journal/14309/journal-of-quality-management	89	855	
Indian Economic and Social History Review	/Journal/12193/indian-economic-and-social-history-review	1944	846	
Or Insight	/Journal/15633/or-insight	434	844	
Managing Leisure	/Journal/16213/managing-leisure	398	839	
Asian-pacific Economic Literature	/Journal/4635/asian-pac-econ-lit-asian-pacific-economic-literature	293	835	ASIAN-PAC ECON LIT
Journal of Financial Stability	/Journal/14456/journal-of-financial-stability	342	833	
Review of Environmental Economics and Policy	/Journal/5020/rev-env-econ-policy-review-of-environmental-economics-and-policy	73	833	REV ENV ECON POLICY
Review of Urban & Regional Development Studies	/Journal/17349/rev-urban-reg-dev-stud-review-of-urban-&-regional-development-studies	282	826	Rev Urban Reg Dev Stud
International Journal of Health Care Finance & Economics	/Journal/4791/int-j-health-care-financ-econ-international-journal-of-health-care-finance-&-economics	188	825	INT J HEALTH CARE FINANC ECON
Journal of Industry, Competition and Trade	/Journal/13458/journal-of-industry-competition-and-trade	222	822	
International Journal of Sustainable Development	/Journal/18890/int-j-sustain-dev-international-journal-of-sustainable-development	252	820	Int J Sustain Dev
Accountability in Research	/Journal/15874/accountability-in-research	391	819	
Reflections: The Sol Journal	/Journal/17940/reflections-the-sol-journal	136	816	
Advances in Economic Analysis & Policy	/Journal/20008/adv-econ-anal-pol-advances-in-economic-analysis-&-policy	53	814	Adv Econ Anal Pol
Behavioral Research in Accounting	/Journal/20146/behav-res-account-behavioral-research-in-accounting	104	805	Behav Res Account
Cost Effectiveness and Resource Allocation	/Journal/18321/cost-eff-resour-alloc-cost-effectiveness-and-resource-allocation	143	798	Cost Eff Resour Alloc
Contributions in Macroeconomics	/Journal/20020/contributions-in-macroeconomics	60	796	
Public Performance & Management Review	/Journal/20385/public-performance-&-management-review	400	794	
Journal of The Asia Pacific Economy	/Journal/4826/j-asia-pac-econ-journal-of-the-asia-pacific-economy	452	790	J ASIA PAC ECON
European Management Review	/Journal/15598/european-management-review	197	789	
Journal of Electronic Publishing	/Journal/21361/journal-of-electronic-publishing	312	781	
Focus on Catalysts	/Journal/14073/focus-on-catalysts	1786	776	
Accounting, Business and Financial History	/Journal/16206/accounting-business-and-financial-history	377	773	
Journal of Advertising	/Journal/10763/j-advertising-journal-of-advertising	160	770	J ADVERTISING
Total Quality Management	/Journal/5061/total-qual-manage-total-quality-management	175	762	TOTAL QUAL MANAGE
Perspektiven Der Wirtschaftspolitik	/Journal/17376/perspektiven-der-wirtschaftspolitik	313	761	
Journal of Behavioral Economics	/Journal/14394/journal-of-behavioral-economics	386	753	
Edpacs	/Journal/16403/edpacs	937	750	
Accounting History	/Journal/18169/account-hist-accounting-history	302	750	Account Hist
Advances in Macroeconomics	/Journal/20019/adv-macroecon-advances-in-macroeconomics	20	749	Adv Macroecon
Asian Economic Papers	/Journal/4632/asian-econ-pap-asian-economic-papers	198	741	ASIAN ECON PAP
Finance Research Letters	/Journal/4746/financ-res-lett-finance-research-letters	227	736	FINANC RES LETT
Academy of Management Journal	/Journal/4597/acad-manage-j-academy-of-management-journal	182	721	ACAD MANAGE J
Brookings-wharton Papers on Urban Affairs	/Journal/18707/brookings-wharton-paper-urban-aff-brookings-wharton-papers-on-urban-affairs	56	721	Brookings Wharton Paper Urban Aff
Teaching Business Ethics	/Journal/15181/teaching-business-ethics	221	715	
Journal of Human Resource Costing & Accounting	/Journal/17000/journal-of-human-resource-costing-&-accounting	156	714	
Journal of Asset Management	/Journal/15617/journal-of-asset-management	319	713	
Journal of Revenue and Pricing Management	/Journal/15610/journal-of-revenue-and-pricing-management	376	703	
Progress in Tourism and Hospitality Research	/Journal/13197/progress-in-tourism-and-hospitality-research	227	702	
Journal of Public Affairs	/Journal/13263/journal-of-public-affairs	329	701	
China & World Economy	/Journal/4669/china-world-econ-china-&-world-economy	205	699	CHINA WORLD ECON
Games and Culture	/Journal/18166/game-cult-games-and-culture	158	695	Game Cult
Spanish Economic Review	/Journal/13852/spanish-economic-review	175	694	
International Journal of Commerce and Management	/Journal/17067/int-j-commerce-manag-international-journal-of-commerce-and-management	368	684	Int J Commerce Manag
Asia-pacific Financial Markets	/Journal/13507/asia-pacific-financial-markets	305	673	
Business and Politics	/Journal/20005/business-and-politics	191	673	
Competition and Change	/Journal/18263/compet-change-competition-and-change	150	671	Compet Change
Handbook of Monetary Economics	/Journal/14597/handbook-of-monetary-economics	52	665	
Leader To Leader	/Journal/13241/leader-to-leader	404	664	
The Columbia Journal of World Business	/Journal/14667/the-columbia-journal-of-world-business	194	663	
Sport Management Review	/Journal/14868/sport-management-review	237	657	
International Journal of Innovation Management	/Journal/17663/int-j-innovat-manag-international-journal-of-innovation-management	143	656	Int J Innovat Manag
World Trade Review	/Journal/11619/world-trade-rev-world-trade-review	308	655	WORLD TRADE REV
Opec Review	/Journal/17326/opec-review	707	650	
Vierteljahrshefte Zur Wirtschaftsforschung	/Journal/20995/vierteljahrshefte-zur-wirtschaftsforschung	459	646	
Health Services and Outcomes Research Methodology	/Journal/13435/health-services-and-outcomes-research-methodology	155	645	
Slavery & Abolition	/Journal/12291/slavery-&-abolition	799	643	
International Economics and Economic Policy	/Journal/13475/international-economics-and-economic-policy	218	635	
Journal of Corporate Real Estate	/Journal/16997/journal-of-corporate-real-estate	284	631	
Rivista Di Matematica Per Le Scienze Economiche E Sociali	/Journal/13393/rivista-di-matematica-per-le-scienze-economiche-e-sociali	414	624	
Journal of Business Economics and Management	/Journal/4830/j-bus-econ-manag-journal-of-business-economics-and-management	307	624	J BUS ECON MANAG
Journal of Pension Economics & Finance	/Journal/4913/j-pension-econ-financ-journal-of-pension-economics-&-finance	263	621	J PENSION ECON FINANC
Education Finance and Policy	/Journal/17936/education-finance-and-policy	163	621	
Employee Assistance Quarterly	/Journal/18553/employee-assistance-quarterly	499	620	
Research in International Business and Finance	/Journal/14457/research-in-international-business-and-finance	209	620	
Financial Markets and Portfolio Management	/Journal/13542/financial-markets-and-portfolio-management	247	619	
Journal of Forest Economics	/Journal/4874/j-for-econ-journal-of-forest-economics	198	617	J FOR ECON
Annals of Finance	/Journal/13510/annals-of-finance	182	608	
Competitiveness Review: An International Business Journal Incorporating Journal of Global Competitiveness	/Journal/17066/competitiveness-review-an-international-business-journal-incorporating-journal-of-global	377	601	
Journal of Marketing for Higher Education	/Journal/15869/journal-of-marketing-for-higher-education	367	599	
The International Trade Journal	/Journal/16185/the-international-trade-journal	465	597	
International Journal of Agile Management Systems	/Journal/17010/international-journal-of-agile-management-systems	47	593	
Journal of Forensic Economics	/Journal/22000/j-forensic-econ-journal-of-forensic-economics	533	592	J Forensic Econ
Strategic Entrepreneurship Journal	/Journal/13336/strategic-entrepreneurship-journal	86	583	
International Journal of Computational Intelligence Research	/Journal/21948/international-journal-of-computational-intelligence-research	150	582	
Comparative Strategy	/Journal/16177/comparative-strategy	803	578	
The Marketing Review	/Journal/18801/market-rev-the-marketing-review	227	573	Market Rev
Family and Consumer Sciences Research Journal	/Journal/17340/fam-consum-sci-res-j-family-and-consumer-sciences-research-journal	1089	567	Fam Consum Sci Res J
The Journal of World Intellectual Property	/Journal/17449/the-journal-of-world-intellectual-property	478	562	
Journal of Facilities Management	/Journal/16982/journal-of-facilities-management	208	560	
Brookings-wharton Papers on Financial Services	/Journal/18732/brookings-wharton-paper-financ-serv-brookings-wharton-papers-on-financial-services	61	548	Brookings Wharton Paper Financ Serv
Journal of Leadership & Organizational Studies	/Journal/18203/j-leader-organ-stud-journal-of-leadership-&-organizational-studies	546	547	J Leader Organ Stud
E-service Journal	/Journal/20421/e-serv-j-e-service-journal	142	546	e Serv J
Enterprise & Society	/Journal/4719/enterp-soc-enterprise-&-society	1082	544	ENTERP SOC
Risk Management	/Journal/15625/risk-management	302	544	
American Economic Journal: Applied Economics	/Journal/18490/american-economic-journal-applied-economics	55	539	
Energy Sources, Part B: Economics, Planning, and Policy	/Journal/16406/energy-sources-part-b-economics-planning-and-policy	283	535	
Moct-most Economic Policy in Transitional Economies	/Journal/13455/moct-most-economic-policy-in-transitional-economies	295	534	
The Journal of Private Equity	/Journal/21147/the-journal-of-private-equity	405	532	
The Journal of Marketing Theory and Practice	/Journal/20398/the-journal-of-marketing-theory-and-practice	107	518	
The Economists' Voice	/Journal/20030/the-economists-voice	291	516	
European Journal of The History of Economic Thought	/Journal/4730/eur-j-hist-econ-thought-european-journal-of-the-history-of-economic-thought	550	514	EUR J HIST ECON THOUGHT
The Review of International Organizations	/Journal/13567/the-review-of-international-organizations	157	514	
International Journal of Entrepreneurship and Innovation Management	/Journal/18894/int-j-enterpren-innovat-manag-international-journal-of-entrepreneurship-and-innovation-management	337	513	Int J Enterpren Innovat Manag
Journal of Business-to-business Marketing	/Journal/4838/j-bus-bus-mark-journal-of-business-to-business-marketing	289	511	J BUS-BUS MARK
Journal of Chinese Economic and Business Studies	/Journal/16029/journal-of-chinese-economic-and-business-studies	196	511	
International Journal of Risk Assessment and Management	/Journal/18891/int-j-risk-assess-manag-international-journal-of-risk-assessment-and-management	339	508	Int J Risk Assess Manag
Topics in Economic Analysis & Policy	/Journal/20010/top-econ-anal-pol-topics-in-economic-analysis-&-policy	110	508	Top Econ Anal Pol
Filtration Industry Analyst	/Journal/14064/filtration-industry-analyst	1820	505	
Leadership	/Journal/18130/leadership	150	505	
Journal of Institutional Economics	/Journal/15042/journal-of-institutional-economics	127	504	
Pump Industry Analyst	/Journal/14108/pump-industry-analyst	1024	501	
Young Consumers: Insight and Ideas for Responsible Marketers	/Journal/17049/young-consumers-insight-and-ideas-for-responsible-marketers	394	497	
Research in Transportation Economics	/Journal/14475/research-in-transportation-economics	383	497	
International Journal of Management and Decision Making	/Journal/18889/int-j-manag-decis-making-international-journal-of-management-and-decision-making	243	497	Int J Manag Decis Making
Journal of Database Marketing	/Journal/15626/journal-of-database-marketing	123	497	
Applied Financial Economics Letters	/Journal/16111/applied-financial-economics-letters	292	496	
International Journal of Business Performance Management	/Journal/18885/int-j-bus-perform-manag-international-journal-of-business-performance-management	245	496	Int J Bus Perform Manag
B E Journal of Macroeconomics	/Journal/4646/b-e-j-macroecon-b-e-journal-of-macroeconomics	134	494	B E J MACROECON
Ricerche Economiche	/Journal/14701/ricerche-economiche	89	490	
International Journal of Quality Science	/Journal/17007/international-journal-of-quality-science	46	490	
Scandinavian Journal of Hospitality and Tourism	/Journal/5041/scand-j-hosp-tour-scandinavian-journal-of-hospitality-and-tourism	148	487	SCAND J HOSP TOUR
Agricultural Finance Review	/Journal/17110/agricultural-finance-review	199	482	
Journal of Financial Crime	/Journal/16970/journal-of-financial-crime	739	480	
International Journal of Management and Enterprise Development	/Journal/18906/int-j-manag-enterprise-dev-international-journal-of-management-and-enterprise-development	232	470	Int J Manag Enterprise Dev
The Bottom Line: Managing Library Finances	/Journal/17045/the-bottom-line-managing-library-finances	713	461	
Oecd Journal on Budgeting	/Journal/19474/oecd-journal-on-budgeting	178	461	
Revista De Historia Economica	/Journal/5025/rev-hist-econ-revista-de-historia-economica	1338	459	REV HIST ECON
Empowerment in Organizations	/Journal/16900/empowerment-in-organizations	107	458	
International Journal of Emerging Electric Power Systems	/Journal/20013/international-journal-of-emerging-electric-power-systems	250	457	
Journal of Personal Selling and Sales Management	/Journal/20393/journal-of-personal-selling-and-sales-management	112	455	
Forum for Health Economics & Policy	/Journal/20036/forum-health-econ-pol-forum-for-health-economics-&-policy	99	454	Forum Health Econ Pol
Applied Health Economics and Health Policy	/Journal/19592/appl-health-econ-health-pol-applied-health-economics-and-health-policy	126	449	Appl Health Econ Health Pol
Topics in Macroeconomics	/Journal/20022/top-macroecon-topics-in-macroeconomics	100	449	Top Macroecon
International Review of Finance	/Journal/17306/int-rev-finance-international-review-of-finance	89	445	Int Rev Finance
Journal of Corporate Accounting & Finance	/Journal/13186/journal-of-corporate-accounting-&-finance	1749	437	
Journal of Community Practice	/Journal/15815/journal-of-community-practice	507	437	
International Journal of Theoretical and Applied Finance	/Journal/17667/ijtaf-international-journal-of-theoretical-and-applied-finance	189	434	IJTAF
Journal of Property Finance	/Journal/17039/journal-of-property-finance	203	429	
Business Information Review	/Journal/18116/bus-inform-rev-business-information-review	758	428	Bus Inform Rev
International Journal of Value-based Management	/Journal/13496/international-journal-of-value-based-management	278	427	
Nspi Journal	/Journal/13320/nspi-journal	1190	415	
Place Branding	/Journal/15607/place-branding	63	414	
Asian Economic Policy Review	/Journal/4633/asian-econ-policy-rev-asian-economic-policy-review	259	412	ASIAN ECON POLICY REV
Journal of Financial Regulation and Compliance	/Journal/16969/journal-of-financial-regulation-and-compliance	632	411	
Journal of Nonprofit & Public Sector Marketing	/Journal/15790/journal-of-nonprofit-&-public-sector-marketing	420	403	
Revista Brasileira De Economia	/Journal/19338/rev-bras-econ-revista-brasileira-de-economia	234	402	Rev Bras Econ
Southeast Asian Affairs	/Journal/18796/southeast-asian-affairs	901	401	
Advances in Theoretical Economics	/Journal/20024/adv-theor-econ-advances-in-theoretical-economics	25	398	Adv Theor Econ
Tourism and Hospitality Research	/Journal/15612/tourism-and-hospitality-research	189	397	
Health Economics, Policy and Law	/Journal/15047/health-economics-policy-and-law	170	396	
Journal of Post Keynesian Economics	/Journal/4918/j-post-keynesian-econ-journal-of-post-keynesian-economics	167	394	J POST KEYNESIAN ECON
International Journal of Entrepreneurship and Small Business	/Journal/18910/int-j-enterpren-small-bus-international-journal-of-entrepreneurship-and-small-business	315	393	Int J Enterpren Small Bus
Journal of Mineralogy, Petrology and Economic Geology	/Journal/20197/journal-of-mineralogy-petrology-and-economic-geology	178	393	
Australian Economic History Review	/Journal/4640/aust-econ-hist-rev-australian-economic-history-review	229	392	AUST ECON HIST REV
Lippincott's Case Management	/Journal/16811/lippincott-s-case-management	350	387	
Eastern Economic Journal	/Journal/15630/eastern-economic-journal	605	386	
Revue De L'ofce	/Journal/20872/revue-de-l-ofce	840	385	
Journal of Competition Law and Economics	/Journal/16748/journal-of-competition-law-and-economics	163	381	
Handbook of Econometrics	/Journal/14589/handbook-of-econometrics	114	381	
Oecd Economic Studies	/Journal/19472/oecd-econ-stud-oecd-economic-studies	53	381	OECD Econ Stud
Regional and Urban Economics	/Journal/14388/regional-and-urban-economics	96	380	
International Review of Economics	/Journal/13433/international-review-of-economics	225	378	
Health Marketing Quarterly	/Journal/15777/health-marketing-quarterly	792	376	
The Journal of Structured Finance	/Journal/21148/the-journal-of-structured-finance	526	374	
Journal of World History	/Journal/12226/journal-of-world-history	1474	372	
International Journal of Critical Infrastructures	/Journal/18909/international-journal-of-critical-infrastructures	161	371	
International Journal of Maritime Economics	/Journal/15601/international-journal-of-maritime-economics	53	370	
Employment Relations Today	/Journal/13216/employment-relations-today	667	369	
Global Change, Peace & Security	/Journal/15879/global-change-peace-&-security	400	367	
Social Science & Medicine. Part C: Medical Economics	/Journal/14948/social-science-&-medicine-part-c-medical-economics	158	364	
Innovations: Technology, Governance, Globalization	/Journal/17938/innovations-technology-governance-globalization	327	362	
Action Learning: Research and Practice	/Journal/16037/action-learning-research-and-practice	232	361	
Handbook of Labor Economics	/Journal/14594/handbook-of-labor-economics	56	360	
Strategic Analysis	/Journal/16482/strategic-analysis	1541	357	
Journal of Medical Marketing	/Journal/15605/journal-of-medical-marketing	448	357	
The International Journal on Media Management	/Journal/16084/the-international-journal-on-media-management	288	357	
Scandinavian International Business Review	/Journal/14172/scandinavian-international-business-review	31	357	
Journal of Global Marketing	/Journal/15784/journal-of-global-marketing	531	355	
Infosecurity	/Journal/14705/infosecurity	683	352	
The Journal of Wealth Management	/Journal/21149/the-journal-of-wealth-management	419	352	
The Academy of Management Annals	/Journal/16529/the-academy-of-management-annals	79	351	
International Journal of Agricultural Resources, Governance and Ecology	/Journal/18884/international-journal-of-agricultural-resources-governance-and-ecology	166	349	
International Journal of Automotive Technology and Management	/Journal/18893/int-j-automot-tech-manag-international-journal-of-automotive-technology-and-management	209	347	Int J Automot Tech Manag
B E Journal of Theoretical Economics	/Journal/4647/b-e-j-theor-econ-b-e-journal-of-theoretical-economics	159	345	B E J THEOR ECON
Journal of Money Laundering Control	/Journal/16971/journal-of-money-laundering-control	471	344	
Concepts and Transformation	/Journal/15688/concepts-and-transformation	93	341	
Accounting in Europe	/Journal/16445/accounting-in-europe	88	341	
International Journal of Business Process Integration and Management	/Journal/18931/int-j-bus-process-integrat-manag-international-journal-of-business-process-integration-and	111	340	Int J Bus Process Integrat Manag
Journal of Teaching in International Business	/Journal/15793/journal-of-teaching-in-international-business	428	339	
Review of Accounting and Finance	/Journal/16989/review-of-accounting-and-finance	234	336	
Journal of Customer Behaviour	/Journal/18800/journal-of-customer-behaviour	154	336	
Journal of International Consumer Marketing	/Journal/15786/journal-of-international-consumer-marketing	497	335	
Management Development Review	/Journal/17047/management-development-review	250	333	
International Journal of Global Energy Issues	/Journal/18887/int-j-global-energ-issues-international-journal-of-global-energy-issues	317	322	Int J Global Energ Issues
Maatwerk	/Journal/13941/maatwerk	872	321	
International Journal of Product Development	/Journal/18921/int-j-prod-dev-international-journal-of-product-development	237	318	Int J Prod Dev
International Journal of Economic Theory	/Journal/4786/int-j-econ-theory-international-journal-of-economic-theory	120	317	INT J ECON THEORY
New Economy	/Journal/17325/new-econ-new-economy	571	306	New Econ
Global Economy Journal	/Journal/20029/global-econ-q-global-economy-journal	188	306	Global Econ Q
Cambridge Journal of Regions, Economy and Society	/Journal/16770/cambridge-journal-of-regions-economy-and-society	86	303	
Workingusa	/Journal/17368/workingusa	384	300	
Project Management Journal	/Journal/13335/project-management-journal	188	297	
Training for Quality	/Journal/17041/training-for-quality	110	297	
International Journal of Career Management	/Journal/17023/international-journal-of-career-management	101	294	
Qualitative Research in Accounting & Management	/Journal/16967/qualitative-research-in-accounting-&-management	123	292	
Contributions To Political Economy	/Journal/16753/contributions-to-political-economy	107	292	
Spatial Economic Analysis	/Journal/16373/spatial-economic-analysis	77	292	
Journal of International Accounting Research	/Journal/20150/j-int-account-res-journal-of-international-accounting-research	64	291	J Int Account Res
The Journal of Developing Areas	/Journal/18645/j-develop-area-the-journal-of-developing-areas	305	289	J Develop Area
The Tqm Journal	/Journal/17043/the-tqm-journal	181	289	
Global Economic Review	/Journal/16327/global-economic-review	600	286	
Journal of Hospitality Marketing & Management	/Journal/16584/journal-of-hospitality-marketing-&-management	260	282	
Financial History Review	/Journal/15065/financial-history-review	319	278	
Annual Review of Economics	/Journal/4620/annu-rev-econ-annual-review-of-economics	54	278	ANNU REV ECON
Journal of Professional Services Marketing	/Journal/18575/j-prof-serv-market-journal-of-professional-services-marketing	573	275	J Prof Serv Market
Energy Efficiency	/Journal/13726/energy-efficiency	133	275	
Studies in Nonlinear Dynamics and Econometrics	/Journal/5052/stud-nonlinear-dyn-econom-studies-in-nonlinear-dynamics-and-econometrics	33	275	STUD NONLINEAR DYN ECONOM
The Ids Bulletin	/Journal/17242/the-ids-bulletin	292	264	
Executive Development	/Journal/17017/executive-development	268	264	
International Journal of Integrated Supply Management	/Journal/18914/int-j-integrated-supply-manag-international-journal-of-integrated-supply-management	102	264	Int J Integrated Supply Manag
Business Economics	/Journal/15602/business-economics	201	263	
Frontiers of Theoretical Economics	/Journal/20006/front-theor-econ-frontiers-of-theoretical-economics	2	261	Front Theor Econ
American Economic Journal: Economic Policy	/Journal/18493/american-economic-journal-economic-policy	42	258	
Critical Perspectives on International Business	/Journal/16975/critical-perspectives-on-international-business	147	257	
Journal of Convention & Exhibition Management	/Journal/18557/journal-of-convention-&-exhibition-management	81	257	
Peace Economics, Peace Science and Public Policy	/Journal/20040/peace-econ-peace-sci-publ-pol-peace-economics-peace-science-and-public-policy	116	255	Peace Econ Peace Sci Publ Pol
Advances in Accounting	/Journal/14599/advances-in-accounting	227	252	
Public Management	/Journal/16281/public-management	29	252	
Asian Business & Management	/Journal/4629/asian-bus-manag-asian-business-&-management	176	251	ASIAN BUS MANAG
Perspectives on Global Development and Technology	/Journal/15239/perspectives-on-global-development-and-technology	225	249	
Iktisat Isletme Ve Finans	/Journal/4769/iktisat-islet-finans-iktisat-isletme-ve-finans	1911	246	IKTISAT ISLET FINANS
Journal of Emerging Market Finance	/Journal/18135/j-emerg-market-finance-journal-of-emerging-market-finance	133	244	J Emerg Market Finance
Journal of Poverty	/Journal/15816/journal-of-poverty	376	242	
International Journal of Learning and Intellectual Capital	/Journal/18915/international-journal-of-learning-and-intellectual-capital	165	240	
Journal of Organizational Excellence	/Journal/13202/journal-of-organizational-excellence	270	239	
Cornell Hospitality Quarterly	/Journal/4675/cornell-hosp-q-cornell-hospitality-quarterly	259	237	CORNELL HOSP Q
American Economic Journal: Microeconomics	/Journal/18492/american-economic-journal-microeconomics	48	235	
International Journal of Innovation and Sustainable Development	/Journal/18969/int-j-innovat-sustain-dev-international-journal-of-innovation-and-sustainable-development	107	234	Int J Innovat Sustain Dev
Nber/tax Policy and The Economy	/Journal/17939/nber-tax-policy-and-the-economy	18	234	
Journal of Banking Regulation	/Journal/15614/journal-of-banking-regulation	201	231	
International Journal of Transport Management	/Journal/14396/international-journal-of-transport-management	35	230	
Service Business	/Journal/13611/service-business	109	227	
International Journal of Technology and Globalisation	/Journal/18933/international-journal-of-technology-and-globalisation	68	223	
Emerging Markets Finance and Trade	/Journal/4715/emerg-mark-financ-trade-emerging-markets-finance-and-trade	160	221	EMERG MARK FINANC TRADE
International Journal of Managing Projects in Business	/Journal/17074/international-journal-of-managing-projects-in-business	152	220	
Journal of Business of The University of Chicago	/Journal/16642/journal-of-business-of-the-university-of-chicago	1052	219	
Journal of Entrepreneurship	/Journal/18142/j-enterpren-journal-of-entrepreneurship	397	218	J Enterpren
Norwegian Petroleum Society Special Publications	/Journal/14719/norwegian-petroleum-society-special-publications	173	218	
Journal of Collective Negotiations in The Public Sector	/Journal/19948/journal-of-collective-negotiations-in-the-public-sector	888	217	
International Journal of Technology Management and Sustainable Development	/Journal/18832/int-j-tech-manag-sustain-dev-international-journal-of-technology-management-and-sustainable	125	217	Int J Tech Manag Sustain Dev
Contributions in Theoretical Economics	/Journal/20025/contrib-theor-econ-contributions-in-theoretical-economics	43	214	Contrib Theor Econ
International Journal of Wine Business Research	/Journal/17059/international-journal-of-wine-business-research	110	213	
Asia-pacific Review	/Journal/15963/asia-pacific-review	245	206	
Journal of Accounting & Organizational Change	/Journal/16966/journal-of-accounting-&-organizational-change	112	206	
Handbook of Industrial Organization	/Journal/14596/handbook-of-industrial-organization	45	203	
Journal of Marketing Channels	/Journal/15788/journal-of-marketing-channels	326	200	
Journal of Economic Interaction and Coordination	/Journal/13570/journal-of-economic-interaction-and-coordination	80	200	
Pacific Accounting Review	/Journal/17063/pac-account-rev-pacific-accounting-review	152	199	Pac Account Rev
India Review	/Journal/16014/india-review	201	198	
Review of Law & Economics	/Journal/20033/review-of-law-&-economics	156	198	
Der Markt	/Journal/13851/der-markt	360	197	
Baltic Journal of Management	/Journal/4649/balt-j-manag-baltic-journal-of-management	129	197	BALT J MANAG
Journal of Energy Finance & Development	/Journal/14353/journal-of-energy-finance-&-development	20	197	
China: An International Journal	/Journal/18613/china-an-international-journal	349	194	
International Studies of Management and Organization	/Journal/20386/international-studies-of-management-and-organization	103	194	
Transport Logistics	/Journal/18027/transport-logist-transport-logistics	74	191	Transport Logist
World Class Design To Manufacture	/Journal/17035/world-class-design-to-manufacture	86	190	
Eurochoices	/Journal/17446/eurochoices	268	188	
Challenge	/Journal/20392/challenge	223	187	
International Journal of Hospitality & Tourism Administration	/Journal/15821/international-journal-of-hospitality-&-tourism-administration	244	183	
Journal of Research in Marketing and Entrepreneurship	/Journal/17112/journal-of-research-in-marketing-and-entrepreneurship	99	181	
Handbooks of Management Accounting Research	/Journal/14875/handbooks-of-management-accounting-research	110	180	
Handbook of International Economics	/Journal/14586/handbook-of-international-economics	46	179	
Schmollers Jahrbuch	/Journal/20989/schmollers-jahrbuch	81	178	
Journal of Foodservice Business Research	/Journal/15842/journal-of-foodservice-business-research	276	177	
Economic Quality Control	/Journal/19176/econ-qual-contr-economic-quality-control	194	177	Econ Qual Contr
Journal of Technology Management in China	/Journal/16973/journal-of-technology-management-in-china	116	177	
Asian Review of Accounting	/Journal/17064/asian-rev-account-asian-review-of-accounting	231	175	Asian Rev Account
International Journal of Logistics Systems and Management	/Journal/18916/int-j-logist-syst-manag-international-journal-of-logistics-systems-and-management	166	173	Int J Logist Syst Manag
Journal of Convention & Event Tourism	/Journal/16089/journal-of-convention-&-event-tourism	145	173	
International Journal of Emerging Markets	/Journal/16980/international-journal-of-emerging-markets	136	173	
International Journal of Services Sciences	/Journal/19035/int-j-serv-sci-international-journal-of-services-sciences	52	172	Int J Serv Sci
Global Business and Economics Review	/Journal/18926/global-bus-econ-rev-global-business-and-economics-review	225	170	Global Bus Econ Rev
Interactive Marketing	/Journal/15627/interactive-marketing	252	169	
