	Name	Link	NPubs_list	NCits_list	ShortName
12226	Journal of World History	/Journal/12226/journal-of-world-history	1474	372	
4540	International Journal of Computational Intelligence Systems	/Journal/4540/int-j-comput-intell-syst-international-journal-of-computational-intelligence-systems	117	372	INT J COMPUT INTELL SYST
166	Markup Languages	/Journal/166/markup-languages	126	369	
728	International Journal of Metadata, Semantics and Ontologies	/Journal/728/ijmso-international-journal-of-metadata-semantics-and-ontologies	122	368	IJMSO
15400	Computer-aided Engineering Journal	/Journal/15400/computer-aided-engineering-journal	304	366	
1009	International Journal of Data Warehousing and Mining	/Journal/1009/ijdwm-international-journal-of-data-warehousing-and-mining	101	366	IJDWM
982	Journal of Decision Systems	/Journal/982/journal-of-decision-systems	413	355	
4554	Journal of Computer and Systems Sciences International	/Journal/4554/j-comput-syst-sci-int-engl-tr-journal-of-computer-and-systems-sciences-international	539	350	J COMPUT SYST SCI INT-ENGL TR
18124	China Information	/Journal/18124/china-information	1486	349	
840	Foundations and Trends in Theoretical Computer Science	/Journal/840/fttcs-foundations-and-trends-in-theoretical-computer-science	24	349	FTTCS
315	Datenschutz Und Datensicherheit	/Journal/315/dud-datenschutz-und-datensicherheit	664	347	DUD
343	Computerworld	/Journal/343/cowo-computerworld	87	346	COWO
4506	Current Bioinformatics	/Journal/4506/curr-bioinform-current-bioinformatics	106	344	CURR BIOINFORM
973	Genomics, Proteomics & Bioinformatics	/Journal/973/genomics-proteomics-&-bioinformatics	152	343	
750	Journal of Information & Knowledge Management	/Journal/750/jikm-journal-of-information-&-knowledge-management	266	338	JIKM
476	ACM Sigoa Newsletter	/Journal/476/acm-sigoa-newsletter	141	335	
754	Journal of Theoretical and Applied Electronic Commerce Research	/Journal/754/jtaer-journal-of-theoretical-and-applied-electronic-commerce-research	139	333	JTAER
964	Scandinavian Journal of Information Systems	/Journal/964/scandinavian-journal-of-information-systems	53	329	
741	International Journal of Wireless and Mobile Computing	/Journal/741/ijwmc-international-journal-of-wireless-and-mobile-computing	128	326	IJWMC
99	ACM Journal of Computer Documentation	/Journal/99/jcd-acm-journal-of-computer-documentation	79	326	JCD
5637	Laboratory Robotics and Automation	/Journal/5637/lab-robotics-automation-laboratory-robotics-and-automation	312	325	LAB ROBOTICS AUTOMATION
15776	Computers in The Schools	/Journal/15776/computers-in-the-schools	881	323	
721	International Journal of Intelligent Systems Technologies and Applications	/Journal/721/ijista-international-journal-of-intelligent-systems-technologies-and-applications	261	321	IJISTA
19636	Aided Drug Design	/Journal/19636/current-computer-aided-drug-design	147	321	Current Computer
17619	Pattern Recognition and Image Analysis	/Journal/17619/pattern-recognition-and-image-analysis	515	309	
17069	Journal of Systems and Information Technology	/Journal/17069/journal-of-systems-and-information-technology	142	309	
748	Journal of Digital Information Management	/Journal/748/jdim-journal-of-digital-information-management	321	308	JDIM
17760	Eurasip Journal on Bioinformatics and Systems Biology	/Journal/17760/eurasip-journal-on-bioinformatics-and-systems-biology	83	305	
910	Mobile Information Systems	/Journal/910/mobile-information-systems	109	302	
923	Reports on Mathematical Logic	/Journal/923/rml-reports-on-mathematical-logic	144	300	RML
715	International Journal of High Performance Computing and Networking	/Journal/715/ijhpcn-international-journal-of-high-performance-computing-and-networking	186	299	IJHPCN
15423	Information Security	/Journal/15423/iee-proceedings-information-security	30	299	Iee Proceedings
385	Rundbrief Der Gi-fachgruppe 5.10 Informationssystem-architekturen	/Journal/385/isa-rundbrief-der-gi-fachgruppe-5-10-informationssystem-architekturen	24	293	ISA
756	Ldv Forum	/Journal/756/ldv-ldv-forum	260	290	LDV
773	ACM Lisp Bulletin	/Journal/773/acm-lisp-bulletin	7	289	
730	International Journal of Networking and Virtual Organisations	/Journal/730/ijnvo-international-journal-of-networking-and-virtual-organisations	215	287	IJNVO
14209	Computer Compacts	/Journal/14209/computer-compacts	203	287	
709	International Journal of Cognitive Informatics and Natural Intelligence	/Journal/709/ijcini-international-journal-of-cognitive-informatics-and-natural-intelligence	104	286	IJCINI
21493	Interdisciplinary Information Sciences	/Journal/21493/interdisciplinary-information-sciences	322	284	
5452	International Journal of Robotics & Automation	/Journal/5452/int-j-robotics-autom-international-journal-of-robotics-&-automation	168	283	INT J ROBOTICS AUTOM
13730	Evolutionary Intelligence	/Journal/13730/evolutionary-intelligence	56	282	
4541	International Journal of Computational Methods	/Journal/4541/int-j-comput-methods-international-journal-of-computational-methods	131	281	INT J COMPUT METHODS
17220	IEEE Transactions on Smart Grid	/Journal/17220/ieee-transactions-on-smart-grid	225	280	
14405	Computerized Tomography	/Journal/14405/computerized-tomography	174	279	
17073	International Journal of Pervasive Computing and Communications	/Journal/17073/international-journal-of-pervasive-computing-and-communications	174	279	
928	Service Oriented Computing and Applications	/Journal/928/service-oriented-computing-and-applications	90	279	
14756	Computer Science Review	/Journal/14756/computer-science-review	69	279	
76	International Journal of Intelligent Games & Simulation	/Journal/76/ijigs-international-journal-of-intelligent-games-&-simulation	40	277	IJIGS
342	Computer Science and Information Systems	/Journal/342/comsis-computer-science-and-information-systems	167	276	COMSIS
258	Software Focus	/Journal/258/sofo-software-focus	67	273	SOFO
946	Wasserwirtschaft	/Journal/946/wasserwirtschaft	20	269	
348	Informatica Didactica	/Journal/348/didactica-informatica-didactica	19	265	DIDACTICA
13830	Memetic Computing	/Journal/13830/memetic-computing	63	263	
963	Revue Dintelligence Artificielle	/Journal/963/revue-dintelligence-artificielle	277	258	
711	International Journal of Data Mining and Bioinformatics	/Journal/711/ijdmb-international-journal-of-data-mining-and-bioinformatics	132	256	IJDMB
63	The International Arab Journal of Information Technology	/Journal/63/iajit-the-international-arab-journal-of-information-technology	385	255	IAJIT
14670	Social Science Information Studies	/Journal/14670/social-science-information-studies	289	255	
799	Automatic Control and Computer Sciences	/Journal/799/accs-automatic-control-and-computer-sciences	244	255	ACCS
16030	New Review of Information Networking	/Journal/16030/new-review-of-information-networking	241	255	
376	Journal of Internet and Enterprise Management	/Journal/376/ijiem-journal-of-internet-and-enterprise-management	157	255	IJIEM
