Name	Link	NCits_list	NPubs_list	ShortName
Chemical Communications	/Journal/1937/chem-commun-chemical-communications	20968	60	CHEM COMMUN
Regulatory Peptides	/Journal/1801/regul-peptides-regulatory-peptides	7507	60	REGUL PEPTIDES
Biochemical Society Transactions	/Journal/1459/biochem-soc-trans-biochemical-society-transactions	3432	59	BIOCHEM SOC TRANS
Aerosol Science and Technology	/Journal/5087/aerosol-sci-tech-aerosol-science-and-technology	2827	59	AEROSOL SCI TECH
Pure and Applied Chemistry	/Journal/2300/pure-appl-chem-pure-and-applied-chemistry	8312	58	PURE APPL CHEM
Frontiers in Bioscience-landmark	/Journal/7670/front-biosci-frontiers-in-bioscience-landmark	2987	58	FRONT BIOSCI
Journal of Biological Rhythms	/Journal/1652/j-biol-rhythm-journal-of-biological-rhythms	1246	58	J BIOL RHYTHM
Carbohydrate Polymers	/Journal/1922/carbohyd-polym-carbohydrate-polymers	6443	57	CARBOHYD POLYM
Neurochemical Research	/Journal/8040/neurochem-res-neurochemical-research	6436	57	NEUROCHEM RES
Chemistry and Physics of Lipids	/Journal/1542/chem-phys-lipids-chemistry-and-physics-of-lipids	5087	57	CHEM PHYS LIPIDS
Journal of Lipid Research	/Journal/1684/j-lipid-res-journal-of-lipid-research	2516	57	J LIPID RES
Annual Review of Physical Chemistry	/Journal/1890/annu-rev-phys-chem-annual-review-of-physical-chemistry	2326	57	ANNU REV PHYS CHEM
Rapid Communications in Mass Spectrometry	/Journal/5782/rapid-commun-mass-spectrom-rapid-communications-in-mass-spectrometry	8472	56	RAPID COMMUN MASS SPECTROM
Biochimica Et Biophysica Acta-protein Structure and Molecular Enzymology	/Journal/1447/bba-protein-struct-mol-enzym-biochimica-et-biophysica-acta-protein-structure-and-molecular	6114	56	BBA-PROTEIN STRUCT MOL ENZYM
Lab on A Chip	/Journal/2203/lab-chip-lab-on-a-chip	2064	56	LAB CHIP
Nature Chemical Biology	/Journal/1745/nat-chem-biol-nature-chemical-biology	1346	55	NAT CHEM BIOL
Chemistry-a European Journal	/Journal/1971/chem-eur-j-chemistry-a-european-journal	11729	54	CHEM-EUR J
Journal of Materials Chemistry	/Journal/6841/j-mater-chem-journal-of-materials-chemistry	10436	54	J MATER CHEM
Transactions of The Faraday Society	/Journal/15347/transactions-of-the-faraday-society	10309	54	
Process Biochemistry	/Journal/1784/process-biochem-process-biochemistry	3991	54	PROCESS BIOCHEM
Journal of Proteome Research	/Journal/7739/j-proteome-res-journal-of-proteome-research	3292	54	J PROTEOME RES
Combustion and Flame	/Journal/5172/combust-flame-combustion-and-flame	8144	53	COMBUST FLAME
Clinical Chemistry	/Journal/2870/clin-chem-clinical-chemistry	3796	53	CLIN CHEM
Prostaglandins Leukotrienes and Essential Fatty Acids	/Journal/7792/prostagland-leuk-essent-fatty-prostaglandins-leukotrienes-and-essential-fatty-acids	2793	53	PROSTAGLAND LEUK ESSENT FATTY
Biological Chemistry	/Journal/1476/biol-chem-biological-chemistry	2271	53	BIOL CHEM
Mass Spectrometry Reviews	/Journal/5652/mass-spectrom-rev-mass-spectrometry-reviews	763	53	MASS SPECTROM REV
Journal of Chromatography B: Biomedical Sciences and Applications	/Journal/14068/journal-of-chromatography-b-biomedical-sciences-and-applications	11458	52	
Journal of Chemical Information and Modeling	/Journal/2103/j-chem-inf-model-journal-of-chemical-information-and-modeling	4971	52	J CHEM INF MODEL
Journal of Nutritional Biochemistry	/Journal/1695/j-nutr-biochem-journal-of-nutritional-biochemistry	2757	52	J NUTR BIOCHEM
Tetrahedron Letters	/Journal/2367/tetrahedron-lett-tetrahedron-letters	86900	51	TETRAHEDRON LETT
Journal of Physical Chemistry A	/Journal/2168/j-phys-chem-a-journal-of-physical-chemistry-a	22233	51	J PHYS CHEM A
Journal of Mass Spectrometry	/Journal/2146/j-mass-spectrometry-journal-of-mass-spectrometry	9677	51	J MASS SPECTROMETRY
Catalysis Today	/Journal/1929/catal-today-catalysis-today	8202	51	CATAL TODAY
Clinical Biochemistry	/Journal/2865/clin-biochem-clinical-biochemistry	7100	51	CLIN BIOCHEM
Natural Product Reports	/Journal/2249/nat-prod-rep-natural-product-reports	1067	51	NAT PROD REP
Acta Crystallographica Section A	/Journal/1847/acta-crystallogr-a-acta-crystallographica-section-a	14052	50	ACTA CRYSTALLOGR A
Desalination	/Journal/2012/desalination	11361	50	
Fuel	/Journal/2039/fuel	10966	50	
Comparative Biochemistry and Physiology Part A: Physiology	/Journal/14330/comp-biochem-physiol-physiol-comparative-biochemistry-and-physiology-part-a-physiology	8990	50	COMP BIOCHEM PHYSIOL PHYSIOL
European Journal of Inorganic Chemistry	/Journal/2027/eur-j-inorg-chem-european-journal-of-inorganic-chemistry	64643	49	EUR J INORG CHEM
Bioscience Biotechnology and Biochemistry	/Journal/1503/biosci-biotechnol-biochem-bioscience-biotechnology-and-biochemistry	9427	49	BIOSCI BIOTECHNOL BIOCHEM
Applied Catalysis B-environmental	/Journal/1892/appl-catal-b-environ-applied-catalysis-b-environmental	4300	49	APPL CATAL B-ENVIRON
Atmospheric Chemistry and Physics Discussions	/Journal/22074/atmospheric-chemistry-and-physics-discussions	3938	49	
Chemometrics and Intelligent Laboratory Systems	/Journal/5155/chemometr-intell-lab-syst-chemometrics-and-intelligent-laboratory-systems	2772	49	CHEMOMETR INTELL LAB SYST
Molecular Aspects of Medicine	/Journal/1736/mol-aspects-med-molecular-aspects-of-medicine	585	49	MOL ASPECTS MED
Progress in Nucleic Acid Research and Molecular Biology	/Journal/14588/progress-in-nucleic-acid-research-and-molecular-biology	376	49	
Inorganic Chemistry	/Journal/2062/inorg-chem-inorganic-chemistry	46587	48	INORG CHEM
Talanta	/Journal/2364/talanta	17165	48	
Journal of Catalysis	/Journal/2097/j-catal-journal-of-catalysis	16623	48	J CATAL
Acta Chemica Scandinavica	/Journal/1843/acta-chem-scand-acta-chemica-scandinavica	16494	48	ACTA CHEM SCAND
Organic Letters	/Journal/2253/org-lett-organic-letters	15056	48	ORG LETT
Acta Crystallographica	/Journal/16883/acta-crystallographica	5803	48	
Journal of Biomolecular Nmr	/Journal/1656/j-biomol-nmr-journal-of-biomolecular-nmr	2477	48	J BIOMOL NMR
Cheminform	/Journal/13179/cheminform	275040	47	
Analytical and Bioanalytical Chemistry	/Journal/1878/anal-bioanal-chem-analytical-and-bioanalytical-chemistry	32369	47	ANAL BIOANAL CHEM
Journal of Electroanalytical Chemistry	/Journal/2126/j-electroanal-chem-journal-of-electroanalytical-chemistry	28252	47	J ELECTROANAL CHEM
Comparative Biochemistry and Physiology Part B: Biochemistry and Molecular Biology	/Journal/14201/comp-biochem-physiol-b-biochem-mol-biol-comparative-biochemistry-and-physiology-part-b	8169	47	COMP BIOCHEM PHYSIOL B BIOCHEM MOL BIOL
Comparative Biochemistry and Physiology B-biochemistry & Molecular Biology	/Journal/1549/comp-biochem-physiol-pt-b-comparative-biochemistry-and-physiology-b-biochemistry-&-molecular	3937	47	COMP BIOCHEM PHYSIOL PT B
Mutagenesis	/Journal/7773/mutagenesis	1917	47	
Helvetica Chimica Acta	/Journal/2046/helv-chim-acta-helvetica-chimica-acta	20787	46	HELV CHIM ACTA
Journal of Polymer Science Part B-polymer Physics	/Journal/2174/j-polym-sci-b-polym-phys-journal-of-polymer-science-part-b-polymer-physics	9612	46	J POLYM SCI B-POLYM PHYS
Journal of Steroid Biochemistry	/Journal/14095/journal-of-steroid-biochemistry	8727	46	
Comparative Biochemistry and Physiology A-molecular & Integrative Physiology	/Journal/1548/comp-biochem-physiol-pt-a-comparative-biochemistry-and-physiology-a-molecular-&-integrative	6404	46	COMP BIOCHEM PHYSIOL PT A
Journal of The American Society for Mass Spectrometry	/Journal/2084/j-amer-soc-mass-spectrom-journal-of-the-american-society-for-mass-spectrometry	4108	46	J AMER SOC MASS SPECTROM
Chembiochem	/Journal/7616/chembiochem	3049	46	
Clinical Chemistry and Laboratory Medicine	/Journal/2871/clin-chem-lab-med-clinical-chemistry-and-laboratory-medicine	6032	45	CLIN CHEM LAB MED
Journal of Chemical Technology and Biotechnology	/Journal/2110/j-chem-technol-biotechnol-journal-of-chemical-technology-and-biotechnology	5648	45	J CHEM TECHNOL BIOTECHNOL
European Journal of Organic Chemistry	/Journal/2030/eur-j-org-chem-european-journal-of-organic-chemistry	31275	44	EUR J ORG CHEM
Journal of Polymer Science Part A-polymer Chemistry	/Journal/2173/j-polym-sci-a-polym-chem-journal-of-polymer-science-part-a-polymer-chemistry	12360	44	J POLYM SCI A-POLYM CHEM
Colloids and Surfaces A-physicochemical and Engineering Aspects	/Journal/1993/colloid-surface-a-colloids-and-surfaces-a-physicochemical-and-engineering-aspects	10963	44	COLLOID SURFACE A
Biophysical Chemistry	/Journal/1909/biophys-chem-biophysical-chemistry	4522	44	BIOPHYS CHEM
Trends in Analytical Chemistry	/Journal/2375/trac-trends-in-analytical-chemistry	3714	44	TrAC
Current Opinion in Colloid & Interface Science	/Journal/2006/curr-opin-colloid-interface-s-current-opinion-in-colloid-&-interface-science	1034	44	CURR OPIN COLLOID INTERFACE S
Journal of Crystal Growth	/Journal/2124/j-cryst-growth-journal-of-crystal-growth	36508	43	J CRYST GROWTH
Bulletin of The Chemical Society of Japan	/Journal/1914/bull-chem-soc-jpn-bulletin-of-the-chemical-society-of-japan	35276	43	BULL CHEM SOC JPN
Journal of Photochemistry and Photobiology A-chemistry	/Journal/2165/j-photochem-photobiol-a-chem-journal-of-photochemistry-and-photobiology-a-chemistry	6974	43	J PHOTOCHEM PHOTOBIOL A-CHEM
Macromolecular Rapid Communications	/Journal/2213/macromol-rapid-commun-macromolecular-rapid-communications	4136	43	MACROMOL RAPID COMMUN
Comparative Biochemistry and Physiology	/Journal/14145/comparative-biochemistry-and-physiology	2687	43	
Applied Biochemistry and Biotechnology	/Journal/1434/appl-biochem-biotech-applied-biochemistry-and-biotechnology	5440	42	APPL BIOCHEM BIOTECH
Mutation Research/environmental Mutagenesis and Related Subjects	/Journal/14099/mutation-research-environmental-mutagenesis-and-related-subjects	4849	42	
Iubmb Life	/Journal/1634/iubmb-life	2949	42	
Green Chemistry	/Journal/2044/green-chem-green-chemistry	1882	42	GREEN CHEM
Journal of Computer-aided Molecular Design	/Journal/389/jcamd-journal-of-computer-aided-molecular-design	1798	42	JCAMD
Journal of Chemometrics	/Journal/2113/j-chemometr-journal-of-chemometrics	1350	42	J CHEMOMETR
Growth Factors	/Journal/7699/growth-factors	855	42	
Advances in Protein Chemistry	/Journal/1414/advan-prot-chem-advances-in-protein-chemistry	278	42	ADVAN PROT CHEM
