Name	Link	NCits_list	NPubs_list	ShortName
Conservation Genetics	/Journal/5966/conserv-genet-conservation-genetics	1610	29	CONSERV GENET
Worlds Poultry Science Journal	/Journal/9454/world-poultry-sci-j-worlds-poultry-science-journal	1556	29	WORLD POULTRY SCI J
Macromolecular Bioscience	/Journal/1719/macromol-biosci-macromolecular-bioscience	1203	29	MACROMOL BIOSCI
Infection Genetics and Evolution	/Journal/7715/infect-genet-evol-infection-genetics-and-evolution	1168	29	INFECT GENET EVOL
Cell Biology and Toxicology	/Journal/7596/cell-biol-toxicol-cell-biology-and-toxicology	1072	29	CELL BIOL TOXICOL
Phycologia	/Journal/9247/phycologia	1045	29	
Isme Journal	/Journal/7481/isme-j-isme-journal	969	29	ISME J
Gene Expression Patterns	/Journal/7674/gene-expr-patterns-gene-expression-patterns	938	29	GENE EXPR PATTERNS
Genes & Genetic Systems	/Journal/7679/genes-genet-syst-genes-&-genetic-systems	810	29	GENES GENET SYST
Experimental Mycology	/Journal/14766/experimental-mycology	775	29	
Cold Spring Harbor Symposia on Quantitative Biology	/Journal/7621/cold-spring-harbor-symp-cold-spring-harbor-symposia-on-quantitative-biology	708	29	COLD SPRING HARBOR SYMP
Environmental Pollution Series A, Ecological and Biological	/Journal/14234/environmental-pollution-series-a-ecological-and-biological	648	29	
Molecular Imaging and Biology	/Journal/7767/mol-imaging-biol-molecular-imaging-and-biology	646	29	MOL IMAGING BIOL
Birth Defects Research Part C-embryo Today-reviews	/Journal/7584/birth-defects-res-pt-c-embryo-birth-defects-research-part-c-embryo-today-reviews	206	29	BIRTH DEFECTS RES PT C-EMBRYO
Journal of Ornithology	/Journal/9102/j-ornithol-journal-of-ornithology	7578	28	J ORNITHOL
Acta Pharmacologica Et Toxicologica	/Journal/17227/acta-pharmacologica-et-toxicologica	3595	28	
Molecular Biology Reports	/Journal/7752/mol-biol-rep-molecular-biology-reports	3536	28	MOL BIOL REP
Lichenologist	/Journal/9165/lichenologist	2180	28	
Environmental Entomology	/Journal/8891/environ-entomol-environmental-entomology	1986	28	ENVIRON ENTOMOL
Journal of Veterinary Medicine Series B-infectious Diseases and Veterinary Public Health	/Journal/9139/j-vet-med-b-infect-dis-vet-p-journal-of-veterinary-medicine-series-b-infectious-diseases-and	1869	28	J VET MED B-INFECT DIS VET P
BMC Genetics	/Journal/7587/bmc-genet-bmc-genetics	954	28	BMC GENET
BMC Plant Biology	/Journal/8795/bmc-plant-biol-bmc-plant-biology	920	28	BMC PLANT BIOL
Cytotherapy	/Journal/3029/cytotherapy	900	28	
Ecology of Freshwater Fish	/Journal/8879/ecol-freshw-fish-ecology-of-freshwater-fish	720	28	ECOL FRESHW FISH
Biogerontology	/Journal/7577/biogerontology	660	28	
Journal of Neurogenetics	/Journal/7998/j-neurogenet-journal-of-neurogenetics	445	28	J NEUROGENET
Cloning and Stem Cells	/Journal/7620/cloning-stem-cells-cloning-and-stem-cells	408	28	CLONING STEM CELLS
Advances in Marine Biology	/Journal/8677/advan-mar-biol-advances-in-marine-biology	125	28	ADVAN MAR BIOL
Veterinary Radiology & Ultrasound	/Journal/9428/vet-radiol-ultrasound-veterinary-radiology-&-ultrasound	2497	27	VET RADIOL ULTRASOUND
New Zealand Journal of Botany	/Journal/9201/n-z-j-bot-new-zealand-journal-of-botany	2303	27	N Z J BOT
BMC Infectious Diseases	/Journal/2725/bmc-infect-dis-bmc-infectious-diseases	1558	27	BMC INFECT DIS
Methods in Cell Biology	/Journal/7749/method-cell-biol-methods-in-cell-biology	1416	27	METHOD CELL BIOL
Annals of Tropical Medicine and Parasitology	/Journal/2596/ann-trop-med-parasitol-annals-of-tropical-medicine-and-parasitology	1262	27	ANN TROP MED PARASITOL
Biotechniques	/Journal/1507/biotechniques	1082	27	
New Forests	/Journal/9211/new-forest-new-forests	983	27	NEW FOREST
Teratogenesis Carcinogenesis and Mutagenesis	/Journal/8313/teratogen-carcin-mut-teratogenesis-carcinogenesis-and-mutagenesis	937	27	TERATOGEN CARCIN MUT
Reproductive Biology and Endocrinology	/Journal/1802/reprod-biol-endocrinol-reproductive-biology-and-endocrinology	893	27	REPROD BIOL ENDOCRINOL
Molecular Pharmaceutics	/Journal/8274/mol-pharm-molecular-pharmaceutics	785	27	MOL PHARM
Vegetation History and Archaeobotany	/Journal/9401/veg-hist-archaeobotany-vegetation-history-and-archaeobotany	720	27	VEG HIST ARCHAEOBOTANY
BMC Molecular Biology	/Journal/7591/bmc-mol-biol-bmc-molecular-biology	617	27	BMC MOL BIOL
Chemoecology	/Journal/5954/chemoecology	555	27	
Journal of Biology	/Journal/18436/j-biol-journal-of-biology	257	27	J Biol
Journal of Veterinary Medical Science	/Journal/9141/j-vet-med-sci-journal-of-veterinary-medical-science	3599	26	J VET MED SCI
Genetic Resources and Crop Evolution	/Journal/8947/genet-resour-crop-evolution-genetic-resources-and-crop-evolution	2830	26	GENET RESOUR CROP EVOLUTION
Reproduction in Domestic Animals	/Journal/9307/reprod-domest-anim-reproduction-in-domestic-animals	2666	26	REPROD DOMEST ANIM
New Zealand Journal of Marine and Freshwater Research	/Journal/9202/n-z-j-mar-freshwater-res-new-zealand-journal-of-marine-and-freshwater-research	2437	26	N Z J MAR FRESHWATER RES
International Journal of Toxicology	/Journal/8235/int-j-toxicol-international-journal-of-toxicology	1977	26	INT J TOXICOL
Biodemography and Social Biology	/Journal/16622/biodemography-and-social-biology	1625	26	
Comparative Immunology Microbiology and Infectious Diseases	/Journal/8851/comp-immunol-microbiol-infect-comparative-immunology-microbiology-and-infectious-diseases	1277	26	COMP IMMUNOL MICROBIOL INFECT
Bioelectrochemistry	/Journal/1467/bioelectrochemistry	1046	26	
Cell Differentiation	/Journal/14088/cell-differentiation	842	26	
Zygote	/Journal/7821/zygote	793	26	
Birth Defects Research Part A-clinical and Molecular Teratology	/Journal/8149/birth-defects-res-pt-a-birth-defects-research-part-a-clinical-and-molecular-teratology	758	26	BIRTH DEFECTS RES PT A
Fisheries Management and Ecology	/Journal/8923/fisheries-manag-ecol-fisheries-management-and-ecology	719	26	FISHERIES MANAG ECOL
Wetlands Ecology and Management	/Journal/6198/wetl-ecol-manag-wetlands-ecology-and-management	683	26	WETL ECOL MANAG
BMC Developmental Biology	/Journal/7586/bmc-dev-biol-bmc-developmental-biology	650	26	BMC DEV BIOL
Environmental Toxicology & Water Quality	/Journal/13232/environmental-toxicology-&-water-quality	537	26	
Current Pharmaceutical Biotechnology	/Journal/8176/curr-pharm-biotechnol-current-pharmaceutical-biotechnology	514	26	CURR PHARM BIOTECHNOL
Journal of Mammalian Evolution	/Journal/9087/j-mamm-evol-journal-of-mammalian-evolution	335	26	J MAMM EVOL
Pharmaceutical Science & Technology Today	/Journal/14227/pharmaceutical-science-&-technology-today	296	26	
Advances in Applied Microbiology	/Journal/7426/advan-appl-microbiol-advances-in-applied-microbiology	277	26	ADVAN APPL MICROBIOL
Geobiology	/Journal/1613/geobiology	247	26	
Journal of Basic Microbiology	/Journal/7484/j-basic-microb-journal-of-basic-microbiology	9190	25	J BASIC MICROB
Folia Microbiologica	/Journal/7465/folia-microbiol-prague-folia-microbiologica	5639	25	FOLIA MICROBIOL PRAGUE
Journal of Animal Science	/Journal/1087/jas-journal-of-animal-science	2284	25	JAS
Folia Geobotanica	/Journal/8928/folia-geobot-folia-geobotanica	1703	25	FOLIA GEOBOT
Biosystems Engineering	/Journal/1150/biosyst-eng-biosystems-engineering	1670	25	BIOSYST ENG
New Zealand Journal of Zoology	/Journal/9203/n-z-j-zool-new-zealand-journal-of-zoology	1542	25	N Z J ZOOL
Weed Technology	/Journal/9441/weed-technol-weed-technology	1499	25	WEED TECHNOL
Grana	/Journal/8952/grana	1470	25	
Korean Journal of Parasitology	/Journal/7500/korean-j-parasitol-korean-journal-of-parasitology	1457	25	KOREAN J PARASITOL
Annals of The Entomological Society of America	/Journal/8714/ann-entomol-soc-amer-annals-of-the-entomological-society-of-america	1401	25	ANN ENTOMOL SOC AMER
Avian Diseases	/Journal/8773/avian-dis-avian-diseases	1265	25	AVIAN DIS
Biology & Philosophy	/Journal/12075/biology-&-philosophy	1079	25	
Marine and Freshwater Behaviour and Physiology	/Journal/9179/mar-freshw-behav-physiol-marine-and-freshwater-behaviour-and-physiology	949	25	MAR FRESHW BEHAV PHYSIOL
Pedobiologia	/Journal/6146/pedobiologia	910	25	
BMC Medical Genetics	/Journal/7589/bmc-med-genet-bmc-medical-genetics	900	25	BMC MED GENET
Cell Differentiation and Development	/Journal/14091/cell-differentiation-and-development	851	25	
Comptes Rendus De L Academie Des Sciences Serie Iii-sciences De La Vie-life Sciences	/Journal/1531/c-r-acad-sci-ser-iii-vie-comptes-rendus-de-l-academie-des-sciences-serie-iii-sciences-de-la	817	25	C R ACAD SCI SER III-VIE
Forest Policy and Economics	/Journal/8933/forest-policy-econ-forest-policy-and-economics	782	25	FOREST POLICY ECON
Toxicology and Industrial Health	/Journal/4374/toxicol-ind-health-toxicology-and-industrial-health	699	25	TOXICOL IND HEALTH
BMC Biotechnology	/Journal/1523/bmc-biotechnol-bmc-biotechnology	641	25	BMC BIOTECHNOL
Mycologia	/Journal/9194/mycologia	636	25	
Microbial Cell Factories	/Journal/7506/microb-cell-fact-microbial-cell-factories	563	25	MICROB CELL FACT
Familial Cancer	/Journal/3200/fam-cancer-familial-cancer	560	25	FAM CANCER
American Journal of Medical Genetics Part C-seminars in Medical Genetics	/Journal/7555/am-j-med-genet-part-c-american-journal-of-medical-genetics-part-c-seminars-in-medical-genetics	225	25	AM J MED GENET PART C
American Zoologist	/Journal/8693/amer-zool-american-zoologist	203	25	AMER ZOOL
Molecular Imaging	/Journal/7766/mol-imaging-molecular-imaging	74	25	MOL IMAGING
Psyche: A Journal of Entomology	/Journal/17809/psyche-a-journal-of-entomology	3653	24	
Veterinary Research Communications	/Journal/9431/vet-res-commun-veterinary-research-communications	2783	24	VET RES COMMUN
Nematologica	/Journal/17950/nematologica	2579	24	
Proceedings of The Japan Academy Series B-physical and Biological Sciences	/Journal/2288/proc-jpn-acad-b-proceedings-of-the-japan-academy-series-b-physical-and-biological-sciences	2250	24	PROC JPN ACAD B
Fisheries Science	/Journal/8925/fisheries-science	2138	24	
Journal of Radiation Research	/Journal/1708/j-radiat-res-journal-of-radiation-research	1779	24	J RADIAT RES
Photosynthetica	/Journal/9245/photosynthetica	1572	24	
Immunopharmacology and Immunotoxicology	/Journal/6649/immunopharmacol-immunotoxicol-immunopharmacology-and-immunotoxicology	1533	24	IMMUNOPHARMACOL IMMUNOTOXICOL
Journal of Microencapsulation	/Journal/8250/j-microencapsul-journal-of-microencapsulation	1443	24	J MICROENCAPSUL
Copeia	/Journal/8857/copeia	1314	24	
Biogeosciences Discussions	/Journal/22085/biogeosciences-discussions	1278	24	
Phytochemical Analysis	/Journal/9252/phytochem-analysis-phytochemical-analysis	1231	24	PHYTOCHEM ANALYSIS
Twin Research and Human Genetics	/Journal/7818/twin-res-hum-genet-twin-research-and-human-genetics	1199	24	TWIN RES HUM GENET
Magnetic Resonance Materials in Physics Biology and Medicine	/Journal/1720/magn-reson-mater-phys-biol-m-magnetic-resonance-materials-in-physics-biology-and-medicine	1160	24	MAGN RESON MATER PHYS BIOL M
Journal of Receptors and Signal Transduction	/Journal/16636/journal-of-receptors-and-signal-transduction	1115	24	
Anaerobe	/Journal/7431/anaerobe	1109	24	
Aquaculture International	/Journal/8736/aquacult-int-aquaculture-international	984	24	AQUACULT INT
Ethology Ecology & Evolution	/Journal/8901/ethol-ecol-evol-ethology-ecology-&-evolution	899	24	ETHOL ECOL EVOL
Cell Cycle	/Journal/7600/cell-cycle	897	24	
Journal of Biomedicine and Biotechnology	/Journal/1654/j-biomed-biotechnol-journal-of-biomedicine-and-biotechnology	876	24	J BIOMED BIOTECHNOL
The Birds of North America Online	/Journal/19615/the-birds-of-north-america-online	743	24	
Molecular Biosystems	/Journal/1738/mol-biosyst-molecular-biosystems	739	24	MOL BIOSYST
Journal of Social and Biological Systems	/Journal/14430/journal-of-social-and-biological-systems	665	24	
Plant Species Biology	/Journal/9289/plant-spec-biol-plant-species-biology	498	24	PLANT SPEC BIOL
Agricultural and Forest Entomology	/Journal/8684/agric-for-entomol-agricultural-and-forest-entomology	487	24	AGRIC FOR ENTOMOL
Journal of Molecular Microbiology and Biotechnology	/Journal/7494/j-mol-microbiol-biotechnol-journal-of-molecular-microbiology-and-biotechnology	417	24	J MOL MICROBIOL BIOTECHNOL
Omics A Journal of Integrative Biology	/Journal/411/omics-omics-a-journal-of-integrative-biology	364	24	OMICS
Journal of Neuroengineering and Rehabilitation	/Journal/7997/j-neuroeng-rehabil-journal-of-neuroengineering-and-rehabilitation	335	24	J NEUROENG REHABIL
Crustaceana	/Journal/8861/crustaceana	4409	23	
Brittonia	/Journal/8813/brittonia	3028	23	
Plant Foods for Human Nutrition	/Journal/9278/plant-food-hum-nutr-plant-foods-for-human-nutrition	2700	23	PLANT FOOD HUM NUTR
International Journal of Pest Management	/Journal/8993/int-j-pest-manage-international-journal-of-pest-management	2652	23	INT J PEST MANAGE
Australasian Plant Pathology	/Journal/8771/australas-plant-pathol-australasian-plant-pathology	2580	23	AUSTRALAS PLANT PATHOL
Australian Journal of Entomology	/Journal/8764/aust-j-entomol-australian-journal-of-entomology	2522	23	AUST J ENTOMOL
Mammalia	/Journal/9175/mammalia	2465	23	
Biotechnology Techniques	/Journal/1520/biotechnol-technique-biotechnology-techniques	1848	23	BIOTECHNOL TECHNIQUE
Journal of Digital Imaging	/Journal/879/journal-of-digital-imaging	1641	23	
Virology Journal	/Journal/7542/virol-j-virology-journal	1496	23	VIROL J
International Journal of Osteoarchaeology	/Journal/11812/international-journal-of-osteoarchaeology	1276	23	
Veterinary Dermatology	/Journal/9412/vet-dermatol-veterinary-dermatology	1189	23	VET DERMATOL
Microbial Ecology in Health and Disease	/Journal/16097/microbial-ecology-in-health-and-disease	829	23	
BMC Systems Biology	/Journal/1526/bmc-syst-biol-bmc-systems-biology	733	23	BMC SYST BIOL
Vector-borne and Zoonotic Diseases	/Journal/6697/vector-borne-zoonotic-dis-vector-borne-and-zoonotic-diseases	721	23	VECTOR-BORNE ZOONOTIC DIS
Applied Animal Ethology	/Journal/14275/applied-animal-ethology	670	23	
International Journal of Phytoremediation	/Journal/8994/int-j-phytoremediat-international-journal-of-phytoremediation	669	23	INT J PHYTOREMEDIAT
Genetic Testing	/Journal/7690/genet-test-genetic-testing	668	23	GENET TEST
Research in Virology	/Journal/14369/research-in-virology	564	23	
Historical Biology	/Journal/15757/historical-biology	534	23	
Environmental and Ecological Statistics	/Journal/6001/environ-ecol-stat-environmental-and-ecological-statistics	508	23	ENVIRON ECOL STAT
Endothelium-journal of Endothelial Cell Research	/Journal/3103/endothelium-endothelium-journal-of-endothelial-cell-research	462	23	ENDOTHELIUM
Arthropod Structure & Development	/Journal/8756/arthropod-struct-dev-arthropod-structure-&-development	455	23	ARTHROPOD STRUCT DEV
Biophysics Including Photosynthesis	/Journal/14078/biochimica-et-biophysica-acta-bba-biophysics-including-photosynthesis	454	23	Biochimica Et Biophysica Acta (bba)
Biomechanics and Modeling in Mechanobiology	/Journal/1489/biomech-model-mechanobiol-biomechanics-and-modeling-in-mechanobiology	450	23	BIOMECH MODEL MECHANOBIOL
Molecular Diagnosis	/Journal/3906/mol-diagn-molecular-diagnosis	450	23	MOL DIAGN
Current Hiv Research	/Journal/2990/curr-hiv-res-current-hiv-research	407	23	CURR HIV RES
Urban Ecosystems	/Journal/15176/urban-ecosystems	381	23	
Statistical Applications in Genetics and Molecular Biology	/Journal/7806/stat-appl-genet-mol-biol-statistical-applications-in-genetics-and-molecular-biology	280	23	STAT APPL GENET MOL BIOL
Journal of Applied Biomaterials	/Journal/13223/j-appl-biomater-journal-of-applied-biomaterials	265	23	J APPL BIOMATER
Biochemical and Molecular Medicine	/Journal/13383/biochemical-and-molecular-medicine	242	23	
Fish Physiology	/Journal/14580/fish-physiology	215	23	
Systems Biology	/Journal/15417/iee-proceedings-systems-biology	120	23	Iee Proceedings
Journal of Cystic Fibrosis	/Journal/3550/j-cyst-fibros-journal-of-cystic-fibrosis	3419	22	J CYST FIBROS
Journal of Animal Physiology and Animal Nutrition	/Journal/9027/j-anim-physiol-anim-nutr-journal-of-animal-physiology-and-animal-nutrition	3146	22	J ANIM PHYSIOL ANIM NUTR
Journal of Veterinary Medicine Series A-physiology Pathology Clinical Medicine	/Journal/9138/j-vet-med-a-physiol-pathol-cl-journal-of-veterinary-medicine-series-a-physiology-pathology	1896	22	J VET MED A-PHYSIOL PATHOL CL
Systematic Parasitology	/Journal/1818/syst-parasitol-systematic-parasitology	1817	22	SYST PARASITOL
Geotechnical Testing Journal	/Journal/5287/geotech-testing-j-geotechnical-testing-journal	1606	22	GEOTECH TESTING J
Amphibia-reptilia	/Journal/8694/amphibia-reptilia	1501	22	
Journal of Medical Engineering & Technology	/Journal/3643/j-med-eng-tech-journal-of-medical-engineering-&-technology	1402	22	J MED ENG TECH
Journal of Molluscan Studies	/Journal/9095/j-mollus-stud-journal-of-molluscan-studies	1256	22	J MOLLUS STUD
Mediators of Inflammation	/Journal/6683/mediat-inflamm-mediators-of-inflammation	1153	22	MEDIAT INFLAMM
Microbiological Research	/Journal/7510/microbiol-res-microbiological-research	1108	22	MICROBIOL RES
Acta Biotheoretica	/Journal/1399/acta-biotheor-acta-biotheoretica	1064	22	ACTA BIOTHEOR
Journal of Genetic Counseling	/Journal/7729/j-genet-couns-journal-of-genetic-counseling	901	22	J GENET COUNS
Basic & Clinical Pharmacology & Toxicology	/Journal/8140/basic-clin-pharmacol-toxicol-basic-&-clinical-pharmacology-&-toxicology	858	22	BASIC CLIN PHARMACOL TOXICOL
Australian Systematic Botany	/Journal/8767/aust-systematic-botany-australian-systematic-botany	703	22	AUST SYSTEMATIC BOTANY
BMC Cell Biology	/Journal/7585/bmc-cell-biol-bmc-cell-biology	580	22	BMC CELL BIOL
Physical Biology	/Journal/1772/phys-biol-physical-biology	536	22	PHYS BIOL
Molecular Pain	/Journal/7770/mol-pain-molecular-pain	412	22	MOL PAIN
Journal of Experimental Zoology Part B-molecular and Developmental Evolution	/Journal/9065/j-exp-zool-part-b-journal-of-experimental-zoology-part-b-molecular-and-developmental-evolution	338	22	J EXP ZOOL PART B
Advances in Biophysics	/Journal/1410/advan-biophys-advances-in-biophysics	227	22	ADVAN BIOPHYS
European Journal of Pharmacology: Environmental Toxicology and Pharmacology	/Journal/14048/european-journal-of-pharmacology-environmental-toxicology-and-pharmacology	223	22	
Journal of Equine Veterinary Science	/Journal/9055/j-equine-vet-sci-journal-of-equine-veterinary-science	3576	21	J EQUINE VET SCI
Science Signaling	/Journal/7803/sci-signal-science-signaling	1608	21	SCI SIGNAL
Cytopathology	/Journal/3028/cytopathology	1507	21	
Experimental and Toxicologic Pathology	/Journal/8206/exp-toxicol-pathol-experimental-and-toxicologic-pathology	1495	21	EXP TOXICOL PATHOL
Annales De Biologie Animale Biochimie Biophysique	/Journal/15447/annales-de-biologie-animale-biochimie-biophysique	1490	21	
Mycoscience	/Journal/9197/mycoscience	1303	21	
Protein and Peptide Letters	/Journal/1790/protein-peptide-lett-protein-and-peptide-letters	1279	21	PROTEIN PEPTIDE LETT
Acta Pathologica Microbiologica Scandinavica Section A Pathology	/Journal/17255/acta-pathologica-microbiologica-scandinavica-section-a-pathology	1047	21	
International Journal of Radiation Applications and Instrumentation. Part B. Nuclear Medicine and Biology	/Journal/14412/international-journal-of-radiation-applications-and-instrumentation-part-b-nuclear-medicine-and	1043	21	
Journal of Animal Breeding and Genetics	/Journal/9024/j-anim-breed-genet-journal-of-animal-breeding-and-genetics	995	21	J ANIM BREED GENET
Journal of Genetic Psychology	/Journal/9777/j-genet-psychol-journal-of-genetic-psychology	958	21	J GENET PSYCHOL
International Journal of Insect Morphology & Embryology	/Journal/8991/int-j-insect-morphol-embryol-international-journal-of-insect-morphology-&-embryology	942	21	INT J INSECT MORPHOL EMBRYOL
Rangeland Journal	/Journal/6158/rangeland-j-rangeland-journal	667	21	RANGELAND J
Acta Agriculturae Scandinavica Section A-animal Science	/Journal/8650/acta-agr-scand-sect-a-anim-sc-acta-agriculturae-scandinavica-section-a-animal-science	666	21	ACTA AGR SCAND SECT A-ANIM SC
Expert Opinion on Drug Metabolism & Toxicology	/Journal/8209/expert-opin-drug-metab-toxico-expert-opinion-on-drug-metabolism-&-toxicology	554	21	EXPERT OPIN DRUG METAB TOXICO
Assay and Drug Development Technologies	/Journal/8135/assay-drug-dev-technol-assay-and-drug-development-technologies	538	21	ASSAY DRUG DEV TECHNOL
Biological Wastes	/Journal/14238/biol-waste-biological-wastes	534	21	BIOL WASTE
Animal Biotechnology	/Journal/8699/anim-biotechnol-animal-biotechnology	473	21	ANIM BIOTECHNOL
Ecological Management and Restoration	/Journal/17403/ecological-management-and-restoration	439	21	
BMC Structural Biology	/Journal/1525/bmc-struct-biol-bmc-structural-biology	383	21	BMC STRUCT BIOL
Metabolomics	/Journal/1727/metabolomics	365	21	
Oceanologica Acta	/Journal/9222/oceanol-acta-oceanologica-acta	365	21	OCEANOL ACTA
Phytochemistry Reviews	/Journal/9254/phytochem-rev-phytochemistry-reviews	344	21	PHYTOCHEM REV
Journal of Northwest Atlantic Fishery Science	/Journal/20407/journal-of-northwest-atlantic-fishery-science	300	21	
Clinical and Diagnostic Virology	/Journal/14283/clinical-and-diagnostic-virology	281	21	
Reviews in Environmental Science and Bio/technology	/Journal/13514/reviews-in-environmental-science-and-bio-technology	267	21	
Biological Signals and Receptors	/Journal/1483/biol-signals-recept-biological-signals-and-receptors	130	21	BIOL SIGNALS RECEPT
Reviews in Molecular Biotechnology	/Journal/14256/reviews-in-molecular-biotechnology	68	21	
Italian Journal of Zoology	/Journal/9017/ital-j-zoology-italian-journal-of-zoology	4089	20	ITAL J ZOOLOGY
Archives of Animal Nutrition	/Journal/8745/arch-anim-nutr-archives-of-animal-nutrition	4080	20	ARCH ANIM NUTR
Tropical Animal Health and Production	/Journal/9388/trop-anim-health-prod-tropical-animal-health-and-production	3496	20	TROP ANIM HEALTH PROD
Forstwissenschaftliches Centralblatt	/Journal/8906/forstwiss-centralbl-forstwissenschaftliches-centralblatt	3123	20	FORSTWISS CENTRALBL
Journal of Reproduction and Development	/Journal/9120/j-reprod-dev-journal-of-reproduction-and-development	1410	20	J REPROD DEV
Journal of Feline Medicine and Surgery	/Journal/9066/j-feline-med-surg-journal-of-feline-medicine-and-surgery	1230	20	J FELINE MED SURG
Biocatalysis and Biotransformation	/Journal/1450/biocatal-biotransform-biocatalysis-and-biotransformation	1059	20	BIOCATAL BIOTRANSFORM
Nematology	/Journal/9206/nematology	1007	20	
Estuaries and Coasts	/Journal/8900/estuaries-coasts-estuaries-and-coasts	996	20	ESTUARIES COASTS
Biomass	/Journal/14237/biomass	548	20	
Biomedical Engineering Online	/Journal/1490/biomed-eng-online-biomedical-engineering-online	513	20	BIOMED ENG ONLINE
Biological Research	/Journal/1480/biol-res-biological-research	511	20	BIOL RES
Comparative and Functional Genomics	/Journal/7624/compar-funct-genom-comparative-and-functional-genomics	402	20	COMPAR FUNCT GENOM
Journal of Agricultural Biological and Environmental Statistics	/Journal/1636/j-agric-biol-environ-stat-journal-of-agricultural-biological-and-environmental-statistics	370	20	J AGRIC BIOL ENVIRON STAT
Birth Defects Research Part B-developmental and Reproductive Toxicology	/Journal/8150/birth-defects-res-pt-b-birth-defects-research-part-b-developmental-and-reproductive-toxicology	305	20	BIRTH DEFECTS RES PT B
Bulletin of The American Museum of Natural History	/Journal/1530/bull-am-mus-nat-hist-bulletin-of-the-american-museum-of-natural-history	121	20	BULL AM MUS NAT HIST
Immunotechnology	/Journal/14342/immunotechnology	113	20	
Advances in Insect Physiology	/Journal/8676/advan-insect-physiol-advances-in-insect-physiology	70	20	ADVAN INSECT PHYSIOL
Annual Review of Biophysics	/Journal/17720/annual-review-of-biophysics	70	20	
European Journal of Forest Research	/Journal/8905/eur-j-for-res-european-journal-of-forest-research	4949	19	EUR J FOR RES
Anzeiger Fur Schadlingskunde-journal of Pest Science	/Journal/8728/anz-schadlingskd-j-pest-sci-anzeiger-fur-schadlingskunde-journal-of-pest-science	2681	19	ANZ SCHADLINGSKD-J PEST SCI
Acta Biotechnologica	/Journal/1398/acta-biotechnol-acta-biotechnologica	1684	19	ACTA BIOTECHNOL
Veterinary Clinical Pathology	/Journal/9409/vet-clin-path-veterinary-clinical-pathology	1068	19	VET CLIN PATH
Drug and Chemical Toxicology	/Journal/8186/drug-chem-toxicol-drug-and-chemical-toxicology	1040	19	DRUG CHEM TOXICOL
Pharmaceutical Development and Technology	/Journal/8285/pharm-dev-technol-pharmaceutical-development-and-technology	1026	19	PHARM DEV TECHNOL
North American Journal of Aquaculture	/Journal/9200/n-am-j-aquacult-north-american-journal-of-aquaculture	1026	19	N AM J AQUACULT
Aerobiologia	/Journal/5900/aerobiologia	902	19	
Journal of Crustacean Biology	/Journal/9051/j-crustacean-biol-journal-of-crustacean-biology	866	19	J CRUSTACEAN BIOL
Journal of Ethology	/Journal/9058/j-ethol-journal-of-ethology	848	19	J ETHOL
Aquatic Ecosystem Health & Management	/Journal/14321/aquatic-ecosystem-health-&-management	818	19	
Biotechnology Journal	/Journal/1515/biotechnol-j-biotechnology-journal	810	19	BIOTECHNOL J
Phycological Research	/Journal/9246/phycol-res-phycological-research	789	19	PHYCOL RES
Invertebrate Systematics	/Journal/9006/invertebr-syst-invertebrate-systematics	620	19	INVERTEBR SYST
Ichnos-an International Journal for Plant and Animal Traces	/Journal/6378/ichnos-ichnos-an-international-journal-for-plant-and-animal-traces	520	19	ICHNOS
Toxin Reviews	/Journal/4375/toxin-rev-toxin-reviews	482	19	TOXIN REV
Stem Cell Reviews and Reports	/Journal/13536/stem-cell-reviews-and-reports	440	19	
Community Genetics	/Journal/7622/community-genet-community-genetics	429	19	COMMUNITY GENET
Archiv Fur Hydrobiologie	/Journal/8747/arch-hydrobiol-archiv-fur-hydrobiologie	414	19	ARCH HYDROBIOL
Organisms Diversity & Evolution	/Journal/1763/org-divers-evol-organisms-diversity-&-evolution	349	19	ORG DIVERS EVOL
Ecological Complexity	/Journal/5978/ecol-complex-ecological-complexity	314	19	ECOL COMPLEX
Physics of Life Reviews	/Journal/1773/phys-life-rev-physics-of-life-reviews	280	19	PHYS LIFE REV
Genetic Analysis: Biomolecular Engineering	/Journal/14341/genetic-analysis-biomolecular-engineering	261	19	
British Veterinary Journal	/Journal/14770/british-veterinary-journal	258	19	
Journal of Lipid Mediators and Cell Signalling	/Journal/14355/journal-of-lipid-mediators-and-cell-signalling	177	19	
Animal Health Research Reviews	/Journal/15018/animal-health-research-reviews	166	19	
Particle and Fibre Toxicology	/Journal/8281/part-fibre-toxicol-particle-and-fibre-toxicology	162	19	PART FIBRE TOXICOL
Wormbook	/Journal/19501/wormbook	148	19	
Journal of Free Radicals in Biology & Medicine	/Journal/14097/journal-of-free-radicals-in-biology-&-medicine	117	19	
Toxicological Reviews	/Journal/19607/toxicological-reviews	102	19	
The Arabidopsis Book	/Journal/18450/the-arabidopsis-book	67	19	
Pharmaceutical Biology	/Journal/9243/pharm-biol-pharmaceutical-biology	2688	18	PHARM BIOL
Artificial Cells, Blood Substitutes and Biotechnology	/Journal/16638/artificial-cells-blood-substitutes-and-biotechnology	1744	18	
Genetics and Molecular Biology	/Journal/7687/genet-mol-biol-genetics-and-molecular-biology	1522	18	GENET MOL BIOL
Ichthyological Research	/Journal/8971/ichthyol-res-ichthyological-research	1448	18	ICHTHYOL RES
Journal of Terramechanics	/Journal/5608/j-terramech-journal-of-terramechanics	1369	18	J TERRAMECH
