"CJourID","DomainID","SubDomainID"
"871","2","0"
"872","2","5"
"873","2","6"
"874","15","0"
"875","2","6"
"876","2","21"
"877","2","1"
"877","15","0"
"878","2","23"
"879","4","4"
"879","8","0"
"880","2","3"
"881","2","14"
"882","2","3"
"883","2","3"
"884","2","1"
"885","2","14"
"886","2","19"
"887","2","5"
"888","2","5"
"889","2","15"
"890","2","2"
"891","2","9"
"892","2","14"
"893","2","0"
"894","2","2"
"895","2","5"
"895","22","5"
"896","2","0"
"896","15","3"
"896","15","4"
"897","2","20"
"898","2","13"
"899","2","0"
"900","2","1"
"901","2","9"
"902","2","22"
"902","15","2"
"903","2","24"
"903","15","3"
"904","2","22"
"905","2","9"
"906","2","3"
"907","2","1"
"908","2","1"
"909","2","12"
"909","2","14"
"910","2","12"
"910","2","14"
"911","2","5"
"912","1","0"
"913","2","5"
"913","2","9"
"914","2","1"
"914","15","1"
"915","2","24"
"916","2","1"
"916","15","1"
"916","15","7"
"917","2","1"
"918","2","20"
"919","1","0"
"920","2","0"
"921","2","10"
"921","2","11"
"921","2","13"
"922","2","3"
"922","15","0"
"923","2","14"
"924","2","5"
"925","2","0"
"926","2","0"
"927","2","0"
"927","22","7"
"928","2","0"
"929","2","22"
"929","15","0"
"931","2","23"
"932","2","3"
"932","2","9"
"933","2","3"
"934","2","13"
"935","2","0"
"936","2","9"
"937","2","0"
"937","15","9"
"938","2","0"
"939","2","0"
"940","2","5"
"941","2","0"
"942","2","0"
"943","2","1"
"944","2","12"
"945","2","20"
"946","2","0"
"946","9","0"
"947","2","5"
"948","2","14"
"949","2","18"
"950","2","14"
"951","2","21"
"951","4","10"
"952","2","0"
"953","6","22"
"954","2","4"
"955","2","0"
"955","19","0"
"956","2","2"
"957","2","0"
"958","2","21"
"959","2","0"
"960","2","9"
"961","2","1"
"961","15","3"
"962","2","0"
"963","2","5"
"964","2","18"
"965","3","7"
"966","2","5"
"967","2","0"
"968","2","0"
"969","2","23"
"970","2","4"
"970","2","16"
"971","2","4"
"972","2","0"
"973","2","21"
"974","2","21"
"975","2","14"
"976","2","5"
"977","2","15"
"978","2","18"
"979","2","18"
"980","2","0"
"981","2","0"
