Key,ShortName,Name,HIndex,Qualis
dblp:conf/middleware,MIDDLEWARE (C),,49,A2
dblp:journals/talg,TALG (J),,,B1
dblp:journals/cg,CG (J),,,
dblp:conf/coling,COLING (C),,62,A1
dblp:conf/isit,ISIT (C),,31,B1
dblp:conf/ismb,ISMB (C),,91,A1
dblp:conf/trec,TREC (C),,51,A2
dblp:conf/ipmi,IPMI (C),,,
dblp:conf/mfcs,MFCS (C),,33,B1
dblp:journals/vc,VC (J),,,B1
dblp:conf/compcon,COMPCON (C),,,
dblp:conf/icccn,ICCCN (C),,34,B1
dblp:conf/stacs,STACS (C),,44,A2
dblp:conf/aips,AIPS (C),,,
dblp:journals/jss,JSS (J),,,
dblp:conf/icdcsw,ICDCSW (C),,,
dblp:conf/rss,RSS (C),,39,A2
dblp:conf/mascots,MASCOTS (C),,42,A2
dblp:journals/mia,MIA (J),,,A1
dblp:conf/raid,RAID (C),,53,A2
dblp:conf/vr,VR (C),,40,A2
dblp:journals/ijfcs,IJFCS (J),,,B2
dblp:journals/sigmobile,SIGMOBILE (J),,,
dblp:journals/tissec,TISSEC (J),,,
dblp:conf/ecoop,ECOOP (C),,61,A1
dblp:conf/icfp,ICFP (C),,53,A2
dblp:conf/psb,PSB (C),,57,A1
dblp:journals/is,IS (J),,,A2
dblp:reference/parallel,PARALLEL (reference),,,
dblp:journals/combinatorica,COMBINATORICA (J),,,
dblp:journals/cad,CAD (J),,,
dblp:journals/fmsd,FMSD (J),,,A2
dblp:conf/cgo,CGO (C),,41,A2
dblp:journals/mp,MP (J),,,A1
dblp:journals/vlsisp,VLSISP (J),,,
dblp:journals/pervasive,PERVASIVE (J),,,A2
dblp:journals/cj,CJ (J),,,
dblp:conf/nossdav,NOSSDAV (C),,41,A2
dblp:journals/ivc,IVC (J),,,A1
dblp:conf/mobihoc,MOBIHOC (C),,110,A1
dblp:journals/ijhpca,IJHPCA (J),,,
dblp:conf/fgr,FGR (C),,,
