,Author,HIndex
237,Fabiano Passuelo Hessel,15
238,Carlos Hitoshi Morimoto,20
239,LUIS FELIPE MAGALHAES DE MORAES,33
240,GERSON ZAVERUCHA,11
241,Eduardo Candido Xavier,8
242,JOSE NEUMAN DE SOUZA,32
243,Cirano Iochpe,
244,Renata de Matos Galante,9
245,Joao Marcos Bastos Cavalcanti,5
246,Ronaldo Fumio Hashimoto,11
247,JORGE CESAR ABRANTES DE FIGUEIREDO,
248,Marcelo Bezerra d'Amorim,12
249,Sandra Aparecida de Amo,11
250,Helena Cristina da Gama Leitao,
251,Ana Cristina Vieira de Melo,12
252,HYGGO OLIVEIRA DE ALMEIDA,
253,Renata Maria Cardoso Rodrigues de Souza,10
254,Edson Prestes e Silva Junior,31
255,David Boris Paul Deharbe,15
256,Ronaldo Alves Ferreira,9
257,Jose Valdeni de Lima,19
258,Arndt von Staa,
259,Fernando Luis Dotti,10
260,ROSSANA MARIA DE CASTRO ANDRADE,
261,Estevam Rafael Hruschka Junior,14
262,JACQUES PHILIPPE SAUVE,18
263,Adenilso da Silva Simao,13
264,Christiano de Oliveira Braga,14
265,VANIA MARIA PONTE VIDAL,10
266,Roseli Aparecida Francelin Romero,13
267,Alberto Ferreira De Souza,9
268,GERALDO ZIMBRAO DA SILVA,13
269,Julius Cesar Barreto Leite,32
270,Routo Terada,9
271,Rubens Nascimento Melo,9
272,PATRICIA DUARTE DE LIMA MACHADO,14
273,Jacques Facon,10
274,Andre Luis Vasconcelos Coelho,12
275,Alberto Barbosa Raposo,18
276,Hugo Fuks,26
277,Carlos Camarao de Figueiredo,15
278,RICARDO CORDEIRO DE FARIAS,18
279,Renata Pontin de Mattos Fortes,18
280,Valdemar Waingort Setzer,
281,Jorge Luis Victoria Barbosa,7
282,Orlando Lee,6
283,Elisa Yumi Nakagawa,
284,Islene Calciolari Garcia,8
285,Maria Emilia Machado Telles Walter,2
286,MANOEL EUSEBIO DE LIMA,12
287,Viviane Moreira Orengo,
288,Fernando Santos Osorio,16
289,ERNESTO PRADO LOPES,12
290,Duncan Dubugras Alcoba Ruiz,11
291,Zanoni Dias,12
292,Martin Alejandro Musicante,9
293,Martin Alejandro Musicante,9
294,Nicolas Bruno Maillard,
295,Antonio Augusto Medeiros Frohlich,12
296,Mara Abel,
297,ANA TERESA DE CASTRO MARTINS,15
298,Gustavo Enrique de Almeida Prado Alves Batista,17
299,Marcio Eduardo Delamaro,19
300,KATIA SILVA GUIMARAES,
301,Alexandre Plastino de Carvalho,24
302,Flavia de Almeida Barros,
303,FELIPE MAIA GALVAO FRANCA,
304,Maria Beatriz Felgar de Toledo,12
305,Joao Paulo Andrade Almeida,14
306,Nabor das Chagas Mendonca,12
307,Aurora Trinidad Ramirez Pozo,
308,GERALDO BONORINO XEXEO,9
309,Frank Augusto Siqueira,10
310,Marcelo Eduardo Pellenz,
311,ROHIT GHEYI,14
312,Luciana Salete Buriol,
313,Patricia Cabral de Azevedo Restelli Tedesco,
314,Marcel Parolin Jackowski,17
315,Christiane Anneliese Gresse von Wangenheim,17
316,Jose Coelho de Pina Junior,36
317,Simone de Lima Martins,15
318,MARCO AURELIO SPOHN,10
319,Loana Tito Nogueira,7
320,RICARDO GUERRA MARROQUIM,7
321,Marcilio Carlos Pereira de Souto,15
322,Anamaria Martins Moreira,7
323,Raphael Yokoingawa de Camargo,14
324,Cristina Dutra de Aguiar Ciferri,8
325,Edjair de Souza Mota,8
326,Ricardo Rodrigues Ciferri,10
327,Sarita Mazzini Bruschi,7
328,Ivan Saraiva Silva,16
329,Renato Fileto,10
330,Luiz Gustavo Leao Fernandes,36
331,Ivan Gesteira Costa Filho,8
332,CLAUDIA LINHARES SALES,
333,Carlos Alberto de Jesus Martinhon,16
334,Maria Andreia Formico Rodrigues,69
335,Paulo Jorge Leitao Adeodato,
336,Paulo Cesar Centoducatte,
337,Eduardo Todt,
338,Renata Vieira,23
339,Frederico Luiz Goncalves de Freitas,1
340,Ricardo Bastos Cavalcante Prudencio,11
341,CLAUDIO DE SOUZA BAPTISTA,3
342,MARCIA ROSANA CERIOLI,7
343,CELSO ALBERTO SAIBEL SANTOS,8
344,JOAQUIM BENTO CAVALCANTE NETO,25
345,Andre Luis de Medeiros Santos,24
346,Ricardo Melo Bastos,11
347,Roberto da Silva Bigonha,8
348,Arnaldo Vieira Moura,11
349,Roberto Willrich,9
350,Tarcisio Haroldo Cavalcante Pequeno,
351,Alexandre Ibrahim Direne,
352,Kalinka Regina Lucas Jaquie Castelo Branco,7
353,Alan Mitchell Durham,2
354,Ricardo Felipe Custodio,8
355,Carlos Alberto Maziero,10
356,Altair Olivo Santin,9
357,Ricardo Azambuja Silveira,10
358,Renan Goncalves Cattelan,
359,Antonio Otavio Fernandes,24
360,ABILIO PEREIRA DE LUCENA FILHO,
361,Roberto Tom Price,29
362,Andre Mauricio Cunha Campos,11
363,Fabio Queda Bueno da Silva,10
364,Roberta Lima Gomes,7
365,MARCUS COSTA SAMPAIO,6
366,Claudine Santos Badue,
367,Simone do Rocio Senger de Souza,12
368,DALTON DARIO SEREY GUERRERO,
369,Ronaldo dos Santos Mello,9
370,Mauro Roisenberg,8
371,CRETO AUGUSTO VIDAL,9
372,Carlos Becker Westphall,14
373,Marcelo Henriques de Carvalho,18
374,Maria Carolina Monard,19
375,JOSE AUGUSTO SURUAGY MONTEIRO,19
376,Edgard Jamhour,
377,Rafael Bohrer Avila,20
378,Heloisa Vieira da Rocha,
379,Nahri Balesdent Moreano,
380,Edson Borin,8
381,GEORGE MARCONI DE ARAUJO LIMA,17
382,Alexandre Claudio Botazzo Delbem,
383,Roberto da Silva,29
384,Elizabeth Ferreira Gouvea Goldbarg,7
385,Valeria Cesario Times,
386,Mariza Andrade da Silva Bigonha,
387,Bruno Feijo,
388,Joao do Espirito Santo Batista Neto,60
389,Roberto Hirata Jr,84
390,BERNADETTE FARIAS LOSCIO,
391,LEANDRO DIAS DA SILVA,5
392,Henrique Mongelli,
393,Andre Santanche,8
394,Alexandre Salles da Cunha,10
395,Joao Batista Souza de Oliveira,18
396,CHRISTINA VON FLACH GARCIA CHAVEZ,20
397,Ricardo de Almeida Falbo,
398,Maria do Carmo Nicoletti,19
399,Leonardo Gresta Paulino Murta,17
400,Fabricio Enembreck,10
401,Marco Cesar Goldbarg,7
402,Cinthia Obladen de Almendra Freitas,2
403,Jose Goncalves Pereira Filho,44
404,Ricardo de Oliveira Anido,9
405,Edilson Reis Rodrigues Kato,
406,Orides Morandin Junior,5
407,Maria das Gracas Volpe Nunes,27
408,JOSEANA MACEDO FECHINE,
409,Carlos Humes Junior,51
410,Paulo Sergio Lopes de Souza,32
411,Celia Ghedini Ralha,7
412,JAVAM DE CASTRO MACHADO,8
413,Alneu de Andrade Lopes,8
414,LUIS ALFREDO VIDAL DE CARVALHO,21
415,Eros Comunello,10
416,Marco Aurelio Gerosa,21
417,Esteban Walter Gonzalez Clua,14
418,Ilmerio Reis da Silva,
419,JOSE ANTONIO FERNANDES DE MACEDO,14
420,ELMAR UWE KURT MELCHER,
421,Joao Luis Garcia Rosa,9
422,Dalcidio Moraes Claudio,
423,Francisco Jose Monaco,
424,Eduardo Marques,23
425,Rudinei Goularte,13
426,Americo Tadeu Falcone Sampaio,
427,Dilvan de Abreu Moreira,8
428,Julio Cesar Nievola,
429,ADILSON ELIAS XAVIER,
430,Ellen Francine Barbosa,12
431,Luis Carlos Erpen de Bona,8
432,Marcelo Blois Ribeiro,22
433,Fabio Henrique Viduani Martinez,3
434,Sandra Maria Aluisio,20
435,Luis Fernando Faina,
436,Renato Jose da Silva Carmo,9
437,Sandra Camargo Pinto Ferraz Fabbri,9
438,Paulo Andre da Silva Goncalves,24
439,Clodoveu Augusto Davis Junior,
440,Rivalino Matias Junior,
441,FLAVIO MORAIS DE ASSIS SILVA,11
442,Heloisa de Arruda Camargo,10
443,Leandro Franco de Souza,9
444,Li Weigang,10
445,Luiz Carlos Pessoa Albini,
446,Emerson Cabrera Paraiso,6
447,Raul Pierre Renteria,0
448,EDUARDO CUNHA DE ALMEIDA,19
449,Aline Villavicencio,19
450,Marcos Sfair Sunye,
451,Alcides Calsavara,
452,PAULO ROMA CAVALCANTI,9
453,Daltro Jose Nunes,
454,Guilherme Albuquerque Pinto,2
455,Edjard de Souza Mota,
456,Pedro Alberto Barbetta,7
457,Magnos Martinello,5
458,Clarindo Isaias Pereira da Silva e Padua,
459,Eduardo do Valle Simoes,27
460,ROBERTO SOUTO MAIOR DE BARROS,105
461,Regivan Hugo Nunes Santiago,9
462,Arnaldo Mandel,
463,Joao Carlos Gluz,12
464,Mauricio Kischinhevsky,5
465,ALEXANDRE MARCOS LINS DE VASCONCELOS,3
466,Luis Carlos Trevelin,
467,Jose Pinheiro de Queiroz Neto,26
468,Sebastian Alberto Urrutia,14
469,Paulo Feofiloff,6
470,Eulanda Miranda dos Santos,6
471,FRANKLIN DE SOUZA RAMALHO,
472,Guilherme Pimentel Telles,10
473,HERMAN MARTINS GOMES,8
474,Gustavo Carlos Buscaglia,25
475,Solange Oliveira Rezende,11
476,Renata Silva Souza Guizzardi,14
477,Antonio Castelo Filho,46
478,Ernesto Julian Goldberg Birgin,27
479,Osmar Norberto de Souza,14
480,FERNANDO DA FONSECA DE SOUZA,14
481,Alair Pereira do Lago,
482,Marilde Terezinha Prado Santos,13
483,Carla Maria Chagas e Cavalcante Koike,
484,Joao Francisco Valiati,
485,Helio Crestana Guardia,7
486,Bruno Motta de Carvalho,12
487,Andre Renato Sales Amaral,1
488,Carlos Andre Guimaraes Ferraz,
489,HERMANO PERRELLI DE MOURA,8
490,Vera Lucia Strube de Lima,13
491,PAULO ROBERTO OLIVEIRA,42
492,Renato Antonio Krohling,18
493,Braulio Coelho Avila,
494,Marcelo Ladeira,
495,Edson dos Santos Moreira,14
496,Joao Marcos de Almeida,14
497,Ingrid Eleonora Schreiber Jansch Porto,
498,Stephane Julia,
499,Fabiano Silva,10
500,Flavio Leonardo Cavalcanti de Moura,1
501,Marcos Alexandre Castilho,10
502,Leonidas de Oliveira Brandao,9
503,Laura Sanchez Garcia,19
504,Marco Aurelio Stefanes,
505,Marcelo Augusto Santos Turine,22
506,Edson Emilio Scalabrin,
507,Paulo Licio de Geus,11
508,RAFAEL CASTRO DE ANDRADE,12
509,Sergio Donizetti Zorzo,
510,EDSON COSTA DE BARROS CARVALHO FILHO,14
511,Eduardo Fontoura Costa,39
512,Raul Sidnei Wazlawick,9
513,Carla Merkle Westphall,9
514,Silvia Modesto Nassar,
515,Patricia Vilain,
516,Marcos Nereu Arenales,
517,Edson Nascimento Silva Junior,31
518,Denise Guliato,
519,RICARDO CORDEIRO CORREA,21
520,Anselmo Antunes Montenegro,10
521,Kunio Okuda,
522,Vicente Ferreira de Lucena Junior,15
523,Alvaro Freitas Moreira,
524,Marco Dimas Gubitoso,6
525,Raimir Holanda Filho,
526,Adilson Barboza Lopes,
527,Juergen Rochol,
528,Alysson Machado Costa,12
529,Francisco Carlos da Rocha Reverbel,5
530,WILLIAM FERREIRA GIOZZA,
531,Franklina Maria Bragion de Toledo,9
532,Jose Alberto Cuminato,
533,Edward David Moreno Ordonez,7
534,Marcio Sarroglia Pinho,10
