1044-3983	Epidemiology (Cambridge, Mass., Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1434-6052	European Physical Journal C. Particles and Fields	A2	ASTRONOMIA / FÍSICA	Atualizado
1434-6044	European Physical Journal. C, Particles and Fields (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0295-5075	Europhysics Letters (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0014-3820	Evolution (Lancaster, PA.)	A2	ASTRONOMIA / FÍSICA	Atualizado
1359-6640	Faraday Discussions	A2	ASTRONOMIA / FÍSICA	Atualizado
0891-5849	Free Radical Biology & Medicine	A2	ASTRONOMIA / FÍSICA	Atualizado
1088-9051	Genome Research	A2	ASTRONOMIA / FÍSICA	Atualizado
0886-6236	Global Biogeochemical Cycles	A2	ASTRONOMIA / FÍSICA	Atualizado
1354-1013	Global Change Biology (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1342-937X	Gondwana Research	A2	ASTRONOMIA / FÍSICA	Atualizado
1463-9262	Green Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0270-9139	Hepatology (Baltimore, Md.)	A2	ASTRONOMIA / FÍSICA	Atualizado
1050-9631	Hippocampus (New York, N.Y. Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0019-1035	Icarus (New York, N.Y. 1962)	A2	ASTRONOMIA / FÍSICA	Atualizado
1077-260X	IEEE Journal of Selected Topics in Quantum Electronics	A2	ASTRONOMIA / FÍSICA	Atualizado
0020-1669	Inorganic Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizado
0360-3199	International Journal of Hydrogen Energy	A2	ASTRONOMIA / FÍSICA	Atualizado
0305-7453	Journal of Antimicrobial Chemotherapy (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0021-8898	Journal of Applied Crystallography	A2	ASTRONOMIA / FÍSICA	Atualizado
0021-9517	Journal of Catalysis (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1549-9596	Journal of Chemical Information and Modeling	A2	ASTRONOMIA / FÍSICA	Atualizado
1549-9618	Journal of Chemical Theory and Computation	A2	ASTRONOMIA / FÍSICA	Atualizado
0192-8651	Journal of Computational Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizado
0021-9991	Journal of Computational Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0168-3659	Journal of Controlled Release	A2	ASTRONOMIA / FÍSICA	Atualizado
0959-9428	Journal of Materials Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0022-2623	Journal of Medicinal Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizado
0022-2836	Journal of Molecular Biology	A2	ASTRONOMIA / FÍSICA	Atualizado
0022-3263	Journal of Organic Chemistry	A2	ASTRONOMIA / FÍSICA	Atualizado
1520-6106	Journal of Physical Chemistry. B	A2	ASTRONOMIA / FÍSICA	Atualizado
1932-7455	Journal of Physical Chemistry. C. (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
0378-7753	Journal of Power Sources (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1535-3893	Journal of Proteome Research (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1874-3919	Journal of Proteomics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0377-0486	Journal of Raman Spectroscopy	A2	ASTRONOMIA / FÍSICA	Atualizado
0743-7463	Langmuir	A2	ASTRONOMIA / FÍSICA	Atualizado
1054-660X	Laser Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
0024-9297	Macromolecules (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0888-8809	Molecular Endocrinology (Baltimore, Md.)	A2	ASTRONOMIA / FÍSICA	Atualizado
1543-8384	Molecular Pharmaceutics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0026-895X	Molecular Pharmacology (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0035-8711	Monthly Notices of the Royal Astronomical Society (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0883-7694	MRS Bulletin	A2	ASTRONOMIA / FÍSICA	Atualizado
1549-9634	Nanomedicine	A2	ASTRONOMIA / FÍSICA	Atualizado
1998-0124	Nano Research (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
2040-3364	Nanoscale (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1522-8517	Neuro-Oncology (Charlottesville, Va.)	A2	ASTRONOMIA / FÍSICA	Atualizado
1367-2630	New Journal of Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
0029-5515	Nuclear Fusion	A2	ASTRONOMIA / FÍSICA	Atualizado
0550-3213	Nuclear Physics. B (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0305-1048	Nucleic Acids Research	A2	ASTRONOMIA / FÍSICA	Atualizado
1094-4087	Optics Express	A2	ASTRONOMIA / FÍSICA	Atualizado
0146-9592	Optics Letters	A2	ASTRONOMIA / FÍSICA	Atualizado
1566-1199	Organic Electronics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1463-9076	PCCP. Physical Chemistry Chemical Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1463-9084	Physical Chemistry Chemical Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
1050-2947	Physical Review. A	A2	ASTRONOMIA / FÍSICA	Atualizado
1094-1622	Physical Review. A, Atomic, Molecular, and Optical Physics (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
1098-0121	Physical Review. B, Condensed Matter and Materials Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
1089-490X	Physical Review C	A2	ASTRONOMIA / FÍSICA	Atualizado
0556-2813	Physical Review. C. Nuclear Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1089-4918	Physical Review D (Particles, Fields, Gravitation and Cosmology)	A2	ASTRONOMIA / FÍSICA	Atualizado
1550-7998	Physical Review. D, Particles, Fields, Gravitation, and Cosmology	A2	ASTRONOMIA / FÍSICA	Atualizado
1550-2376	Physical Review E (Statistical, Nonlinear, and Soft Matter Physics)	A2	ASTRONOMIA / FÍSICA	Atualizado
1539-3755	Physical Review. E, Statistical, Nonlinear, and Soft Matter Physics (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0370-2693	Physics Letters. B (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1571-0645	Physics of Life Reviews (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0032-0889	Plant Physiology (Bethesda)	A2	ASTRONOMIA / FÍSICA	Atualizado
1545-7885	PLoS Biology (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
1553-734X	PLoS Computational Biology	A2	ASTRONOMIA / FÍSICA	Atualizado
1553-7358	PLOS Computational Biology (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
	PLoS Neglected Tropical Disease	A2	ASTRONOMIA / FÍSICA	Atualizado
1935-2735	PLoS Neglected Tropical Diseases (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
1932-6203	Plos One	A2	ASTRONOMIA / FÍSICA	Atualizado
0032-3861	Polymer (Guildford)	A2	ASTRONOMIA / FÍSICA	Atualizado
0018-9219	Proceedings of the IEEE	A2	ASTRONOMIA / FÍSICA	Atualizado
0079-6565	Progress in Nuclear Magnetic Resonance Spectroscopy	A2	ASTRONOMIA / FÍSICA	Atualizado
0146-6410	Progress in Particle and Nuclear Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
0004-6280	Publications of the Astronomical Society of the Pacific	A2	ASTRONOMIA / FÍSICA	Atualizado
1745-3933	Royal Astronomical Society. Monthly Notices. Letters (Online)	A2	ASTRONOMIA / FÍSICA	Atualizado
1745-3925	Royal Astronomical Society. Monthly Notices. Letters (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
1744-683X	Soft Matter (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0927-0248	Solar Energy Materials and Solar Cells	A2	ASTRONOMIA / FÍSICA	Atualizado
0038-6308	Space Science Reviews	A2	ASTRONOMIA / FÍSICA	Atualizado
0969-2126	Structure (London)	A2	ASTRONOMIA / FÍSICA	Atualizado
0004-6256	The Astronomical Journal (New York, N.Y.)	A2	ASTRONOMIA / FÍSICA	Atualizado
2041-8205	The Astrophysical Journal. Letters	A2	ASTRONOMIA / FÍSICA	Atualizado
0021-9258	The Journal of Biological Chemistry (Print)	A2	ASTRONOMIA / FÍSICA	Atualizado
0021-9606	The Journal of Chemical Physics	A2	ASTRONOMIA / FÍSICA	Atualizado
0022-1767	The Journal of Immunology (1950)	A2	ASTRONOMIA / FÍSICA	Atualizado
0270-6474	The Journal of Neuroscience	A2	ASTRONOMIA / FÍSICA	Atualizado
1089-5639	The Journal of Physical Chemistry. A	A2	ASTRONOMIA / FÍSICA	Atualizado
