1878-1373	Journal of International Humanitarian Legal Studies	A2	DIREITO	Atualizado
1477-0024	Journal of International Trade Law & Policy	A2	DIREITO	Atualizado
0948-695X	Journal of Universal Computer Science (Print)	A2	DIREITO	Atualizado
0075-6423	Kobe University Law Review. International Edition	A2	DIREITO	Atualizado
2041-7365	Latin American Policy	A2	DIREITO	Atualizado
0897-6546	Law & Social Inquiry	A2	DIREITO	Atualizado
2157-1899	Nevada Law Journal	A2	DIREITO	Atualizado
0196-3228	Northwestern Journal of International Law & Business	A2	DIREITO	Atualizado
0101-3300	Novos Estudos CEBRAP (Impresso)	A2	DIREITO	Atualizado
2175-0491	Novos Estudos Jurídicos (Online)	A2	DIREITO	Atualizado
1692-2530	Opinion Juridica	A2	DIREITO	Atualizado
0758-1726	Politiques et Management Public	A2	DIREITO	Atualizado
0121-182X	Prolegomenos (Universidad Militar Nueva Granada)	A2	DIREITO	Atualizado
1413-7372	Psicologia em Estudo (Impresso)	A2	DIREITO	Atualizado
1778-3798	Psycho-Oncologie	A2	DIREITO	Atualizado
1057-9249	Psycho-Oncology (Chichester, England)	A2	DIREITO	Atualizado
0034-1398	Rechtstheorie	A2	DIREITO	Atualizado
1415-5400	Revista Brasileira de Ciências Criminais	A2	DIREITO	Atualizado
0102-6909	Revista Brasileira de Ciências Sociais (Impresso)	A2	DIREITO	Atualizado
0798-9202	Revista CENIPEC	A2	DIREITO	Atualizado
0034-7612	Revista de Administração Pública (Impresso)	A2	DIREITO	Atualizado
0034-7701	Revista de Antropologia (USP. Impresso)	A2	DIREITO	Atualizado
1886-5887	Revista de Bioetica y Derecho	A2	DIREITO	Atualizado
0716-7725	Revista de Ciencias Sociales (Chile)	A2	DIREITO	Atualizado
0123-4366	Revista de Derecho Privado (Bogota, 1998)	A2	DIREITO	Atualizado
0716-9132	Revista de Derecho (Valdivia. Impresa)	A2	DIREITO	Atualizado
0716-1883	Revista de Derecho (Valparaiso)	A2	DIREITO	Atualizado
1696-8698	Revista de Estudos Criminais	A2	DIREITO	Atualizado
1676-8698	Revista de Estudos Criminais	A2	DIREITO	Atualizado
