,Akey,Information retrieval score
81840,João M. B. Cavalcanti,0.1
46508,Manuel Gomez-Rodriguez,0.1
19285,David A. Smith,0.1
1317,Marcos André Gonçalves,0.0985915492958
13370,Shimon Whiteson,0.0985915492958
19062,Susan Gauch,0.0983606557377
24653,Ganesh Ramakrishnan,0.0961538461538
1241,Jaime G. Carbonell,0.0952380952381
19559,Raphaël Clifford,0.093023255814
30414,Xia Hu,0.093023255814
5550,Moshe Lewenstein,0.0925925925926
165383,Marcelo Augusto Santos Turine,0.0909090909091
33394,Debmalya Panigrahi,0.0909090909091
66523,Richard A. O'Keefe,0.0909090909091
74244,John B. Smith,0.0909090909091
3482,Jure Leskovec,0.0900900900901
15994,Julie A. McCann,0.0882352941176
8944,Hwee Tou Ng,0.0879120879121
21109,Leila Kosseim,0.0877192982456
65089,Peixiang Zhao,0.0869565217391
28742,Roxana Girju,0.0869565217391
70131,Carole D. Hafner,0.0869565217391
28523,Anton Leuski,0.0869565217391
11088,Thomas Hofmann,0.0864197530864
39788,Maya Ramanath,0.0857142857143
8847,James Caverlee,0.0851063829787
28327,Zanoni Dias,0.0851063829787
19384,Mihai Surdeanu,0.0847457627119
13287,Eduardo Sany Laber,0.0845070422535
679,Rong Jin,0.0836820083682
150480,Jorgen P. Bansler,0.0833333333333
150803,Rodrigo C. Fonseca,0.0833333333333
54048,Jiannan Wang,0.0833333333333
19795,Tomasz Walen,0.0833333333333
92195,Julian J. McAuley,0.0833333333333
18770,James R. Curran,0.0819672131148
1850,Amihood Amir,0.0815217391304
52206,Yaron Singer,0.08
8915,Bonnie L. Webber,0.0795454545455
18395,Ruy Luiz Milidiú,0.0793650793651
130963,John C. Lusth,0.0769230769231
127712,Jackie Chi Kit Cheung,0.0769230769231
34807,Anthony Wirth,0.0769230769231
8991,Wee Sun Lee,0.0769230769231
19988,Ion Androutsopoulos,0.075
6506,Gao Cong,0.0740740740741
33459,Gerard de Melo,0.0731707317073
14934,Zhongfei Zhang,0.0724637681159
120302,Viviane Moreira Orengo,0.0714285714286
4701,Marcel J. T. Reinders,0.0703125
1684,William W. Cohen,0.0698924731183
52658,Stefanie Tellex,0.0689655172414
14419,Roger King,0.0684931506849
5008,Filippo Menczer,0.0674157303371
116337,E. J. Yannakoudakis,0.0666666666667
113199,Raghavan Manmatha,0.0666666666667
113706,Ndapandula Nakashole,0.0666666666667
29340,Karin Verspoor,0.0666666666667
114464,Reiner Kraft,0.0666666666667
28587,Keke Chen,0.0666666666667
3782,Jussara M. Almeida,0.0666666666667
49003,Tim Weninger,0.0666666666667
2508,Jing He,0.0647058823529
48217,Maria Emilia Telles Walter,0.0645161290323
12862,Zi Huang,0.0641025641026
16639,Moshe Koppel,0.0634920634921
2965,Dan I. Moldovan,0.062893081761
144,Gerhard Weikum,0.0627802690583
78653,Daniel Sheldon,0.0625
97804,Steven P. Abney,0.0625
11717,Mor Naaman,0.0617283950617
26629,David L. Waltz,0.0612244897959
44807,Shmuel Tomi Klein,0.0606060606061
1298,Wei Gao,0.0604651162791
8365,Fernando C. N. Pereira,0.0602409638554
9012,Wray L. Buntine,0.0595238095238
99710,Robert V. Baron,0.0588235294118
87567,Hanna M. Wallach,0.0588235294118
98886,Edith Law,0.0588235294118
89629,Sayan Ranu,0.0588235294118
7640,Luis Gravano,0.0588235294118
97205,Roger W. Ehrich,0.0588235294118
3499,Kathleen McKeown,0.0567375886525
3713,Alan Hanjalic,0.0567375886525
14624,Nir Ailon,0.0566037735849
23616,Irena Koprinska,0.0566037735849
23681,Sudeshna Sarkar,0.0566037735849
2171,Alberto H. F. Laender,0.0555555555556
40275,Diane H. Sonnenwald,0.0555555555556
1464,Chris H. Q. Ding,0.0531400966184
6292,Joseph A. Konstan,0.0530973451327
80073,Mustafa Bilgic,0.0526315789474
87149,David R. Smith,0.0526315789474
86009,Shanton Chang,0.0526315789474
20798,Mark Craven,0.0526315789474
34065,Partha Pratim Talukdar,0.0526315789474
43233,Cristian Danescu-Niculescu-Mizil,0.0526315789474
34424,Richard Zanibbi,0.0526315789474
8792,Gaston H. Gonnet,0.0520833333333
20581,Duncan A. Buell,0.051724137931
25868,Xiangnan Kong,0.0512820512821
12546,Maria Grazia Fugini,0.0506329113924
947,Alexander G. Hauptmann,0.0504201680672
80559,Gregory J. E. Rawlins,0.05
2827,Andrew McCallum,0.05
78874,Mohamed Sarwat,0.05
76944,Michael E. Tipping,0.05
84582,Wensheng Wu,0.05
1154,Wagner Meira Jr.,0.0493273542601
11472,Aditya P. Mathur,0.0481927710843
15175,Stephen Clark,0.047619047619
11548,Christopher Ré,0.047619047619
10584,Licia Capra,0.047619047619
68328,Mitesh M. Khapra,0.047619047619
77508,Leslie L. Miller,0.047619047619
79556,David Banks,0.047619047619
72865,Evan Drumwright,0.047619047619
306,C. Lee Giles,0.0463768115942
6424,Mario A. Nascimento,0.0462962962963
15869,Yizhou Sun,0.0461538461538
14845,Chiranjib Bhattacharyya,0.0461538461538
73935,Apostolos Gerasoulis,0.0454545454545
57644,Radford M. Neal,0.0454545454545
9700,Kevin Chen-Chuan Chang,0.0449438202247
9374,Terry Winograd,0.043956043956
29479,Alessandro Vespignani,0.0434782608696
55626,Panagiotis Stamatopoulos,0.0434782608696
31930,Albert-László Barabási,0.0434782608696
6037,Daniel P. Lopresti,0.0434782608696
66260,Daisy Zhe Wang,0.0434782608696
70023,Philip W. Dart,0.0434782608696
70292,Hans Hinterberger,0.0434782608696
14979,Dianne P. O'Leary,0.0422535211268
153,Hector Garcia-Molina,0.0416666666667
27238,Sabine Bergler,0.0416666666667
25331,Yanlei Diao,0.0416666666667
7820,Soumen Chakrabarti,0.0412371134021
5120,Manolis Koubarakis,0.0409836065574
3571,John Riedl,0.0408163265306
26928,P. Krishna Gummadi,0.0408163265306
13875,Jacco van Ossenbruggen,0.0405405405405
3477,Anwitaman Datta,0.0403225806452
4527,Heng Tao Shen,0.0403225806452
44465,David Sontag,0.04
54597,Helen Nissenbaum,0.04
12924,Haym Hirsh,0.04
62540,Geraldo Zimbrão,0.04
29581,David F. Gleich,0.04
12619,Thore Graepel,0.04
3209,Mitsunori Ogihara,0.0392156862745
60045,Daisuke Kihara,0.0384615384615
51545,Roy Schwartz,0.0384615384615
60757,Andrea S. LaPaugh,0.0384615384615
49592,Fuxin Li,0.0384615384615
4424,Alberto Apostolico,0.0378787878788
9669,Daniel Marcu,0.0375
12179,Amihai Motro,0.0375
2749,Steve Renals,0.0372670807453
17,Tao Li,0.0372492836676
16123,Piotr Sankowski,0.037037037037
58445,Nava Tintarev,0.037037037037
1796,Bing Liu 0001,0.0364583333333
6528,Loren G. Terveen,0.036036036036
20159,Guo-Jun Qi,0.0357142857143
10454,Ying He 0001,0.0357142857143
11008,Yiu-Kai Ng,0.0357142857143
55800,Nicos Malevris,0.0357142857143
19221,Sara Cohen,0.0357142857143
20473,Gady Agam,0.0350877192982
53407,Ronald Rosenfeld,0.0344827586207
53509,Joseph G. Davis,0.0344827586207
49720,Sylvie Hamel,0.0344827586207
53202,Henry S. Thompson,0.0344827586207
49692,Ron Weiss,0.0344827586207
19407,Ellen Riloff,0.0344827586207
543,Chang Liu,0.0344827586207
10434,Vasile Rus,0.0344827586207
20431,P. David Stotts,0.0338983050847
3526,Kathryn S. McKinley,0.0337837837838
49889,Robert Levinson,0.0333333333333
50381,Russell J. Deaton,0.0333333333333
9461,Guy Lapalme,0.032967032967
5366,Dennis McLeod,0.0327868852459
13957,Lada A. Adamic,0.0327868852459
1121,J. Ian Munro,0.0327102803738
4976,Martin Ester,0.0325203252033
42427,Shivani Agarwal 0001,0.0322580645161
7842,Claire Cardie,0.0322580645161
44336,Daniel Kifer,0.0322580645161
1137,Eduard H. Hovy,0.0319634703196
13751,Jennifer Neville,0.031746031746
17521,Stefan Schlobach,0.031746031746
591,Jian Pei,0.0316901408451
2911,Stanley Y. W. Su,0.03125
39859,Davood Rafiei,0.03125
17175,Renato Ferreira,0.03125
46601,Joseph N. Wilson,0.03125
771,Wang-Chien Lee,0.0311284046693
16700,Amar Mukherjee,0.0307692307692
45796,Saroj Kaushik,0.030303030303
45359,Duncan H. Lawrie,0.030303030303
45387,Brent Hecht,0.030303030303
16950,Andy Hopper,0.030303030303
3807,Dale Schuurmans,0.0300751879699
6497,Naftali Tishby,0.03
4201,Weiyi Meng,0.0298507462687
15609,Neil C. Rowe,0.0298507462687
16008,Hasan Davulcu,0.0298507462687
1975,Lise Getoor,0.0297619047619
14144,John W. Byers,0.0294117647059
42761,Vera Lúcia Strube de Lima,0.0294117647059
16266,Ani Nenkova,0.0294117647059
43557,Marco M. Carvalho,0.0294117647059
15922,Clarence A. Ellis,0.0294117647059
41987,Maria Soledad Pera,0.0294117647059
15205,Gerald DeJong,0.0289855072464
12734,Liam Roditty,0.0289855072464
4035,Rada Mihalcea,0.0289855072464
6455,Niloy Ganguly,0.0288461538462
36378,Wendy G. Lehnert,0.0285714285714
33434,Lorenzo Torresani,0.0285714285714
15483,Andruid Kerne,0.0285714285714
27521,Charalampos E. Tsourakakis,0.0285714285714
12225,Shaul Markovitch,0.0281690140845
37132,T. V. Prabhakar,0.0277777777778
38664,Amélie Marian,0.0277777777778
6325,Thomas Neumann 0001,0.0272727272727
9952,Milos Hauskrecht,0.027027027027
13270,Virgílio A. F. Almeida,0.027027027027
28152,Amitabha Bagchi,0.027027027027
38968,Jean-Marc Steyaert,0.027027027027
36752,Simone Teufel,0.027027027027
38483,Josiah Poon,0.027027027027
37004,Steven Bethard,0.027027027027
2885,Steven Skiena,0.0268456375839
13676,Michael W. Berry,0.0266666666667
12832,Johan A. Pouwelse,0.0263157894737
25509,Aditya G. Parameswaran,0.0263157894737
3322,Wynne Hsu,0.0263157894737
34940,Peter Marbach,0.0263157894737
5771,Hao Huang,0.0260869565217
11161,Richard Sproat,0.025974025974
34417,Duen Horng Chau,0.025641025641
34479,Gary J. Nutt,0.025641025641
36783,Lisa Singh,0.025641025641
2921,Michalis Vazirgiannis,0.025641025641
36810,Deepak Khemani,0.025641025641
3051,Judy Kay,0.0254777070064
2973,Jianping Fan,0.0251572327044
1372,David R. Karger,0.0251256281407
31406,David J. Crandall,0.025
34624,Maria Indrawan,0.025
33401,Sinno Jialin Pan,0.0243902439024
31359,H. Rex Hartson,0.0243902439024
26383,Fred Popowich,0.0243902439024
5230,John F. Canny,0.0243902439024
5195,Kenneth Y. Goldberg,0.0241935483871
11211,Pabitra Mitra,0.0240963855422
10131,Brian Roark,0.0240963855422
11476,Alessandro Bozzon,0.0240963855422
11581,Sakti Pramanik,0.0240963855422
10986,Vagelis Hristidis,0.0238095238095
9853,Guo-Qiang Zhang,0.0238095238095
30469,Alan Mislove,0.0238095238095
10760,Wei Jin,0.0235294117647
10755,Ömer Egecioglu,0.0235294117647
10320,Sunita Sarawagi,0.0235294117647
32141,Paul R. Schrater,0.0232558139535
31394,Gisele L. Pappa,0.0232558139535
32105,Edward Sciore,0.0232558139535
31056,Joyce Yue Chai,0.0232558139535
2385,Mong-Li Lee,0.0231213872832
9268,Bonnie J. Dorr,0.0229885057471
20915,Phil Blunsom,0.0227272727273
7414,David M. Blei,0.0227272727273
4328,Tom M. Mitchell,0.0227272727273
29840,Grzegorz Kondrak,0.0227272727273
28979,Mark Daley,0.0227272727273
22269,Ashwin Machanavajjhala,0.0227272727273
27743,Chengkai Li,0.0227272727273
8558,Neoklis Polyzotis,0.0224719101124
1795,Andrew Y. Ng,0.0224719101124
29942,Robert Neches,0.0222222222222
13639,Aram Galstyan,0.0222222222222
29212,Devika Subramanian,0.0222222222222
8134,Sandra Carberry,0.0222222222222
28598,Yanhua Li,0.0222222222222
27661,Weng-Keen Wong,0.0222222222222
8773,David R. Cheriton,0.021978021978
412,Huan Liu,0.021875
28611,Daniel G. Brown 0001,0.0217391304348
28172,Quanquan Gu,0.0217391304348
29463,Jessica Lin 0001,0.0217391304348
644,Jeffrey Scott Vitter,0.0217391304348
26898,Pawan Goyal,0.0217391304348
27547,Ulrike Stege,0.0217391304348
6235,Manuel A. Pérez-Quiñones,0.0215053763441
3849,Jack Minker,0.0212765957447
7763,Michael Collins,0.0212765957447
28175,Alan W. Biermann,0.0212765957447
3338,Kristina Lerman,0.0210526315789
1200,Eric P. Xing,0.020942408377
26863,Benjamin Van Durme,0.0208333333333
27096,Srinath Srinivasa,0.0208333333333
27358,Alan L. Tharp,0.0208333333333
27662,Yashar Ganjali,0.0208333333333
1724,Michael L. Nelson,0.0208333333333
26376,Yun Sing Koh,0.0204081632653
26628,Kalina Yacef,0.0204081632653
8197,Sudha Ram,0.020202020202
25460,Munmun De Choudhury,0.02
25802,Janet L. Kolodner,0.02
3419,Piero Fraternali,0.02
7936,Sergei Nirenburg,0.02
23819,Tina Eliassi-Rad,0.02
16,Jiawei Han,0.019943019943
1212,Jon M. Kleinberg,0.0199004975124
6519,Hanghang Tong,0.019801980198
7807,Sally Jo Cunningham,0.0196078431373
25085,Micah Sherr,0.0196078431373
24606,Rakesh M. Verma,0.0196078431373
23428,Stratos Idreos,0.0196078431373
23363,David Yarowsky,0.0196078431373
3184,Ann Blandford,0.0196078431373
21553,Yan Liu 0002,0.0196078431373
3253,Sharma Chakravarthy,0.0196078431373
22432,Hagit Shatkay,0.0196078431373
278,Karl Aberer,0.0193370165746
24259,Scott Rixner,0.0192307692308
7417,Jason I. Hong,0.0192307692308
2782,Yufei Tao,0.0191082802548
6740,Hari Sundaram,0.0190476190476
7316,Yike Guo,0.0190476190476
23752,Bruce R. Schatz,0.0188679245283
22710,Mehran Sahami,0.0188679245283
22909,P. Sreenivasa Kumar,0.0188679245283
2849,Nick Koudas,0.01875
22709,Shaojun Wang,0.0185185185185
23006,José Antônio Fernandes de Macêdo,0.0185185185185
23253,Ondrej Lhoták,0.0185185185185
2198,Chitta Baral,0.0182926829268
3780,Nir Friedman,0.0181818181818
10708,Johan Bollen,0.0181818181818
22749,Panos Constantopoulos,0.0181818181818
22521,Donald D. Chamberlin,0.0181818181818
21271,Jon Oberlander,0.0178571428571
21041,Batya Friedman,0.0178571428571
21650,Edwina L. Rissland,0.0178571428571
16152,Kilian Q. Weinberger,0.0178571428571
6261,Jimeng Sun,0.0176991150442
17115,Anoop Sarkar,0.0175438596491
21366,Roger B. Dannenberg,0.0175438596491
21526,Judith S. Olson,0.0175438596491
21217,Ronald J. Brachman,0.0175438596491
49,Jun Wang,0.0175131348511
937,Wojciech Rytter,0.017316017316
5633,Yi Chen 0001,0.0172413793103
5755,Michael J. Pazzani,0.0172413793103
14446,Shankara Narayanan Krishna,0.0172413793103
5776,Yossi Matias,0.0172413793103
13327,Guy Lebanon,0.0172413793103
20760,Raquel Oliveira Prates,0.0172413793103
20770,Eugene Fiume,0.0172413793103
118,Christos Faloutsos,0.017130620985
20111,Martin Raubal,0.0169491525424
20173,Gregory R. Crane,0.0169491525424
5601,Iryna Gurevych,0.0169491525424
20092,Shanika Karunasekera,0.0169491525424
19856,Chandan K. Reddy,0.0169491525424
15529,Ran El-Yaniv,0.0166666666667
19502,Viviane Torres da Silva,0.0166666666667
18836,Gustavo Carneiro,0.0166666666667
17017,Lisa Hellerstein,0.0166666666667
18626,Denilson Barbosa,0.0166666666667
19235,Paulo Cesar Masiero,0.016393442623
266,Ben Shneiderman,0.0163043478261
18596,Elisa Quintarelli,0.0161290322581
18737,David M. Eyers,0.0161290322581
18115,Benny Kimelfeld,0.0161290322581
1945,Jitender S. Deogun,0.0160427807487
450,Xiaofang Zhou,0.0160256410256
1894,Nigel Shadbolt,0.0159574468085
4026,Nitesh V. Chawla,0.015873015873
4908,Naphtali Rishe,0.015873015873
18353,Gary M. Olson,0.015873015873
18067,Jon Doyle,0.015873015873
17574,Estevam R. Hruschka Jr.,0.015625
17799,Edward Omiecinski,0.015625
4775,Wesley W. Chu,0.015503875969
17201,Vernon Rego,0.0153846153846
16666,Sriraam Natarajan,0.0153846153846
16814,Kathleen F. McCoy,0.0153846153846
14185,Ramesh K. Sitaraman,0.0151515151515
16728,Wayne Ward,0.0151515151515
15588,Michael S. Bernstein,0.0151515151515
16965,Karrie Karahalios,0.0151515151515
4195,Henry A. Kautz,0.0151515151515
15716,David Jensen,0.0149253731343
4208,Julia Hirschberg,0.0148148148148
13858,Balaraman Ravindran,0.0144927536232
15758,James Davis,0.0144927536232
15737,Hugo Fuks,0.0144927536232
14429,Amy Greenwald,0.0144927536232
15393,Katrin Kirchhoff,0.0144927536232
3182,Robert E. Schapire,0.0144927536232
11521,Xiaokui Xiao,0.0142857142857
15480,Giora Slutzki,0.0142857142857
14605,Mark Steedman,0.0142857142857
14549,Jeremy T. Bradley,0.0140845070423
14158,Lexing Xie,0.0140845070423
13089,Mauricio Ayala-Rincón,0.0138888888889
14124,Maria Cristina Ferreira de Oliveira,0.0138888888889
12104,Philip Resnik,0.0138888888889
12264,Nan Zhang 0004,0.0138888888889
9909,S. V. N. Vishwanathan,0.0138888888889
13895,Mark Dredze,0.0138888888889
13226,Evimaria Terzi,0.0138888888889
14086,Heng Ji,0.0138888888889
3093,Bhiksha Raj,0.013698630137
11112,Andrew McGregor,0.013698630137
1206,Xin He,0.013698630137
3480,Jude W. Shavlik,0.013698630137
13508,Thomas L. Griffiths,0.013698630137
12989,Dan Cosley,0.013698630137
3581,Stéphane Bressan,0.0136054421769
2022,Alfred O. Hero III,0.0135135135135
3470,Richard Furuta,0.0135135135135
3476,Letizia Tanca,0.0135135135135
14055,Murat Demirbas,0.0135135135135
12452,Alex Thomo,0.0135135135135
14089,Jörg Sander,0.0135135135135
3080,Stanley B. Zdonik,0.0133333333333
10921,Janyce Wiebe,0.0131578947368
13326,David K. Gifford,0.0131578947368
13312,Mostafa A. Bassiouni,0.0131578947368
13239,Kellogg S. Booth,0.0131578947368
2762,Padhraic Smyth,0.0130718954248
12962,Tom Gedeon,0.012987012987
12972,Henry S. Baird,0.012987012987
13008,Ashwin Ram,0.012987012987
13031,Alan L. Cox,0.012987012987
223,Dong Wang,0.012987012987
12299,Carla E. Brodley,0.0128205128205
12517,Wee Kheng Leow,0.0128205128205
12527,Fabio Salice,0.0128205128205
12652,Ari Rappoport,0.0128205128205
11965,Jaswinder Pal Singh,0.0128205128205
12866,Sara Comai,0.0128205128205
10437,David Fernández-Baca,0.0128205128205
12750,Max H. Garzon,0.0128205128205
2277,Michael L. Littman,0.0127388535032
977,Ian H. Witten,0.0127118644068
11547,Daniel Jurafsky,0.0126582278481
12501,Tamás D. Gedeon,0.0126582278481
11875,Hava T. Siegelmann,0.0126582278481
11233,Daniel P. Huttenlocher,0.0125
2853,Quan Z. Sheng,0.0124223602484
11152,Vincent Ng,0.0123456790123
9776,Jason J. Corso,0.0123456790123
10591,Charles Elkan,0.0121951219512
10826,Jyrki Katajainen,0.0121951219512
8816,Kamesh Munagala,0.0121951219512
2576,Daniel S. Weld,0.0121951219512
6019,Shai Shalev-Shwartz,0.0120481927711
9656,Graeme Hirst,0.0120481927711
11311,Giuseppe Carenini,0.0120481927711
2424,Yehoshua Sagiv,0.0120481927711
10791,Lucian Ilie,0.0119047619048
2474,Ehud Rivlin,0.0119047619048
2564,Scott E. Hudson,0.0118343195266
10734,Laura M. Haas,0.0117647058824
11014,Jeffrey Heer,0.0117647058824
11113,James A. Storer,0.0117647058824
2367,Hans-Jörg Schek,0.0115606936416
9817,Yonatan Aumann,0.0114942528736
10246,Giri Narasimhan,0.0114942528736
10335,Alan Borning,0.0113636363636
10249,Reginald L. Lagendijk,0.0113636363636
10096,W. Keith Edwards,0.0112359550562
10189,Jacques Wainer,0.0112359550562
2139,I. V. Ramakrishnan,0.0111731843575
2132,Deborah L. McGuinness,0.0110497237569
9579,Prasun Dewan,0.010989010989
8278,Antonio Torralba,0.010989010989
9402,Robert J. K. Jacob,0.0108695652174
9010,Sandhya Dwarkadas,0.0106382978723
111,Xin Liu,0.0105485232068
8699,Stefano Lonardi,0.0105263157895
1483,Laks V. S. Lakshmanan,0.0104712041885
8060,Mirella Lapata,0.0104166666667
6865,Koby Crammer,0.0104166666667
577,John M. Carroll,0.0103806228374
1768,Barbara Pernici,0.0103626943005
5320,Hal Daumé III,0.0103092783505
8567,Claudia Eckert,0.0103092783505
7234,Luca de Alfaro,0.0103092783505
1058,Michael Mitzenmacher,0.0102564102564
7941,Lyle H. Ungar,0.0102040816327
8405,Franca Garzotto,0.0102040816327
4045,Scott Aaronson,0.010101010101
7709,Jeffrey P. Bigham,0.01
6659,Ido Dagan,0.01
186,Tao Yang,0.00990099009901
7810,Guus Schreiber,0.00990099009901
479,Kotagiri Ramamohanarao,0.00986842105263
1532,Xue Li,0.00980392156863
7122,Cristina Videira Lopes,0.00970873786408
7493,Mark S. Ackerman,0.00970873786408
1462,Jennifer Widom,0.00966183574879
7322,Peter Druschel,0.00961538461538
7473,J. Eliot B. Moss,0.00961538461538
6884,Yousef Saad,0.00952380952381
6962,Zhiyong Wang,0.00952380952381
7359,Daniel M. Berry,0.00952380952381
6950,Gianfranco Ciardo,0.00943396226415
5068,Tommi S. Jaakkola,0.00934579439252
5,Philip S. Yu,0.0093023255814
6636,Timothy Baldwin,0.00925925925926
6864,Maria da Graça Campos Pimentel,0.00925925925926
6953,Eytan Ruppin,0.00925925925926
4387,Carlos Guestrin,0.00917431192661
6747,David B. Leake,0.00917431192661
6589,Lora Aroyo,0.00917431192661
6333,Haesun Park,0.00909090909091
6605,Ying Lu,0.00909090909091
6523,Cristiana Bolchini,0.00909090909091
1239,Shu-Ching Chen,0.00900900900901
6480,Benjamin B. Bederson,0.00900900900901
6439,Robert E. Kraut,0.00892857142857
5856,Xiangyu Zhang,0.00892857142857
1132,Jiebo Luo,0.00877192982456
6155,Gillian Dobbie,0.00877192982456
1083,Jaideep Srivastava,0.00877192982456
1064,Mohan S. Kankanhalli,0.00865800865801
941,Dan Roth,0.00858369098712
5459,Roland H. C. Yap,0.00854700854701
305,Kian-Lee Tan,0.00854700854701
302,Matthias Jarke,0.00852272727273
5359,Yi Deng,0.00847457627119
5416,Daniel Schwabe,0.00840336134454
4418,Moses Charikar,0.00826446280992
5425,Mark S. Drew,0.00826446280992
5153,Frank M. Shipman III,0.00813008130081
4966,Timothy W. Finin,0.008
5118,Paul Dourish,0.008
5011,James A. Landay,0.00793650793651
4919,Srinivas Aluru,0.00793650793651
4675,Lei Yu,0.00787401574803
4914,Richard N. Taylor,0.00787401574803
4801,Pavel A. Pevzner,0.0078125
218,Ke Wang,0.0078125
816,Hanan Samet,0.00778210116732
4764,David B. Skillicorn,0.0077519379845
769,H. V. Jagadish,0.00766283524904
4561,Peter Scheuermann,0.00763358778626
4470,Patrick Martin,0.00757575757576
4136,Christopher Leckie,0.00740740740741
4038,Bala Srinivasan,0.00729927007299
4078,Dror G. Feitelson,0.00729927007299
3901,Xi Wang,0.00724637681159
3858,Alexander Borgida,0.00724637681159
3760,David Lee,0.00719424460432
3694,Ricardo da Silva Torres,0.00704225352113
159,Ling Liu,0.00699300699301
3430,Ninghui Li,0.00694444444444
3501,James Bailey,0.00689655172414
344,Michael I. Jordan,0.00684931506849
2731,Lila Kari,0.00684931506849
3456,Gerhard Fischer,0.00671140939597
3137,Raymond T. Ng,0.00662251655629
3329,Richard R. Muntz,0.00657894736842
3144,Lotfi A. Zadeh,0.00649350649351
3113,Simon King,0.00641025641026
2940,Heng Huang,0.00636942675159
2865,Chunyan Miao,0.00636942675159
435,Sarit Kraus,0.00634920634921
2491,Gautam Das,0.00625
2930,Stephen T. C. Wong,0.00625
2443,Christopher D. Manning,0.00617283950617
2686,Ishfaq Ahmad,0.00602409638554
1997,Piotr Indyk,0.00595238095238
1649,Marek Chrobak,0.00571428571429
2165,Ouri Wolfson,0.00555555555556
2082,Jing Xiao,0.00552486187845
1930,Eamonn J. Keogh,0.00537634408602
1867,Yannis E. Ioannidis,0.00537634408602
1967,Ahmed K. Elmagarmid,0.00537634408602
1891,Gio Wiederhold,0.00529100529101
1784,K. Selçuk Candan,0.00520833333333
1598,Zhi-Li Zhang,0.00510204081633
1617,Shashi Shekhar,0.00507614213198
1662,Dennis Shasha,0.00507614213198
1652,George Karypis,0.00505050505051
1651,Fillia Makedon,0.00502512562814
1593,Limsoon Wong,0.00497512437811
1555,Sargur N. Srihari,0.00490196078431
29,Jun Zhang,0.0048465266559
1469,Arnold L. Rosenberg,0.00478468899522
