,0
99,University of Texas at Dallas 
100,Texas A&M University 
101,University of California-San Diego 
102,University of Virginia 
103,TU Delft 
104,University of Massachusetts Amherst 
105,Universidade Federal de Minas Gerais 
106,Carnegie Mellon University 
107,University of Southern California 
108,University of Utah 
109,IIT Madras 
110,University of Illinois at Chicago 
111,Indiana University at Bloomington 
112,Athens University of Economics and Business 
113,IIT Delhi 
114,Universidade Federal de Minas Gerais 
115,University of Edinburgh 
116,University of Sydney 
117,Binghamton University 
118,Cornell University 
119,Columbia University 
120,TU Delft 
121,Australian National University 
122,University of Miami 
123,University of Southern California 
124,ETH Zurich 
125,IIT Bombay 
126,Louisiana State University and Agricultural and Mechanical College 
127,University of Arizona 
128,Monash University 
129,Concordia University 
130,University of Oxford 
131,University of Pennsylvania 
132,Arizona State University 
133,Rutgers University 
134,Northwestern University 
135,University of Louisiana at Lafayette 
136,University of Queensland 
137,Binghamton University 
138,University of Illinois at Urbana-Champaign 
139,University of Queensland 
140,Florida State University 
141,University of Minnesota 
142,EPFL 
143,Bar-Ilan University 
144,University of Illinois at Urbana-Champaign 
145,Simon Fraser University 
146,National University of Singapore 
147,National University of Singapore 
148,National University of Singapore 
149,Wright State University Main Campus 
150,Columbia University In The City of New York 
151,University of California-Los Angeles 
152,Bar-Ilan University 
153,University of Minnesota-Twin Cities 
154,University of Alberta 
155,Imperial College London 
156,Nanyang Technological University 
157,Massachusetts Institute of Technology 
158,University of Queensland 
159,Athens University of Economics and Business 
160,University of Notre Dame 
161,University College London 
162,Bar-Ilan University 
163,University of Melbourne 
164,University of California-Santa Cruz 
165,Stanford University 
166,University of California-Riverside 
167,University of Athens 
168,Simon Fraser University 
169,University of North Carolina at Charlotte 
170,University of Melbourne 
171,University of Florida 
172,University of Southern California 
173,University of South Carolina Columbia 
174,Old Dominion University 
175,Cornell University 
176,Universidade Federal do Amazonas 
177,Worcester Polytechnic Institute 
178,IIT Kharagpur 
179,University of Alberta 
180,Brigham Young University 
181,University of North Carolina at Chapel Hill 
182,IIT Kharagpur 
183,TU Munich 
184,University of Michigan 
185,California Institute of Technology 
186,IISc Bangalore 
187,University of Toronto 
188,University of Maryland-College Park 
189,Cornell University 
190,University College London 
191,University of Minnesota 
192,Max Planck Institute 
193,Stanford University 
194,Arizona State University 
195,IISc Bangalore 
196,University of Pittsburgh 
197,Hebrew University of Jerusalem 
198,University College London 
199,Carnegie Mellon University 
200,Stanford University 
201,University of Cambridge 
202,Purdue University Main Campus 
203,Athens University of Economics and Business 
204,Carnegie Mellon University 
205,University of North Carolina at Chapel Hill 
206,University of Edinburgh 
207,Cornell University 
208,National University of Singapore 
209,University of California-Santa Cruz 
210,University of Alberta 
211,University of Kansas 
212,Universidade Federal do Rio Grande do Sul 
213,Lehigh University 
214,Arizona State University 
215,University of Wisconsin-Madison 
216,VU Amsterdam 
217,Concordia University 
218,University of Southern California 
219,Nanyang Technological University 
220,Bar-Ilan University 
221,University of North Carolina at Charlotte 
222,University of Queensland 
223,University of Utah 
224,TU Delft 
225,University of Illinois at Urbana-Champaign 
226,Technion-Israel Institute of Technology 
227,Athens University of Economics and Business 
228,Pontifícia Universidade Católica do Rio de Janeiro 
229,Georgia Institute of Technology 
230,Politecnico di Milano 
231,Northeastern University 
232,University of Waikato 
233,University of Pennsylvania 
234,Texas A&M University 
235,Politecnico di Milano 
236,University of Maryland College Park 
237,Max Planck Institute 
238,University of Colorado at Boulder 
239,University of Texas at Austin 
240,University of California-Berkeley 
241,University of Oxford 
242,Arizona State University 
243,Emory University 
244,TU Darmstadt 
245,Rochester Institute of Technology 
246,Purdue University Main Campus 
247,Cornell University 
248,Brown University 
249,University of Notre Dame 
250,University of California-Santa Cruz 
251,Oregon Health and Science University 
252,Simon Fraser University 
253,Columbia University 
254,University of Washington 
255,University of Illinois at Urbana-Champaign 
256,Hebrew University of Jerusalem 
257,University of Central Florida 
258,University of Texas at Arlington 
259,University of Rochester 
260,ETH Zurich 
261,North Dakota State University Main Campus 
262,University of Southern California 
263,University of Texas at Arlington 
264,University of Adelaide 
265,Georgia Institute of Technology 
266,University of Rochester 
267,Boise State University 
268,University of California-Davis 
269,University of British Columbia 
270,University of Michigan 
271,University of Melbourne 
272,Texas A&M University 
273,National University of Singapore 
274,University of Delaware 
275,University of Maryland College Park 
276,University College London 
277,Illinois Institute of Technology 
278,University of California-Irvine 
279,Arizona State University 
280,University of California-Riverside 
281,University of California-San Diego 
282,University of Minnesota 
283,Northeastern University 
284,University of California-Los Angeles 
285,Florida International University 
286,Illinois Institute of Technology 
287,Columbia University 
288,University of Michigan-Ann Arbor 
289,University of Maryland College Park 
290,Rensselaer Polytechnic Institute 
291,Hebrew University of Jerusalem 
292,Brown University 
293,IIT Bombay 
294,Brown University 
295,Harvard University 
296,University of Waterloo 
297,Pontifícia Universidade Católica do Rio de Janeiro 
298,Indiana University at Bloomington 
299,University of Massachusetts Amherst 
300,Columbia University 
301,University of Nebraska 
302,University of Wisconsin-Madison 
303,University of Memphis 
304,University of Southern California 
305,University of California-Berkeley 
306,University of Florida 
307,Duke University 
308,National University of Singapore 
309,Arizona State University 
