,Name,Information retrieval pscore,Information retrieval year,Information retrieval year combined,year ndcg pos,year score&ndcg,year combined&ndcg
130,Universidade do Vale do Rio dos Sinos,1904.5,0.0,0.0,0.0,0.0,0.0
131,Universidade de Fortaleza,4808.6875,0.0,0.0,0.0,0.0,0.0
132,Universidade Federal de Campina Grande,6062.41666667,0.0,0.0,0.0,0.0,0.0
133,Universidade Federal da Bahia,1134.86369048,0.0,0.0,0.0,0.0,0.0
134,Universidade Federal do Amazonas,30488.9166667,2497.66293876,65127349.0303,0.703260162123,1756.50684324,45801470.0377
135,Universidade Federal de Minas Gerais,101992.616667,4108.30018863,149572081.263,1.51405015618,6220.17254223,226459632.997
136,Universidade Federal do Espírito Santo,4927.5,0.0,0.0,0.0,0.0,0.0
137,Universidade Federal de Pernambuco,22284.1291667,0.0,0.0,0.0,0.0,0.0
138,Universidade Federal de Mato Grosso do Sul,827.333333333,2.79924242424,982.534090909,0.107093648736,0.299781084908,105.223160803
139,Universidade Federal de São Carlos,9122.86369048,9.1797560511,21287.8542825,0.109052145993,1.00107209706,2321.48619309
140,Universidade Federal de Santa Catarina,4289.58333333,0.0,0.0,0.0,0.0,0.0
141,Universidade Federal do Rio Grande de Norte,4000.96666667,0.0,0.0,0.0,0.0,0.0
142,Universidade Federal do Rio de Janeiro,14470.4595238,29.8933333333,23944.56,0.115167640652,3.44274467124,2757.63848166
143,Pontifícia Universidade Católica do Rio Grande do Sul,8409.75,13.0183823529,23433.0882353,0.109141812887,1.42084985086,2557.52973154
144,Pontifícia Universidade Católica do Rio de Janeiro,25416.1458333,87.9434720828,273011.669431,0.561934375782,49.4184600889,153414.642043
145,Pontifícia Universidade Católica do Paraná,5080.16666667,0.0,0.0,0.0,0.0,0.0
146,Universidade Estadual de Campinas,26724.2041667,38.0280607375,206337.41212,0.332069994722,12.6279779284,68518.4633536
147,Universidade Federal do Ceará,6359.33333333,29.0159530651,99466.6871072,0.117375903187,3.40577369784,11674.9922362
148,Universidade Federal do Rio Grande do Sul,26383.2083333,49.9255952381,202148.735119,0.124310169935,6.20625922814,25129.1436148
149,Universidade Federal do Paraná,6605.16666667,0.0,0.0,0.0,0.0,0.0
150,Universidade Federal Fluminense,8658.93333333,2.4214397666,2247.0961034,0.105760485777,0.256092645995,237.653975483
151,Imperial College London,67351.6446581,187.440537449,1120751.72567,0.460441464506,86.305395571,516040.565916
152,University of Oxford,101306.083333,332.031454888,2904146.4903,0.496600607941,164.887022353,1442200.91263
153,University of Cambridge,40320.7333333,127.355177005,712239.478332,0.360109107121,45.8617590786,256483.922599
154,ETH Zurich,102119.409913,603.894073256,8085415.50333,0.740382603423,447.112666149,5986300.98011
155,École Polytechnique ParisTech,8981.78333333,3.328068082,1840.42164935,0.10585277763,0.352285250623,194.813743595
156,University of Texas at Arlington,93164.5690476,625.430409182,19560671.3585,0.86949831717,543.81068829,17007970.829
157,Ecole Normale Superieure,22205.95,0.0,0.0,0.0,0.0,0.0
158,IIIT Bangalore,8179.83333333,15.8473768845,41789.5328444,0.110235809843,1.74694842475,4606.70299608
159,Nanyang Technological University,203510.5,5250.084978,265922738.857,1.14612595083,6017.25863733,304780951.919
160,University of Waterloo,259745.960623,30234.285344,2444146579.09,1.76317106535,53308.2171002,4309448527.73
161,Western University,22177.7333333,7.02181685071,7153.68392322,0.21185019651,1.48757327968,1515.5093449
162,University of Nebraska,22163.4424242,24.241252911,220655.139971,0.222255970889,5.3877632013,49041.922366
163,Victoria University of Wellington,18146.25,0.0,0.0,0.0,0.0,0.0
164,University of Queensland,76615.7,550.541031191,10018855.802,0.672960112481,370.492154275,6742290.32741
165,Indiana University-Purdue University Indianapolis,,,,0.0,,
