,0
603,Georgia Institute of Technology 
604,Rensselaer Polytechnic Institute 
605,National University of Singapore 
606,Michigan State University 
607,Stony Brook University 
608,Washington State University 
609,Stanford University 
610,University of Central Florida 
611,University of Southern California 
612,Washington University in St. Louis 
613,IIT Kanpur 
614,Queen’s University 
615,IIT Roorkee 
616,University of California-San Diego 
617,University College London 
618,IIIT Hyderabad 
619,IIT Kharagpur 
620,University of North Texas 
621,Worcester Polytechnic Institute 
622,University College London 
623,IIT Kharagpur 
624,University College London 
625,University of North Carolina at Chapel Hill 
626,Stanford University 
627,Cornell University 
628,Boston University 
629,Northwestern University 
630,University of Zurich 
631,University of California-Santa Barbara 
632,University of Waterloo 
633,Politecnico di Milano 
634,Nanyang Technological University 
635,IIIT Hyderabad 
636,University of Minnesota-Twin Cities 
637,North Carolina State University 
638,Purdue University Main Campus 
639,Stanford University 
640,University of Pennsylvania 
641,Temple University 
642,Rensselaer Polytechnic Institute 
643,University of British Columbia 
644,University of South Florida 
645,University of Illinois at Urbana-Champaign 
646,University of Texas at Arlington 
647,University of Southern Mississippi 
648,University of California-Los Angeles 
649,University of Massachusetts Amherst 
650,Case Western Reserve University 
651,University of California-Riverside 
652,University of Southern California 
653,University of Kansas 
654,Syracuse University Main Campus 
655,University of Louisiana at Lafayette 
656,Boston University 
657,Massachusetts Institute of Technology 
658,Georgia Institute of Technology 
659,University of California-Irvine 
660,Carnegie Mellon University 
661,Harvard University 
662,Northeastern University 
663,Cornell University 
664,Nanyang Technological University 
665,University of British Columbia 
666,University of Waikato 
667,Florida International University 
668,University of Iowa 
669,University of Southern California 
670,Ecole Normale Superieure 
671,Ecole Normale Superieure de Cachan 
672,McGill University 
673,University of Central Florida 
674,University of Illinois at Urbana-Champaign 
675,University of Southern California 
676,Politecnico di Milano 
677,Northwestern University 
678,Northwestern University 
679,Universidade Federal de Minas Gerais 
680,Northwestern University 
681,Massachusetts Institute of Technology 
682,Purdue University Main Campus 
683,Harvard University 
684,Georgia Institute of Technology 
685,University of California-Irvine 
686,University of Notre Dame 
687,Georgia State University 
688,IIIT Hyderabad 
689,Bar-Ilan University 
690,University of Waterloo 
691,University of Delaware 
692,University of Southern California 
693,University of Southern California 
694,Monash University 
695,IIT Madras 
696,Simon Fraser University 
697,Dartmouth College 
698,Wayne State University 
699,Monash University 
700,Kent State University Main Campus 
701,Wayne State University 
702,Columbia University In The City of New York 
703,University of Illinois at Urbana-Champaign 
704,University of North Texas 
705,University of Michigan-Ann Arbor 
706,Rensselaer Polytechnic Institute 
707,Bar-Ilan University 
708,Oklahoma State University Main Campus 
709,Concordia University 
710,Carnegie Mellon University 
711,Bar-Ilan University 
712,University of Maryland-Baltimore County 
713,University of Southern California 
714,University of California-San Diego 
715,Arizona State University 
716,University of Delaware 
717,University of Connecticut 
718,University of Melbourne 
719,Monash University 
720,Athens University of Economics and Business 
721,University of Texas at Austin 
722,Oregon Health and Science University 
723,Columbia University 
724,USP - São Carlos 
725,University of Illinois at Chicago 
726,Stevens Institute of Technology 
727,Illinois Institute of Technology 
728,Illinois Institute of Technology 
729,University of Washington 
730,Rensselaer Polytechnic Institute 
731,Toyota Technological Institute at Chicago 
732,University of Waterloo 
733,University of Illinois at Urbana-Champaign 
734,Boston University 
735,New York University 
736,Old Dominion University 
737,Yale University 
738,Western Michigan University 
739,Bar-Ilan University 
740,Washington University in St. Louis 
741,Georgetown University 
742,University of South Florida 
743,Max Planck Institute 
744,University of Texas at Arlington 
745,Binghamton University 
746,Cornell University 
747,Yale University 
748,University of Tennessee 
749,University of Oregon 
750,University of Waterloo 
751,University of Florida 
752,IIT Kharagpur 
753,Binghamton University 
754,Rice University 
755,University of Texas at Dallas 
756,Florida State University 
757,University of Illinois at Urbana-Champaign 
758,Stanford University 
759,Tel Aviv University 
760,USP - São Carlos 
761,Monash University 
762,University of Alabama In Huntsville 
763,University of Louisiana at Lafayette 
764,University of Washington 
765,Carnegie Mellon University 
766,University of Minnesota 
767,University of California-Berkeley 
768,University of Victoria 
769,Rice University 
770,University of California-Berkeley 
771,University of Florida 
772,University of Rochester 
773,Imperial College London 
774,Georgia Institute of Technology 
775,University of Southern California 
776,Rochester Institute of Technology 
777,Florida International University 
778,University of California-Santa Cruz 
779,University of California-Berkeley 
780,National University of Singapore 
781,Old Dominion University 
782,Auburn University 
783,Arizona State University 
784,IIIT Hyderabad 
785,Queen’s University 
786,USP - São Carlos 
787,University of California-Davis 
788,University of Central Florida 
789,Simon Fraser University 
790,University of Massachusetts Amherst 
791,Emory University 
792,George Mason University 
793,University of Minnesota 
794,IIT Delhi 
795,Monash University 
