Sigla,Índice-­‐H,Estrato
ECOOP,61,A1
ECOWS,27,B1
ECRTS,47,A2
ECSA,15,B3
ECSCW,27,B1
ECSQARU,25,B1
ECWeb,27,B1
EC_A,6,B4
ED-­‐MEDIA,14,B3
EDBT,52,A2
EDCC,17,B2
EDM,13,B3
EDOC,42,A2
EDOCW,13,B3
EDUCON,7,B4
Edutainment,14,B3
EEE,24,B1
EGC,21,B2
EGSR,34,B1
EGVE,10,B4
EICS,30,B1
EISWT,4,B4
EIT,6,B4
EJC,4,B4
EKAW,33,B1
EKNOW,5,B4
ELAVIO,2,B5
ELC,2,B5
ELearn,15,B3
ELML,5,B4
EMBC,26,B1
EMicro,2,B5
EMMSAD,7,B4
Emnets,16,B2
EMNLP,72,A1
EMO,40,A2
EMS,1,B5
EMSOFT,42,A2
ENADI,3,B5
ENASE,7,B4
Engopt,5,B4
ENIA,8,B4
ENLG,4,B4
ENRI,5,B4
ENTER,17,B2
EOMAS,3,B5
EON,12,B3
ePart,6,B4
EPIA,19,B2
EPIO,1,B5
EpiRob,6,B4
ER,42,A2
ERAD,1,B5
ERSA,15,B3
ESA,46,A2
ESAIR,4,B4
ESANN,27,B1
ESAW,13,B3
eScience,22,B1
ESEC/FSE,49,A2
ESELAW,4,B4
ESEM,44,A2
ESM,16,B2
ESOP,53,A2
ESORICS,45,A2
ESS,12,B3
ESSCIRC,33,B1
ESSDERC,12,B3
ESTIMedia,13,B3
ESWC,57,A1
ETCS,8,B4
ETELEMED,7,B4
ETFA,26,B1
ETHICOMP,6,B4
ETRA,3,B5
ETS,18,B2
EUC,20,B2
EUMAS,14,B3
EURO,4,B4
Euro-­‐Par,43,A2
Euro-­‐Plop,16,B2
EuroBot,3,B3
EUROCAST,13,B3
EuroCG,10,B4
EUROCOMB,1,B5
EUROCON,12,B3
EuroCrypt,97,A1
EuroGP,35,B1
EUROGRAPHICS,5,A2
EuroIMSA,9,B4
EuroITV,14,B3
EuroMPI,27,B1
EUROPKI,16,B2
EUROPT,2,B5
EuroSPI,20,B2
EuroSys,47,A2
EuroVis,23,B1
EUSIPCO,23,B1
Evoapplications,2,B5
Evobio,11,B3
EvoCOP,20,B2
EWME,5,B4
EWSN,37,A2
FAABS,18,B2
FASE,42,A2
FAST,55,A1
FC,36,B1
FCCM,46,A2
FCS,5,B4
FCT,18,B2
FDG,11,B3
FDL,15,B3
FDTC,17,B2
FECS,5,B4
FedCSIS,3,B5
FEF,2,B5
FG,70,A1
FGCN,13,B3
FGIT,5,B4
FIE,24,B1
FIND,1,B5
FINTDI,1,B5
FIT,5,B4
FLAIRS,25,B1
FLINS,7,B4
FLOPS,22,B1
FM,35,B1
FMCAD,33,B1
FMICS,9,B4
FMN,4,B4
FMOODS,28,B1
FOAL,18,B2
FOCI,15,B3
FOCS,94,A1
FOGA,13,B3
FoIKS,18,B2
FOIS,25,B1
FOMI,6,B4
FOOL,7,B3
FORMATS,22,B1
FORTE,29,B1
FOSSACS,37,A2
FPGA,53,A2
FPL,50,A2
FPSAC,9,B4
FQAS,17,B2
FroCoS,1,B3
FSE,46,A2
FSE_A,59,A1
FSKD,18,B2
FSR,4,B4
FSTTCS,33,B1
FTFC,2,B5
FTJP,8,B4
FTP,5,B4
FTRTFT,20,B2
FUSION,25,B1
FUZZ,38,A2
GADA,1,B5
GAME-­‐ON,9,B3
GCA,8,B4
GCC,18,B2
GD,18,B2
GDC,22,B1
GECCO,66,A1
GECON,12,B3
GEFS,7,B4
GENSIPS,8,B4
GeoComp,13,B3
GeoInfo,14,B3
GEOPROCESSING,4,B4
GeoS,14,B3
GI,51,A2
GIIS,8,B4
GIR,19,B2
GIS,33,B1
GIScience,23,B1
Globe,5,B4
GLOBECOM,90,A1
GLSVLSI,28,B1
GMP,18,B2
GOW,2,B5
GPC,12,B3
GPCE,37,A2
GRAPP,9,B4
GREC,1,B3
GREENCOM,6,B4
GREENCOM-­‐CPSCOM,6,B4
GRID,46,A2
GROUP,45,A2
GSD,14,B3
GSDI,9,B4
GWC,14,B3
HAIS,9,B4
HAPTICS,28,B1
HASE,22,B1
HASKELL,22,B1
HC,3,B5
HCII,17,B2
HCS,7,B4
HealthCom,10,B4
HEALTHINF,7,B4
HIC,8,B4
HICSS,97,A1
HIKM,6,B4
HiPC,25,B1
HiPEAC,17,B2
HIPS,10,B4
HIS,18,B2
HLDVT,6,B3
HLT,78,A1
HM,15,B3
HoloMAS,17,B2
HOPL,2,B5
HOST,14,B3
Hot-­‐P2P,8,B4
HOTI,23,B1
HotInterconnect,21,B2
HotMobile,18,B2
HOTNETS,15,B3
HotOS,44,A2
HPCA,73,A1
HPCN,14,B3
HPCS,15,B3
HPDC,62,A1
HRI,38,A2
Humanoids,17,B2
HVC,5,B4
Hypertext,45,A2
I,3,B5
I&CPS,10,B4
I-­‐KNOW,3,B5
I-­‐SEMANTICS,11,B3
I-­‐SPAN,22,B1
I2TS,6,B4
I3D,50,A2
I3E,12,B3
IAAI,14,B2
IAIM,3,B5
IAIT,3,B5
IAS,16,B1
IAT,25,B1
IAW,34,B1
IAWTIC,3,B4
IBERAMIA,16,B2
IBERCHIP,6,B4
IBICA,1,B5
IBIMA,6,B4
IC3K,8,B4
ICA3PP,10,B3
ICAART,8,B4
ICAC,43,A2
ICAD,28,B1
ICAI,16,B2
ICAIE,2,B5
ICAIL,26,B1
ICAIS,11,B3
ICAISC,17,B2
ICAL,9,B4
ICALIP,9,B4
ICALP,61,A1
ICALT,35,B1
ICANN,30,B1
ICAPS,49,A2
ICAR,21,B2
ICARCV,23,B1
ICAS,17,B2
ICASSP,84,A1
ICAT,14,B3
ICATPN,36,B1
ICB,21,B2
ICBAKE,5,B4
ICBBE,10,B4
ICC,53,A2
ICCABS,3,B5
ICCAD,75,A1
ICCAS,8,B4
ICCBR,4,B4
ICCBSS,20,B2
ICCC,7,B4
ICCCAS,10,B4
ICCCN,34,B1
ICCD,41,A2
ICCDCS,10,B4
ICCE,18,B2
ICCI,1,B4
ICCIIS,3,B5
ICCIMA,18,B2
ICCI_A,18,B2
ICCL,2,B5
ICCMS,6,B4
ICCOPT,1,B5
ICCS,37,A2
ICCSA,27,B1
ICCSE,6,B4
ICCST,8,B4
ICCS_A,28,B1
ICCTA,11,B3
ICCV,120,A1
ICDAR,48,A2
ICDCIT,10,B4
ICDCN,10,B4
ICDCS,78,A1
ICDE,113,A1
ICDE_A,2,B5
ICDF,1,B5
ICDIM,11,B3
